t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,0
1538918459,19
1538918462,19
1538918465,19
1538918468,19
1538918471,19
1538918474,19
1538918477,19
1538918480,19
1538918483,19
1538918486,19
1538918489,19
1538918492,19
1538918495,19
1538918498,19
1538918501,19
1538918504,19
1538918507,19
1538918510,19
1538918513,19
1538918516,19
1538918519,19
1538918522,511
1538918525,511
1538918528,511
1538918531,511
1538918534,511
1538918537,511
1538918540,511
1538918543,730
1538918546,1885
1538918549,1885
1538918552,1885
1538918555,1885
1538918558,1885
1538918561,1885
1538918564,1930
1538918567,1930
1538918570,1930
1538918573,1930
1538918576,1930
1538918579,1930
1538918582,1967
1538918585,1967
1538918588,1967
1538918591,1967
1538918594,1967
1538918597,1967
1538918600,1967
1538918603,2010
1538918606,2010
1538918609,2010
1538918612,2010
1538918615,2010
1538918618,2010
1538918621,2010
1538918624,2043
1538918627,2043
1538918630,2043
1538918633,2043
1538918636,2043
1538918639,2043
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,298
1538919017,1589
1538919020,1589
1538919023,1589
1538919026,1589
1538919029,1589
1538919032,1589
1538919035,1620
1538919038,1620
1538919041,1620
1538919044,1620
1538919047,1620
1538919050,1620
1538919053,1620
1538919056,1651
1538919059,1651
1538919062,1651
1538919065,1651
1538919068,1651
1538919071,1651
1538919074,1748
1538919077,1749
1538919080,1749
1538919083,1749
1538919086,1749
1538919089,1749
1538919092,1749
1538919095,1777
1538919098,1777
1538919101,1777
1538919104,1777
1538919107,1777
