t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,0
1538918459,1
1538918462,1
1538918465,1
1538918468,1
1538918471,1
1538918474,1
1538918477,1
1538918480,1
1538918483,1
1538918486,1
1538918489,1
1538918492,1
1538918495,1
1538918498,1
1538918501,1
1538918504,1
1538918507,1
1538918510,1
1538918513,1
1538918516,3
1538918519,3
1538918522,4
1538918525,4
1538918528,4
1538918531,4
1538918534,4
1538918537,4
1538918540,4
1538918543,8
1538918546,10
1538918549,10
1538918552,10
1538918555,10
1538918558,10
1538918561,10
1538918564,13
1538918567,13
1538918570,13
1538918573,13
1538918576,13
1538918579,13
1538918582,15
1538918585,16
1538918588,16
1538918591,16
1538918594,16
1538918597,16
1538918600,16
1538918603,19
1538918606,19
1538918609,19
1538918612,19
1538918615,19
1538918618,19
1538918621,19
1538918624,22
1538918627,22
1538918630,22
1538918633,22
1538918636,22
1538918639,22
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,1
1538919017,6
1538919020,6
1538919023,6
1538919026,6
1538919029,6
1538919032,6
1538919035,9
1538919038,9
1538919041,9
1538919044,9
1538919047,9
1538919050,9
1538919053,9
1538919056,12
1538919059,12
1538919062,12
1538919065,12
1538919068,12
1538919071,12
1538919074,13
1538919077,15
1538919080,15
1538919083,15
1538919086,15
1538919089,15
1538919092,15
1538919095,18
1538919098,18
1538919101,18
1538919104,18
1538919107,18
1538919110,18
1538919113,18
1538919116,21
1538919119,21
1538919122,21
1538919125,21
1538919128,21
1538919131,21
1538919134,24
