t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,0
1538918459,0
1538918462,0
1538918465,0
1538918468,0
1538918471,0
1538918474,0
1538918477,0
1538918480,0
1538918483,0
1538918486,0
1538918489,0
1538918492,0
1538918495,0
1538918498,0
1538918501,0
1538918504,0
1538918507,0
1538918510,0
1538918513,0
1538918516,0
1538918519,0
1538918522,5
1538918525,5
1538918528,5
1538918531,5
1538918534,5
1538918537,5
1538918540,5
1538918543,38
1538918546,49
1538918549,49
1538918552,49
1538918555,49
1538918558,49
1538918561,49
1538918564,71
1538918567,71
1538918570,71
1538918573,71
1538918576,71
1538918579,71
1538918582,93
1538918585,93
1538918588,93
1538918591,93
1538918594,93
1538918597,93
1538918600,93
1538918603,115
1538918606,115
1538918609,115
1538918612,115
1538918615,115
1538918618,115
1538918621,115
1538918624,137
1538918627,137
1538918630,137
1538918633,137
1538918636,137
1538918639,137
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,18
1538919017,40
1538919020,40
1538919023,40
1538919026,40
1538919029,40
1538919032,40
1538919035,62
1538919038,62
1538919041,62
1538919044,62
1538919047,62
1538919050,62
1538919053,62
1538919056,84
1538919059,84
1538919062,84
1538919065,84
1538919068,84
1538919071,84
1538919074,105
1538919077,106
1538919080,106
1538919083,106
1538919086,106
1538919089,106
1538919092,106
1538919095,128
1538919098,128
1538919101,128
1538919104,128
1538919107,128
1538919110,128
1538919113,128
1538919116,150
1538919119,150
1538919122,150
1538919125,150
1538919128,150
1538919131,150
1538919134,172
