t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,1
1538918459,1
1538918462,1
1538918465,1
1538918468,1
1538918471,1
1538918474,1
1538918477,1
1538918480,1
1538918483,1
1538918486,1
1538918489,1
1538918492,1
1538918495,1
1538918498,1
1538918501,1
1538918504,1
1538918507,1
1538918510,1
1538918513,1
1538918516,3
1538918519,3
1538918522,8
1538918525,8
1538918528,8
1538918531,8
1538918534,8
1538918537,8
1538918540,8
1538918543,42
1538918546,52
1538918549,52
1538918552,52
1538918555,52
1538918558,52
1538918561,52
1538918564,74
1538918567,74
1538918570,74
1538918573,74
1538918576,74
1538918579,74
1538918582,96
1538918585,96
1538918588,96
1538918591,96
1538918594,96
1538918597,96
1538918600,96
1538918603,118
1538918606,118
1538918609,118
1538918612,118
1538918615,118
1538918618,118
1538918621,118
1538918624,140
1538918627,140
1538918630,140
1538918633,140
1538918636,140
1538918639,140
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,20
1538919017,41
1538919020,41
1538919023,41
1538919026,41
1538919029,41
1538919032,41
1538919035,63
1538919038,63
1538919041,63
1538919044,63
1538919047,63
1538919050,63
1538919053,63
1538919056,85
1538919059,85
1538919062,85
1538919065,85
1538919068,85
1538919071,85
1538919074,106
1538919077,107
1538919080,107
1538919083,107
1538919086,107
1538919089,107
1538919092,107
1538919095,129
1538919098,129
1538919101,129
1538919104,129
1538919107,129
1538919110,129
1538919113,129
1538919116,151
1538919119,151
1538919122,151
1538919125,151
1538919128,151
1538919131,151
1538919134,173
