t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,1
1538918459,1
1538918462,1
1538918465,1
1538918468,1
1538918471,1
1538918474,1
1538918477,1
1538918480,1
1538918483,1
1538918486,1
1538918489,1
1538918492,1
1538918495,1
1538918498,1
1538918501,1
1538918504,1
1538918507,1
1538918510,1
1538918513,1
1538918516,3
1538918519,3
1538918522,4
1538918525,4
1538918528,4
1538918531,4
1538918534,4
1538918537,4
1538918540,4
1538918543,10
1538918546,11
1538918549,11
1538918552,11
1538918555,11
1538918558,11
1538918561,11
1538918564,14
1538918567,14
1538918570,14
1538918573,14
1538918576,14
1538918579,14
1538918582,17
1538918585,17
1538918588,17
1538918591,17
1538918594,17
1538918597,17
1538918600,17
1538918603,20
1538918606,20
1538918609,20
1538918612,20
1538918615,20
1538918618,20
1538918621,20
1538918624,23
1538918627,23
1538918630,23
1538918633,23
1538918636,23
1538918639,23
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,5
1538919017,7
1538919020,7
1538919023,7
1538919026,7
1538919029,7
1538919032,7
1538919035,10
1538919038,10
1538919041,10
1538919044,10
1538919047,10
1538919050,10
1538919053,10
1538919056,13
1538919059,13
1538919062,13
1538919065,13
1538919068,13
1538919071,13
1538919074,16
1538919077,16
1538919080,16
1538919083,16
1538919086,16
1538919089,16
1538919092,16
1538919095,19
1538919098,19
1538919101,19
1538919104,19
1538919107,19
1538919110,19
1538919113,19
1538919116,22
1538919119,22
1538919122,22
1538919125,22
1538919128,22
1538919131,22
1538919134,25
