t,value
1538918384,32
1538918387,32
1538918390,32
1538918393,32
1538918396,32
1538918399,32
1538918402,32
1538918405,32
1538918408,32
1538918411,32
1538918414,32
1538918417,32
1538918420,32
1538918423,32
1538918426,32
1538918429,32
1538918432,32
1538918435,32
1538918438,32
1538918441,32
1538918444,38
1538918447,38
1538918450,38
1538918453,38
1538918456,38
1538918459,38
1538918462,38
1538918465,38
1538918468,38
1538918471,38
1538918474,38
1538918477,38
1538918480,38
1538918483,38
1538918486,38
1538918489,38
1538918492,38
1538918495,38
1538918498,38
1538918501,38
1538918504,44
1538918507,44
1538918510,44
1538918513,44
1538918516,44
1538918519,44
1538918522,44
1538918525,44
1538918528,44
1538918531,44
1538918534,44
1538918537,44
1538918540,44
1538918543,44
1538918546,44
1538918549,44
1538918552,44
1538918555,44
1538918558,44
1538918561,44
1538918564,50
1538918567,50
1538918570,50
1538918573,50
1538918576,50
1538918579,50
1538918582,50
1538918585,50
1538918588,50
1538918591,50
1538918594,50
1538918597,50
1538918600,50
1538918603,50
1538918606,50
1538918609,50
1538918612,50
1538918615,50
1538918618,50
1538918621,50
1538918624,56
1538918627,56
1538918630,56
1538918633,56
1538918636,56
1538918639,56
t,value
1538918915,18
1538918918,18
1538918921,18
1538918924,18
1538918927,18
1538918930,18
1538918933,18
1538918936,18
1538918939,18
1538918942,18
1538918945,18
1538918948,18
1538918951,18
1538918954,18
1538918957,18
1538918960,18
1538918963,18
1538918966,18
1538918969,18
1538918972,18
1538918975,25
1538918978,25
1538918981,25
1538918984,25
1538918987,25
1538918990,25
1538918993,25
1538918996,25
1538918999,25
1538919002,25
1538919005,25
1538919008,25
1538919011,25
1538919014,25
1538919017,25
1538919020,25
1538919023,25
1538919026,25
1538919029,25
1538919032,25
1538919035,32
1538919038,32
1538919041,32
1538919044,32
1538919047,32
1538919050,32
1538919053,32
1538919056,32
1538919059,32
1538919062,32
1538919065,32
1538919068,32
1538919071,32
1538919074,32
1538919077,32
1538919080,32
1538919083,32
1538919086,32
1538919089,32
1538919092,32
1538919095,39
1538919098,39
1538919101,39
1538919104,39
1538919107,39
1538919110,39
1538919113,39
1538919116,39
1538919119,39
1538919122,39
1538919125,39
1538919128,39
1538919131,39
1538919134,39
1538919137,39
1538919140,39
1538919143,39
1538919146,39
1538919149,39
1538919152,39
1538919155,46
1538919158,46
1538919161,46
1538919164,46
1538919167,46
1538919170,59
1538919173,59
1538919176,59
1538919179,64
1538919182,64
1538919185,64
1538919188,64
1538919191,64
1538919194,64
1538919197,74
1538919200,74
1538919203,74
1538919206,75
1538919209,75
1538919212,75
1538919215,89
1538919218,89
1538919221,89
1538919224,89
1538919227,89
1538919230,89
1538919233,89
1538919236,89
1538919239,89
1538919242,89
1538919245,89
1538919248,89
1538919251,89
1538919254,89
1538919257,89
1538919260,89
1538919263,89
1538919266,89
1538919269,89
1538919272,89
1538919275,103
1538919278,103
1538919281,103
1538919284,103
1538919287,103
1538919290,103
1538919293,103
1538919296,103
1538919299,103
1538919302,103
1538919305,103
1538919308,103
1538919311,103
1538919314,103
1538919317,103
1538919320,103
1538919323,103
1538919326,103
1538919329,103
1538919332,103
1538919335,117
1538919338,117
1538919341,117
1538919344,117
1538919347,117
1538919350,117
1538919353,117
1538919356,117
1538919359,117
1538919362,117
1538919365,117
1538919368,117
1538919371,117
1538919374,117
1538919377,117
1538919380,117
1538919383,117
1538919386,117
1538919389,117
1538919392,117
1538919395,131
1538919398,131
1538919401,131
1538919404,131
1538919407,131
1538919410,131
1538919413,131
1538919416,131
1538919419,131
1538919422,131
1538919425,131
1538919428,131
1538919431,131
1538919434,131
1538919437,131
1538919440,131
1538919443,131
1538919446,131
1538919449,131
1538919452,131
1538919455,145
1538919458,145
1538919461,145
1538919464,145
1538919467,145
1538919470,145
1538919473,145
1538919476,145
1538919479,145
1538919482,145
1538919485,145
1538919488,145
1538919491,145
1538919494,145
1538919497,145
1538919500,145
1538919503,145
1538919506,145
1538919509,145
1538919512,145
1538919515,159
1538919518,159
1538919521,159
1538919524,159
1538919527,159
1538919530,159
1538919533,159
1538919536,159
1538919539,159
1538919542,159
1538919545,159
1538919548,159
1538919551,159
1538919554,159
1538919557,159
1538919560,159
1538919563,159
1538919566,159
1538919569,159
1538919572,159
1538919575,173
1538919578,173
1538919581,173
1538919584,173
1538919587,173
1538919590,173
1538919593,173
1538919615,173
1538919618,173
1538919621,173
1538919624,173
1538919627,173
1538919630,173
1538919633,173
1538919636,173
1538919639,173
1538919642,173
1538919645,173
1538919648,173
1538919651,173
1538919654,187
1538919657,187
1538919660,187
1538919663,187
1538919666,187
1538919669,187
1538919672,187
1538919675,187
1538919678,187
1538919681,187
1538919684,187
1538919687,187
1538919690,187
1538919693,187
1538919696,187
1538919699,187
1538919702,187
1538919705,187
1538919708,187
1538919711,187
1538919714,201
1538919717,201
1538919720,201
1538919723,201
1538919726,201
1538919729,201
1538919732,201
1538919735,201
1538919738,201
1538919741,201
1538919744,201
1538919747,201
1538919750,201
1538919753,201
1538919756,201
1538919759,201
1538919762,201
1538919765,201
1538919768,201
1538919771,201
1538919774,215
1538919777,215
1538919780,215
1538919783,215
1538919786,215
1538919789,215
1538919792,215
1538919795,215
1538919798,215
1538919801,215
1538919804,215
1538919807,215
1538919810,215
1538919813,215
1538919816,215
1538919819,215
1538919822,215
1538919825,215
1538919828,215
1538919831,215
1538919834,229
1538919837,229
1538919840,229
1538919843,229
1538919846,229
1538919849,229
1538919852,229
1538919855,229
1538919858,229
1538919861,229
1538919864,229
1538919867,229
1538919870,229
1538919873,229
1538919876,229
1538919879,229
1538919882,229
1538919885,229
1538919888,229
1538919891,229
1538919894,243
1538919897,243
1538919900,243
1538919903,243
1538919906,243
1538919909,243
1538919912,243
1538919915,243
1538919918,243
1538919921,243
1538919924,243
1538919927,243
1538919930,243
1538919933,243
1538919936,243
1538919939,243
1538919942,243
1538919945,243
1538919948,243
1538919951,243
1538919954,257
1538919957,257
1538919960,257
1538919963,257
1538919966,257
1538919969,257
1538919972,257
1538919975,257
1538919978,257
1538919981,257
1538919984,257
1538919987,257
1538919990,257
1538919993,257
1538919996,257
1538919999,257
1538920002,257
1538920005,257
1538920008,257
1538920011,257
1538920014,271
1538920017,271
1538920020,271
1538920023,271
1538920026,271
1538920029,271
1538920032,271
1538920035,271
1538920038,271
1538920041,271
1538920044,271
1538920047,271
1538920050,271
1538920053,271
1538920056,271
1538920059,271
1538920062,271
1538920065,271
1538920068,271
1538920071,271
1538920074,285
1538920077,285
1538920080,285
1538920083,285
1538920086,285
1538920089,285
1538920092,285
1538920095,285
1538920098,285
1538920101,285
1538920104,285
1538920107,285
1538920110,285
1538920113,285
1538920116,285
1538920119,285
1538920122,285
1538920125,285
1538920128,285
1538920131,285
1538920134,299
1538920137,299
1538920140,299
1538920143,299
1538920146,299
1538920149,299
1538920152,299
1538920155,299
1538920158,299
1538920161,299
1538920164,299
1538920167,299
1538920170,299
1538920173,299
1538920176,299
1538920179,299
1538920182,299
1538920185,299
1538920188,299
1538920191,299
1538920194,313
1538920197,313
1538920200,313
1538920203,313
1538920206,313
1538920209,313
1538920212,313
1538920215,313
1538920218,313
1538920221,313
1538920224,313
1538920227,313
1538920230,313
1538920233,313
1538920236,313
1538920239,313
1538920242,313
1538920245,313
1538920248,313
1538920251,313
1538920254,327
1538920257,327
1538920260,327
1538920263,327
1538920266,327
1538920269,327
1538920272,327
1538920275,327
1538920278,327
1538920281,327
1538920284,327
1538920287,327
1538920290,327
1538920293,327
1538920296,327
1538920299,327
1538920302,327
1538920305,327
1538920308,327
1538920311,327
1538920314,341
1538920317,341
1538920320,341
1538920323,341
1538920326,341
1538920329,341
1538920332,341
1538920335,341
1538920338,341
1538920341,341
1538920344,341
1538920347,341
1538920350,341
1538920353,341
1538920356,341
1538920359,341
1538920362,341
1538920365,341
1538920368,341
1538920371,341
1538920374,355
1538920377,355
1538920380,355
1538920383,355
1538920386,355
1538920389,355
1538920392,355
1538920395,355
1538920398,355
1538920401,355
1538920404,355
1538920407,355
1538920410,355
1538920413,355
1538920416,355
1538920419,355
1538920422,355
1538920425,355
1538920428,355
1538920431,355
1538920434,369
1538920437,369
1538920440,369
1538920443,369
1538920446,369
1538920449,369
1538920452,369
1538920455,369
1538920458,369
1538920461,369
1538920464,369
1538920467,369
1538920470,369
1538920473,369
1538920476,369
1538920479,369
1538920482,369
1538920485,369
1538920488,369
1538920491,369
1538920494,383
1538920497,383
1538920500,383
1538920503,383
1538920506,383
1538920509,383
1538920512,383
1538920515,383
1538920518,383
1538920521,383
1538920524,383
1538920527,383
1538920530,383
1538920533,383
1538920536,383
1538920539,383
1538920534,383
1538920537,383
1538920540,383
1538920543,383
1538920546,397
1538920549,397
1538920552,397
1538920555,397
1538920558,397
1538920561,397
1538920564,397
1538920567,397
1538920570,397
1538920573,397
1538920576,397
1538920579,397
1538920582,397
1538920585,397
1538920588,397
1538920591,397
1538920594,397
1538920597,397
1538920600,397
1538920603,397
1538920606,411
1538920609,411
1538920612,411
1538920615,411
1538920618,411
1538920621,411
1538920624,411
1538920627,411
1538920630,411
1538920633,411
1538920636,411
1538920639,411
1538920642,411
1538920645,411
1538920648,411
1538920651,411
1538920654,411
1538920657,411
1538920660,411
1538920663,411
1538920666,425
1538920669,425
1538920672,425
1538920675,425
1538920678,425
1538920681,425
1538920684,425
1538920687,425
1538920690,425
1538920693,425
1538920696,425
1538920699,425
1538920702,425
1538920705,425
1538920708,425
1538920711,425
1538920714,425
1538920717,425
1538920720,425
1538920723,425
1538920726,438
1538920729,438
1538920732,438
1538920735,438
1538920738,438
1538920741,438
1538920744,438
1538920747,438
1538920750,438
1538920753,438
1538920756,438
1538920759,438
1538920762,438
1538920765,438
1538920768,438
1538920771,438
1538920774,438
1538920777,438
1538920780,438
1538920783,438
1538920786,451
1538920789,451
1538920792,451
1538920795,451
1538920798,451
1538920801,451
1538920804,451
1538920807,451
1538920810,451
1538920813,451
1538920816,451
1538920819,451
1538920822,451
1538920825,451
1538920828,451
1538920831,451
1538920834,451
1538920837,451
1538920840,451
1538920843,451
1538920846,464
1538920849,464
1538920852,464
1538920855,464
1538920858,464
1538920861,464
1538920864,464
1538920867,464
