t,value
1538918384,22
1538918387,23
1538918390,23
1538918393,23
1538918396,23
1538918399,23
1538918402,23
1538918405,23
1538918408,23
1538918411,23
1538918414,23
1538918417,23
1538918420,23
1538918423,23
1538918426,23
1538918429,23
1538918432,23
1538918435,23
1538918438,23
1538918441,23
1538918444,23
1538918447,23
1538918450,23
1538918453,23
1538918456,23
1538918459,23
1538918462,23
1538918465,23
1538918468,23
1538918471,23
1538918474,23
1538918477,23
1538918480,23
1538918483,23
1538918486,23
1538918489,23
1538918492,23
1538918495,23
1538918498,23
1538918501,23
1538918504,23
1538918507,23
1538918510,23
1538918513,23
1538918516,23
1538918519,23
1538918522,23
1538918525,23
1538918528,23
1538918531,23
1538918534,23
1538918537,23
1538918540,23
1538918543,23
1538918546,23
1538918549,23
1538918552,23
1538918555,23
1538918558,23
1538918561,23
1538918564,23
1538918567,23
1538918570,23
1538918573,23
1538918576,23
1538918579,23
1538918582,23
1538918585,23
1538918588,23
1538918591,23
1538918594,23
1538918597,23
1538918600,23
1538918603,23
1538918606,23
1538918609,23
1538918612,23
1538918615,23
1538918618,23
1538918621,23
1538918624,23
1538918627,23
1538918630,23
1538918633,23
1538918636,23
1538918639,23
t,value
1538918915,19
1538918918,19
1538918921,19
1538918924,19
1538918927,19
1538918930,19
1538918933,19
1538918936,19
1538918939,19
1538918942,19
1538918945,19
1538918948,19
1538918951,19
1538918954,19
1538918957,19
1538918960,19
1538918963,19
1538918966,19
1538918969,19
1538918972,19
1538918975,19
1538918978,19
1538918981,19
1538918984,19
1538918987,19
1538918990,19
1538918993,19
1538918996,19
1538918999,19
1538919002,19
1538919005,19
1538919008,19
1538919011,19
1538919014,19
1538919017,19
1538919020,19
1538919023,19
1538919026,19
1538919029,19
1538919032,19
1538919035,19
1538919038,19
1538919041,19
1538919044,19
1538919047,19
1538919050,19
1538919053,19
1538919056,19
1538919059,19
1538919062,19
1538919065,19
1538919068,19
1538919071,19
1538919074,19
1538919077,19
1538919080,19
1538919083,19
1538919086,19
1538919089,19
1538919092,19
1538919095,19
1538919098,19
1538919101,19
1538919104,19
1538919107,19
1538919110,19
1538919113,19
1538919116,19
1538919119,19
1538919122,19
1538919125,19
1538919128,19
1538919131,19
1538919134,19
1538919137,19
1538919140,19
1538919143,19
1538919146,19
1538919149,19
1538919152,19
1538919155,19
1538919158,19
1538919161,19
1538919164,19
1538919167,19
1538919170,26
1538919173,26
1538919176,26
1538919179,26
1538919182,26
1538919185,26
1538919188,26
1538919191,26
1538919194,26
1538919197,26
1538919200,26
1538919203,26
1538919206,26
1538919209,26
1538919212,26
1538919215,26
1538919218,26
1538919221,26
1538919224,26
1538919227,26
1538919230,26
1538919233,26
1538919236,26
1538919239,26
1538919242,26
1538919245,26
1538919248,26
1538919251,26
1538919254,26
1538919257,26
1538919260,26
1538919263,26
1538919266,26
1538919269,26
1538919272,26
1538919275,26
1538919278,26
1538919281,26
1538919284,26
1538919287,26
1538919290,26
1538919293,26
1538919296,26
1538919299,26
1538919302,26
1538919305,26
1538919308,26
1538919311,26
1538919314,26
1538919317,26
1538919320,26
1538919323,26
1538919326,26
1538919329,26
1538919332,26
1538919335,26
1538919338,26
1538919341,26
1538919344,26
1538919347,26
1538919350,26
1538919353,26
1538919356,26
1538919359,26
1538919362,26
1538919365,26
1538919368,26
1538919371,26
1538919374,26
1538919377,26
1538919380,26
1538919383,26
1538919386,26
1538919389,26
1538919392,26
1538919395,26
1538919398,26
1538919401,26
1538919404,26
1538919407,26
1538919410,26
1538919413,26
1538919416,26
1538919419,26
1538919422,26
1538919425,26
1538919428,26
1538919431,26
1538919434,26
1538919437,26
1538919440,26
1538919443,26
1538919446,26
1538919449,26
1538919452,26
1538919455,26
1538919458,26
1538919461,26
1538919464,26
1538919467,26
1538919470,26
1538919473,26
1538919476,26
1538919479,26
1538919482,26
1538919485,26
1538919488,26
1538919491,26
1538919494,26
1538919497,26
1538919500,26
1538919503,26
1538919506,26
1538919509,26
1538919512,26
1538919515,26
1538919518,26
1538919521,26
1538919524,26
1538919527,26
1538919530,26
1538919533,26
1538919536,26
1538919539,26
1538919542,26
1538919545,26
1538919548,26
1538919551,26
1538919554,26
1538919557,26
1538919560,26
1538919563,26
1538919566,26
1538919569,26
1538919572,26
1538919575,26
1538919578,26
1538919581,26
1538919584,26
1538919587,26
1538919590,26
1538919593,26
1538919615,26
1538919618,26
1538919621,26
1538919624,26
1538919627,26
1538919630,26
1538919633,26
1538919636,26
1538919639,26
1538919642,26
1538919645,26
1538919648,26
1538919651,26
1538919654,26
1538919657,26
1538919660,26
1538919663,26
1538919666,26
1538919669,26
1538919672,26
1538919675,26
1538919678,26
1538919681,26
1538919684,26
1538919687,26
1538919690,26
1538919693,26
1538919696,26
1538919699,26
1538919702,26
1538919705,26
1538919708,26
1538919711,26
1538919714,26
1538919717,26
1538919720,26
1538919723,26
1538919726,26
1538919729,26
1538919732,26
1538919735,26
1538919738,26
1538919741,26
1538919744,26
1538919747,26
1538919750,26
1538919753,26
1538919756,26
1538919759,26
1538919762,26
1538919765,26
1538919768,26
1538919771,26
1538919774,26
1538919777,26
1538919780,26
1538919783,26
1538919786,26
1538919789,26
1538919792,26
1538919795,26
1538919798,26
1538919801,26
1538919804,26
1538919807,26
1538919810,26
1538919813,26
1538919816,26
1538919819,26
1538919822,26
1538919825,26
1538919828,26
1538919831,26
1538919834,26
1538919837,26
1538919840,26
1538919843,26
1538919846,26
1538919849,26
1538919852,26
1538919855,26
1538919858,26
1538919861,26
1538919864,26
1538919867,26
1538919870,26
1538919873,26
1538919876,26
1538919879,26
1538919882,26
1538919885,26
1538919888,26
1538919891,26
1538919894,26
1538919897,26
1538919900,26
1538919903,26
1538919906,26
1538919909,26
1538919912,26
1538919915,26
1538919918,26
1538919921,26
1538919924,26
1538919927,26
1538919930,26
1538919933,26
1538919936,26
1538919939,26
1538919942,26
1538919945,26
1538919948,26
1538919951,26
1538919954,26
1538919957,26
1538919960,26
1538919963,26
1538919966,26
1538919969,26
1538919972,26
1538919975,26
1538919978,26
1538919981,26
1538919984,26
1538919987,26
1538919990,26
1538919993,26
1538919996,26
1538919999,26
1538920002,26
1538920005,26
1538920008,26
1538920011,26
1538920014,26
1538920017,26
1538920020,26
1538920023,26
1538920026,26
1538920029,26
1538920032,26
1538920035,26
1538920038,26
1538920041,26
1538920044,26
1538920047,26
1538920050,26
1538920053,26
1538920056,26
1538920059,26
1538920062,26
1538920065,26
1538920068,26
1538920071,26
1538920074,26
1538920077,26
1538920080,26
1538920083,26
1538920086,26
1538920089,26
1538920092,26
1538920095,26
1538920098,26
1538920101,26
1538920104,26
1538920107,26
1538920110,26
1538920113,26
1538920116,26
1538920119,26
1538920122,26
1538920125,26
1538920128,26
1538920131,26
1538920134,26
1538920137,26
1538920140,26
1538920143,26
1538920146,26
1538920149,26
1538920152,26
1538920155,26
1538920158,26
1538920161,26
1538920164,26
1538920167,26
1538920170,26
1538920173,26
1538920176,26
1538920179,26
1538920182,26
1538920185,26
1538920188,26
1538920191,26
1538920194,26
1538920197,26
1538920200,26
1538920203,26
1538920206,26
1538920209,26
1538920212,26
1538920215,26
1538920218,26
1538920221,26
1538920224,26
1538920227,26
1538920230,26
1538920233,26
1538920236,26
1538920239,26
1538920242,26
1538920245,26
1538920248,26
1538920251,26
1538920254,26
1538920257,26
1538920260,26
1538920263,26
1538920266,26
1538920269,26
1538920272,26
1538920275,26
1538920278,26
1538920281,26
1538920284,26
1538920287,26
1538920290,26
1538920293,26
1538920296,26
1538920299,26
1538920302,26
1538920305,26
1538920308,26
1538920311,26
1538920314,26
1538920317,26
1538920320,26
1538920323,26
1538920326,26
1538920329,26
1538920332,26
