t,value
1538918384,68
1538918387,69
1538918390,69
1538918393,69
1538918396,69
1538918399,69
1538918402,69
1538918405,69
1538918408,69
1538918411,69
1538918414,69
1538918417,69
1538918420,69
1538918423,69
1538918426,69
1538918429,69
1538918432,69
1538918435,69
1538918438,69
1538918441,69
1538918444,89
1538918447,89
1538918450,89
1538918453,89
1538918456,89
1538918459,89
1538918462,89
1538918465,89
1538918468,89
1538918471,89
1538918474,89
1538918477,89
1538918480,89
1538918483,89
1538918486,89
1538918489,89
1538918492,89
1538918495,89
1538918498,89
1538918501,89
1538918504,109
1538918507,109
1538918510,109
1538918513,109
1538918516,109
1538918519,109
1538918522,109
1538918525,109
1538918528,109
1538918531,109
1538918534,109
1538918537,109
1538918540,109
1538918543,109
1538918546,109
1538918549,109
1538918552,109
1538918555,109
1538918558,109
1538918561,109
1538918564,129
1538918567,129
1538918570,129
1538918573,129
1538918576,129
1538918579,129
1538918582,129
1538918585,129
1538918588,129
1538918591,129
1538918594,129
1538918597,129
1538918600,129
1538918603,129
1538918606,129
1538918609,129
1538918612,129
1538918615,129
1538918618,129
1538918621,129
1538918624,149
1538918627,149
1538918630,149
1538918633,149
1538918636,149
1538918639,149
t,value
1538918915,50
1538918918,50
1538918921,50
1538918924,50
1538918927,50
1538918930,50
1538918933,50
1538918936,50
1538918939,50
1538918942,50
1538918945,50
1538918948,50
1538918951,50
1538918954,50
1538918957,50
1538918960,50
1538918963,50
1538918966,50
1538918969,50
1538918972,50
1538918975,70
1538918978,70
1538918981,70
1538918984,70
1538918987,70
1538918990,70
1538918993,70
1538918996,70
1538918999,70
1538919002,70
1538919005,70
1538919008,70
1538919011,70
1538919014,70
1538919017,70
1538919020,70
1538919023,70
1538919026,70
1538919029,70
1538919032,70
1538919035,90
1538919038,90
1538919041,90
1538919044,90
1538919047,90
1538919050,90
1538919053,90
1538919056,90
1538919059,90
1538919062,90
1538919065,90
1538919068,90
1538919071,90
1538919074,90
1538919077,90
1538919080,90
1538919083,90
1538919086,90
1538919089,90
1538919092,90
1538919095,110
1538919098,110
1538919101,110
1538919104,110
1538919107,110
1538919110,110
1538919113,110
1538919116,110
1538919119,110
1538919122,110
1538919125,110
1538919128,110
1538919131,110
1538919134,110
1538919137,110
1538919140,110
1538919143,110
1538919146,110
1538919149,110
1538919152,110
1538919155,130
1538919158,130
1538919161,130
1538919164,130
1538919167,130
1538919170,150
1538919173,150
1538919176,150
1538919179,155
1538919182,155
1538919185,155
1538919188,155
1538919191,155
1538919194,155
1538919197,165
1538919200,165
1538919203,165
1538919206,166
1538919209,166
1538919212,166
1538919215,191
1538919218,191
1538919221,191
1538919224,191
1538919227,191
1538919230,191
1538919233,191
1538919236,191
1538919239,191
1538919242,191
1538919245,191
1538919248,191
1538919251,191
1538919254,191
1538919257,191
1538919260,191
1538919263,191
1538919266,191
1538919269,191
1538919272,191
1538919275,216
1538919278,216
1538919281,216
1538919284,216
1538919287,216
1538919290,216
1538919293,216
1538919296,216
1538919299,216
1538919302,216
1538919305,216
1538919308,216
1538919311,216
1538919314,216
1538919317,216
1538919320,216
1538919323,216
1538919326,216
1538919329,216
1538919332,216
1538919335,241
1538919338,241
1538919341,241
1538919344,241
1538919347,241
1538919350,241
1538919353,241
1538919356,241
1538919359,241
1538919362,241
1538919365,241
1538919368,241
1538919371,241
1538919374,241
1538919377,241
1538919380,241
1538919383,241
1538919386,241
1538919389,241
1538919392,241
1538919395,266
1538919398,266
1538919401,266
1538919404,266
1538919407,266
1538919410,266
1538919413,266
1538919416,266
1538919419,266
1538919422,266
1538919425,266
1538919428,266
1538919431,266
1538919434,266
1538919437,266
1538919440,266
1538919443,266
1538919446,266
1538919449,266
1538919452,266
1538919455,291
1538919458,291
1538919461,291
1538919464,291
1538919467,291
1538919470,291
1538919473,291
1538919476,291
1538919479,291
1538919482,291
1538919485,291
1538919488,291
1538919491,291
1538919494,291
1538919497,291
1538919500,291
1538919503,291
1538919506,291
1538919509,291
1538919512,291
1538919515,316
1538919518,316
1538919521,316
1538919524,316
1538919527,316
1538919530,316
1538919533,316
1538919536,316
1538919539,316
1538919542,316
1538919545,316
1538919548,316
1538919551,316
1538919554,316
1538919557,316
1538919560,316
1538919563,316
1538919566,316
1538919569,316
1538919572,316
1538919575,341
1538919578,341
1538919581,341
1538919584,341
1538919587,341
1538919590,341
1538919593,341
1538919615,341
1538919618,341
1538919621,341
1538919624,341
1538919627,341
1538919630,341
1538919633,341
1538919636,341
1538919639,341
1538919642,341
1538919645,341
1538919648,341
1538919651,341
1538919654,366
1538919657,366
1538919660,366
1538919663,366
1538919666,366
1538919669,366
1538919672,366
1538919675,366
1538919678,366
1538919681,366
1538919684,366
1538919687,366
1538919690,366
1538919693,366
1538919696,366
1538919699,366
1538919702,366
1538919705,366
1538919708,366
1538919711,366
1538919714,391
1538919717,391
1538919720,391
1538919723,391
1538919726,391
1538919729,391
1538919732,391
1538919735,391
1538919738,391
1538919741,391
1538919744,391
1538919747,391
1538919750,391
1538919753,391
1538919756,391
1538919759,391
1538919762,391
1538919765,391
1538919768,391
1538919771,391
1538919774,416
1538919777,416
1538919780,416
1538919783,416
1538919786,416
1538919789,416
1538919792,416
1538919795,416
1538919798,416
1538919801,416
1538919804,416
1538919807,416
1538919810,416
1538919813,416
1538919816,416
1538919819,416
1538919822,416
1538919825,416
1538919828,416
1538919831,416
1538919834,441
1538919837,441
1538919840,441
1538919843,441
1538919846,441
1538919849,441
1538919852,441
1538919855,441
1538919858,441
1538919861,441
1538919864,441
1538919867,441
1538919870,441
1538919873,441
1538919876,441
1538919879,441
1538919882,441
1538919885,441
1538919888,441
1538919891,441
1538919894,466
1538919897,466
1538919900,466
1538919903,466
1538919906,466
1538919909,466
1538919912,466
1538919915,466
1538919918,466
1538919921,466
1538919924,466
1538919927,466
1538919930,466
1538919933,466
1538919936,466
1538919939,466
1538919942,466
1538919945,466
1538919948,466
1538919951,466
1538919954,491
1538919957,491
1538919960,491
1538919963,491
1538919966,491
1538919969,491
1538919972,491
1538919975,491
1538919978,491
1538919981,491
1538919984,491
1538919987,491
1538919990,491
1538919993,491
1538919996,491
1538919999,491
1538920002,491
1538920005,491
1538920008,491
1538920011,491
1538920014,516
1538920017,516
1538920020,516
1538920023,516
1538920026,516
1538920029,516
1538920032,516
1538920035,516
1538920038,516
1538920041,516
1538920044,516
1538920047,516
1538920050,516
1538920053,516
1538920056,516
1538920059,516
1538920062,516
1538920065,516
1538920068,516
1538920071,516
1538920074,541
1538920077,541
1538920080,541
1538920083,541
1538920086,541
1538920089,541
1538920092,541
1538920095,541
1538920098,541
1538920101,541
1538920104,541
1538920107,541
1538920110,541
1538920113,541
1538920116,541
1538920119,541
1538920122,541
1538920125,541
1538920128,541
1538920131,541
1538920134,566
1538920137,566
1538920140,566
1538920143,566
1538920146,566
1538920149,566
1538920152,566
1538920155,566
1538920158,566
1538920161,566
1538920164,566
1538920167,566
1538920170,566
1538920173,566
1538920176,566
1538920179,566
1538920182,566
1538920185,566
1538920188,566
1538920191,566
1538920194,591
1538920197,591
1538920200,591
1538920203,591
1538920206,591
1538920209,591
1538920212,591
1538920215,591
1538920218,591
1538920221,591
1538920224,591
1538920227,591
1538920230,591
1538920233,591
1538920236,591
1538920239,591
1538920242,591
1538920245,591
1538920248,591
1538920251,591
1538920254,616
1538920257,616
1538920260,616
1538920263,616
1538920266,616
1538920269,616
1538920272,616
1538920275,616
1538920278,616
1538920281,616
1538920284,616
1538920287,616
1538920290,616
1538920293,616
1538920296,616
1538920299,616
1538920302,616
1538920305,616
1538920308,616
1538920311,616
1538920314,641
1538920317,641
1538920320,641
1538920323,641
1538920326,641
1538920329,641
1538920332,641
1538920335,641
1538920338,641
1538920341,641
1538920344,641
1538920347,641
1538920350,641
1538920353,641
1538920356,641
1538920359,641
1538920362,641
1538920365,641
1538920368,641
1538920371,641
1538920374,666
1538920377,666
1538920380,666
1538920383,666
1538920386,666
1538920389,666
1538920392,666
1538920395,666
1538920398,666
1538920401,666
1538920404,666
1538920407,666
1538920410,666
1538920413,666
1538920416,666
1538920419,666
1538920422,666
1538920425,666
1538920428,666
1538920431,666
1538920434,691
1538920437,691
1538920440,691
1538920443,691
1538920446,691
1538920449,691
1538920452,691
1538920455,691
1538920458,691
1538920461,691
1538920464,691
1538920467,691
1538920470,691
1538920473,691
1538920476,691
1538920479,691
1538920482,691
1538920485,691
1538920488,691
1538920491,691
1538920494,716
1538920497,716
1538920500,716
1538920503,716
1538920506,716
1538920509,716
1538920512,716
1538920515,716
1538920518,716
1538920521,716
1538920524,716
1538920527,716
1538920530,716
1538920533,716
1538920536,716
1538920539,716
1538920534,716
1538920537,716
1538920540,716
1538920543,716
1538920546,741
1538920549,741
1538920552,741
1538920555,741
1538920558,741
1538920561,741
1538920564,741
1538920567,741
1538920570,741
1538920573,741
1538920576,741
1538920579,741
1538920582,741
1538920585,741
1538920588,741
1538920591,741
1538920594,741
1538920597,741
1538920600,741
1538920603,741
1538920606,766
1538920609,766
1538920612,766
1538920615,766
1538920618,766
1538920621,766
1538920624,766
1538920627,766
1538920630,766
1538920633,766
1538920636,766
1538920639,766
1538920642,766
1538920645,766
1538920648,766
1538920651,766
1538920654,766
1538920657,766
1538920660,766
1538920663,766
1538920666,791
1538920669,791
1538920672,791
1538920675,791
1538920678,791
1538920681,791
1538920684,791
1538920687,791
1538920690,791
1538920693,791
1538920696,791
1538920699,791
1538920702,791
1538920705,791
1538920708,791
1538920711,791
1538920714,791
1538920717,791
1538920720,791
1538920723,791
1538920726,816
1538920729,816
1538920732,816
1538920735,816
1538920738,816
1538920741,816
1538920744,816
1538920747,816
1538920750,816
1538920753,816
1538920756,816
1538920759,816
1538920762,816
1538920765,816
1538920768,816
1538920771,816
1538920774,816
1538920777,816
1538920780,816
1538920783,816
1538920786,841
1538920789,841
1538920792,841
1538920795,841
1538920798,841
1538920801,841
1538920804,841
1538920807,841
1538920810,841
1538920813,841
1538920816,841
