t,value
1538918384,51
1538918387,52
1538918390,52
1538918393,52
1538918396,52
1538918399,52
1538918402,52
1538918405,52
1538918408,52
1538918411,52
1538918414,52
1538918417,52
1538918420,52
1538918423,52
1538918426,52
1538918429,52
1538918432,52
1538918435,52
1538918438,52
1538918441,52
1538918444,58
1538918447,58
1538918450,58
1538918453,58
1538918456,58
1538918459,58
1538918462,58
1538918465,58
1538918468,58
1538918471,58
1538918474,58
1538918477,58
1538918480,58
1538918483,58
1538918486,58
1538918489,58
1538918492,58
1538918495,58
1538918498,58
1538918501,58
1538918504,64
1538918507,64
1538918510,64
1538918513,64
1538918516,64
1538918519,64
1538918522,64
1538918525,64
1538918528,64
1538918531,64
1538918534,64
1538918537,64
1538918540,64
1538918543,64
1538918546,64
1538918549,64
1538918552,64
1538918555,64
1538918558,64
1538918561,64
1538918564,70
1538918567,70
1538918570,70
1538918573,70
1538918576,70
1538918579,70
1538918582,70
1538918585,70
1538918588,70
1538918591,70
1538918594,70
1538918597,70
1538918600,70
1538918603,70
1538918606,70
1538918609,70
1538918612,70
1538918615,70
1538918618,70
1538918621,70
1538918624,76
1538918627,76
1538918630,76
1538918633,76
1538918636,76
1538918639,76
t,value
1538918915,36
1538918918,36
1538918921,36
1538918924,36
1538918927,36
1538918930,36
1538918933,36
1538918936,36
1538918939,36
1538918942,36
1538918945,36
1538918948,36
1538918951,36
1538918954,36
1538918957,36
1538918960,36
1538918963,36
1538918966,36
1538918969,36
1538918972,36
1538918975,43
1538918978,43
1538918981,43
1538918984,43
1538918987,43
1538918990,43
1538918993,43
1538918996,43
1538918999,43
1538919002,43
1538919005,43
1538919008,43
1538919011,43
1538919014,43
1538919017,43
1538919020,43
1538919023,43
1538919026,43
1538919029,43
1538919032,43
1538919035,50
1538919038,50
1538919041,50
1538919044,50
1538919047,50
1538919050,50
1538919053,50
1538919056,50
1538919059,50
1538919062,50
1538919065,50
1538919068,50
1538919071,50
1538919074,50
1538919077,50
1538919080,50
1538919083,50
1538919086,50
1538919089,50
1538919092,50
1538919095,57
1538919098,57
1538919101,57
1538919104,57
1538919107,57
1538919110,57
1538919113,57
1538919116,57
1538919119,57
1538919122,57
1538919125,57
1538919128,57
1538919131,57
1538919134,57
1538919137,57
1538919140,57
1538919143,57
1538919146,57
1538919149,57
1538919152,57
1538919155,64
1538919158,64
1538919161,64
1538919164,64
1538919167,64
1538919170,84
1538919173,84
1538919176,84
1538919179,88
1538919182,88
1538919185,88
1538919188,89
1538919191,89
1538919194,89
1538919197,99
1538919200,99
1538919203,99
1538919206,100
1538919209,100
1538919212,100
1538919215,114
1538919218,114
1538919221,114
1538919224,114
1538919227,114
1538919230,114
1538919233,114
1538919236,114
1538919239,114
1538919242,114
1538919245,114
1538919248,114
1538919251,114
1538919254,114
1538919257,114
1538919260,114
1538919263,114
1538919266,114
1538919269,114
1538919272,114
1538919275,128
1538919278,128
1538919281,128
1538919284,128
1538919287,128
1538919290,128
1538919293,128
1538919296,128
1538919299,128
1538919302,128
1538919305,128
1538919308,128
1538919311,128
1538919314,128
1538919317,128
1538919320,128
1538919323,128
1538919326,128
1538919329,128
1538919332,128
1538919335,142
1538919338,142
1538919341,142
1538919344,142
1538919347,142
1538919350,142
1538919353,142
1538919356,142
1538919359,142
1538919362,142
1538919365,142
1538919368,142
1538919371,142
1538919374,142
1538919377,142
1538919380,142
1538919383,142
1538919386,142
1538919389,142
1538919392,142
1538919395,156
1538919398,156
1538919401,156
1538919404,156
1538919407,156
1538919410,156
1538919413,156
1538919416,156
1538919419,156
1538919422,156
1538919425,156
1538919428,156
1538919431,156
1538919434,156
1538919437,156
1538919440,156
1538919443,156
1538919446,156
1538919449,156
1538919452,156
1538919455,170
1538919458,170
1538919461,170
1538919464,170
1538919467,170
1538919470,170
1538919473,170
1538919476,170
1538919479,170
1538919482,170
1538919485,170
1538919488,170
1538919491,170
1538919494,170
1538919497,170
1538919500,170
1538919503,170
1538919506,170
1538919509,170
1538919512,170
1538919515,184
1538919518,184
1538919521,184
1538919524,184
1538919527,184
1538919530,184
1538919533,184
1538919536,184
1538919539,184
1538919542,184
1538919545,184
1538919548,184
1538919551,184
1538919554,184
1538919557,184
1538919560,184
1538919563,184
1538919566,184
1538919569,184
1538919572,184
1538919575,198
1538919578,198
1538919581,198
1538919584,198
1538919587,198
1538919590,198
1538919593,198
1538919615,198
1538919618,198
1538919621,198
1538919624,198
1538919627,198
1538919630,198
1538919633,198
1538919636,198
1538919639,198
1538919642,198
1538919645,198
1538919648,198
1538919651,198
1538919654,212
1538919657,212
1538919660,212
1538919663,212
1538919666,212
1538919669,212
1538919672,212
1538919675,212
1538919678,212
1538919681,212
1538919684,212
1538919687,212
1538919690,212
1538919693,212
1538919696,212
1538919699,212
1538919702,212
1538919705,212
1538919708,212
1538919711,212
1538919714,226
1538919717,226
1538919720,226
1538919723,226
1538919726,226
1538919729,226
1538919732,226
1538919735,226
1538919738,226
1538919741,226
1538919744,226
1538919747,226
1538919750,226
1538919753,226
1538919756,226
1538919759,226
1538919762,226
1538919765,226
1538919768,226
1538919771,226
1538919774,240
1538919777,240
1538919780,240
1538919783,240
1538919786,240
1538919789,240
1538919792,240
1538919795,240
1538919798,240
1538919801,240
1538919804,240
1538919807,240
1538919810,240
1538919813,240
1538919816,240
1538919819,240
1538919822,240
1538919825,240
1538919828,240
1538919831,240
1538919834,254
1538919837,254
1538919840,254
1538919843,254
1538919846,254
1538919849,254
1538919852,254
1538919855,254
1538919858,254
1538919861,254
1538919864,254
1538919867,254
1538919870,254
1538919873,254
1538919876,254
1538919879,254
1538919882,254
1538919885,254
1538919888,254
1538919891,254
1538919894,268
1538919897,268
1538919900,268
1538919903,268
1538919906,268
1538919909,268
1538919912,268
1538919915,268
1538919918,268
1538919921,268
1538919924,268
1538919927,268
1538919930,268
1538919933,268
1538919936,268
1538919939,268
1538919942,268
1538919945,268
1538919948,268
1538919951,268
1538919954,282
1538919957,282
1538919960,282
1538919963,282
1538919966,282
1538919969,282
1538919972,282
1538919975,282
1538919978,282
1538919981,282
1538919984,282
1538919987,282
1538919990,282
1538919993,282
1538919996,282
1538919999,282
1538920002,282
1538920005,282
1538920008,282
1538920011,282
1538920014,296
1538920017,296
1538920020,296
1538920023,296
1538920026,296
1538920029,296
1538920032,296
1538920035,296
1538920038,296
1538920041,296
1538920044,296
1538920047,296
1538920050,296
1538920053,296
1538920056,296
1538920059,296
1538920062,296
1538920065,296
1538920068,296
1538920071,296
1538920074,310
1538920077,310
1538920080,310
1538920083,310
1538920086,310
1538920089,310
1538920092,310
1538920095,310
1538920098,310
1538920101,310
1538920104,310
1538920107,310
1538920110,310
1538920113,310
1538920116,310
1538920119,310
1538920122,310
1538920125,310
1538920128,310
1538920131,310
1538920134,324
1538920137,324
1538920140,324
1538920143,324
1538920146,324
1538920149,324
1538920152,324
1538920155,324
1538920158,324
1538920161,324
1538920164,324
1538920167,324
1538920170,324
1538920173,324
1538920176,324
1538920179,324
1538920182,324
1538920185,324
1538920188,324
1538920191,324
1538920194,338
1538920197,338
1538920200,338
1538920203,338
1538920206,338
1538920209,338
1538920212,338
1538920215,338
1538920218,338
1538920221,338
1538920224,338
1538920227,338
1538920230,338
1538920233,338
1538920236,338
1538920239,338
1538920242,338
1538920245,338
1538920248,338
1538920251,338
1538920254,352
1538920257,352
1538920260,352
1538920263,352
1538920266,352
1538920269,352
1538920272,352
1538920275,352
1538920278,352
1538920281,352
1538920284,352
1538920287,352
1538920290,352
1538920293,352
1538920296,352
1538920299,352
1538920302,352
1538920305,352
1538920308,352
1538920311,352
1538920314,366
1538920317,366
1538920320,366
1538920323,366
1538920326,366
1538920329,366
1538920332,366
1538920335,366
1538920338,366
1538920341,366
1538920344,366
1538920347,366
1538920350,366
1538920353,366
1538920356,366
1538920359,366
1538920362,366
1538920365,366
1538920368,366
1538920371,366
1538920374,380
1538920377,380
1538920380,380
1538920383,380
1538920386,380
1538920389,380
1538920392,380
1538920395,380
1538920398,380
1538920401,380
1538920404,380
1538920407,380
1538920410,380
1538920413,380
1538920416,380
1538920419,380
1538920422,380
1538920425,380
1538920428,380
1538920431,380
1538920434,394
1538920437,394
1538920440,394
1538920443,394
1538920446,394
1538920449,394
1538920452,394
1538920455,394
1538920458,394
1538920461,394
1538920464,394
1538920467,394
1538920470,394
1538920473,394
1538920476,394
1538920479,394
1538920482,394
1538920485,394
1538920488,394
1538920491,394
1538920494,408
1538920497,408
1538920500,408
1538920503,408
1538920506,408
1538920509,408
1538920512,408
1538920515,408
1538920518,408
1538920521,408
1538920524,408
1538920527,408
1538920530,408
1538920533,408
1538920536,408
1538920539,408
1538920534,408
1538920537,408
1538920540,408
1538920543,408
1538920546,422
1538920549,422
1538920552,422
1538920555,422
1538920558,422
1538920561,422
1538920564,422
1538920567,422
1538920570,422
1538920573,422
1538920576,422
1538920579,422
1538920582,422
1538920585,422
1538920588,422
1538920591,422
1538920594,422
1538920597,422
1538920600,422
1538920603,422
1538920606,436
1538920609,436
1538920612,436
1538920615,436
1538920618,436
1538920621,436
1538920624,436
1538920627,436
1538920630,436
1538920633,436
1538920636,436
1538920639,436
1538920642,436
1538920645,436
1538920648,436
1538920651,436
1538920654,436
1538920657,436
1538920660,436
1538920663,436
1538920666,450
1538920669,450
1538920672,450
1538920675,450
1538920678,450
1538920681,450
1538920684,450
1538920687,450
1538920690,450
1538920693,450
1538920696,450
1538920699,450
1538920702,450
1538920705,450
1538920708,450
1538920711,450
1538920714,450
1538920717,450
1538920720,450
1538920723,450
1538920726,463
1538920729,463
1538920732,463
1538920735,463
1538920738,463
1538920741,463
1538920744,463
1538920747,463
1538920750,463
1538920753,463
1538920756,463
1538920759,463
1538920762,463
1538920765,463
1538920768,463
1538920771,463
1538920774,463
1538920777,463
1538920780,463
1538920783,463
1538920786,476
1538920789,476
1538920792,476
1538920795,476
1538920798,476
1538920801,476
1538920804,476
1538920807,476
1538920810,476
1538920813,476
1538920816,476
1538920819,476
1538920822,476
1538920825,476
1538920828,476
1538920831,476
1538920834,476
1538920837,476
1538920840,476
1538920843,476
1538920846,489
1538920849,489
1538920852,489
1538920855,489
1538920858,489
1538920861,489
1538920864,489
1538920867,489
1538920870,489
1538920873,489
1538920876,489
1538920879,489
1538920882,489
1538920885,489
1538920888,489
1538920891,489
1538920894,489
1538920897,489
1538920900,489
1538920903,489
1538920906,502
1538920909,502
1538920912,502
1538920915,502
1538920918,502
1538920921,502
1538920924,502
1538920927,502
1538920930,502
1538920933,502
1538920936,502
1538920939,502
1538920942,502
1538920945,502
1538920948,502
1538920951,502
1538920954,502
1538920957,502
1538920960,502
1538920963,502
1538920966,515
1538920969,515
1538920972,515
1538920975,515
1538920978,515
1538920981,515
1538920984,515
1538920987,515
1538920990,515
1538920993,515
1538920996,515
1538920999,515
1538921002,515
1538921005,515
1538921008,515
1538921011,515
