t,value
1538918384,5.616758364502087E-5
1538918387,5.872065562888546E-5
1538918390,5.872065562888546E-5
1538918393,5.872065562888546E-5
1538918396,5.872065562888546E-5
1538918399,5.872065562888546E-5
1538918402,5.872065562888546E-5
1538918405,5.872065562888546E-5
1538918408,5.872065562888546E-5
1538918411,5.872065562888546E-5
1538918414,5.872065562888546E-5
1538918417,5.872065562888546E-5
1538918420,5.872065562888546E-5
1538918423,5.872065562888546E-5
1538918426,5.872065562888546E-5
1538918429,5.872065562888546E-5
1538918432,5.872065562888546E-5
1538918435,5.872065562888546E-5
1538918438,5.872065562888546E-5
1538918441,5.872065562888546E-5
1538918444,5.872065562888546E-5
1538918447,5.872065562888546E-5
1538918450,5.872065562888546E-5
1538918453,5.872065562888546E-5
1538918456,5.872065562888546E-5
1538918459,5.872065562888546E-5
1538918462,5.872065562888546E-5
1538918465,5.872065562888546E-5
1538918468,5.872065562888546E-5
1538918471,5.872065562888546E-5
1538918474,5.872065562888546E-5
1538918477,5.872065562888546E-5
1538918480,5.872065562888546E-5
1538918483,5.872065562888546E-5
1538918486,5.872065562888546E-5
1538918489,5.872065562888546E-5
1538918492,5.872065562888546E-5
1538918495,5.872065562888546E-5
1538918498,5.872065562888546E-5
1538918501,5.872065562888546E-5
1538918504,5.872065562888546E-5
1538918507,5.872065562888546E-5
1538918510,5.872065562888546E-5
1538918513,5.872065562888546E-5
1538918516,5.872065562888546E-5
1538918519,5.872065562888546E-5
1538918522,5.872065562888546E-5
1538918525,5.872065562888546E-5
1538918528,5.872065562888546E-5
1538918531,5.872065562888546E-5
1538918534,5.872065562888546E-5
1538918537,5.872065562888546E-5
1538918540,5.872065562888546E-5
1538918543,5.872065562888546E-5
1538918546,5.872065562888546E-5
1538918549,5.872065562888546E-5
1538918552,5.872065562888546E-5
1538918555,5.872065562888546E-5
1538918558,5.872065562888546E-5
1538918561,5.872065562888546E-5
1538918564,5.872065562888546E-5
1538918567,5.872065562888546E-5
1538918570,5.872065562888546E-5
1538918573,5.872065562888546E-5
1538918576,5.872065562888546E-5
1538918579,5.872065562888546E-5
1538918582,5.872065562888546E-5
1538918585,5.872065562888546E-5
1538918588,5.872065562888546E-5
1538918591,5.872065562888546E-5
1538918594,5.872065562888546E-5
1538918597,5.872065562888546E-5
1538918600,5.872065562888546E-5
1538918603,5.872065562888546E-5
1538918606,5.872065562888546E-5
1538918609,5.872065562888546E-5
1538918612,5.872065562888546E-5
1538918615,5.872065562888546E-5
1538918618,5.872065562888546E-5
1538918621,5.872065562888546E-5
1538918624,5.872065562888546E-5
1538918627,5.872065562888546E-5
1538918630,5.872065562888546E-5
1538918633,5.872065562888546E-5
1538918636,5.872065562888546E-5
1538918639,5.872065562888546E-5
t,value
1538918915,4.8508367693427115E-5
1538918918,4.8508367693427115E-5
1538918921,4.8508367693427115E-5
1538918924,4.8508367693427115E-5
1538918927,4.8508367693427115E-5
1538918930,4.8508367693427115E-5
1538918933,4.8508367693427115E-5
1538918936,4.8508367693427115E-5
1538918939,4.8508367693427115E-5
1538918942,4.8508367693427115E-5
1538918945,4.8508367693427115E-5
1538918948,4.8508367693427115E-5
1538918951,4.8508367693427115E-5
1538918954,4.8508367693427115E-5
1538918957,4.8508367693427115E-5
1538918960,4.8508367693427115E-5
1538918963,4.8508367693427115E-5
1538918966,4.8508367693427115E-5
1538918969,4.8508367693427115E-5
1538918972,4.8508367693427115E-5
1538918975,4.8508367693427115E-5
1538918978,4.8508367693427115E-5
1538918981,4.8508367693427115E-5
1538918984,4.8508367693427115E-5
1538918987,4.8508367693427115E-5
1538918990,4.8508367693427115E-5
1538918993,4.8508367693427115E-5
1538918996,4.8508367693427115E-5
1538918999,4.8508367693427115E-5
1538919002,4.8508367693427115E-5
1538919005,4.8508367693427115E-5
1538919008,4.8508367693427115E-5
1538919011,4.8508367693427115E-5
1538919014,4.8508367693427115E-5
1538919017,4.8508367693427115E-5
1538919020,4.8508367693427115E-5
1538919023,4.8508367693427115E-5
1538919026,4.8508367693427115E-5
1538919029,4.8508367693427115E-5
1538919032,4.8508367693427115E-5
1538919035,4.8508367693427115E-5
1538919038,4.8508367693427115E-5
1538919041,4.8508367693427115E-5
1538919044,4.8508367693427115E-5
1538919047,4.8508367693427115E-5
1538919050,4.8508367693427115E-5
1538919053,4.8508367693427115E-5
1538919056,4.8508367693427115E-5
1538919059,4.8508367693427115E-5
1538919062,4.8508367693427115E-5
1538919065,4.8508367693427115E-5
1538919068,4.8508367693427115E-5
1538919071,4.8508367693427115E-5
1538919074,4.8508367693427115E-5
1538919077,4.8508367693427115E-5
1538919080,4.8508367693427115E-5
1538919083,4.8508367693427115E-5
1538919086,4.8508367693427115E-5
1538919089,4.8508367693427115E-5
1538919092,4.8508367693427115E-5
1538919095,4.8508367693427115E-5
1538919098,4.8508367693427115E-5
1538919101,4.8508367693427115E-5
1538919104,4.8508367693427115E-5
1538919107,4.8508367693427115E-5
1538919110,4.8508367693427115E-5
1538919113,4.8508367693427115E-5
1538919116,4.8508367693427115E-5
1538919119,4.8508367693427115E-5
1538919122,4.8508367693427115E-5
1538919125,4.8508367693427115E-5
1538919128,4.8508367693427115E-5
1538919131,4.8508367693427115E-5
1538919134,4.8508367693427115E-5
1538919137,4.8508367693427115E-5
1538919140,4.8508367693427115E-5
1538919143,4.8508367693427115E-5
1538919146,4.8508367693427115E-5
1538919149,4.8508367693427115E-5
1538919152,4.8508367693427115E-5
1538919155,4.8508367693427115E-5
1538919158,4.8508367693427115E-5
1538919161,4.8508367693427115E-5
1538919164,4.8508367693427115E-5
1538919167,4.8508367693427115E-5
1538919170,6.637987158047921E-5
1538919173,6.637987158047921E-5
1538919176,6.637987158047921E-5
1538919179,6.637987158047921E-5
1538919182,6.637987158047921E-5
1538919185,6.637987158047921E-5
1538919188,6.637987158047921E-5
1538919191,6.637987158047921E-5
1538919194,6.637987158047921E-5
1538919197,6.637987158047921E-5
1538919200,6.637987158047921E-5
1538919203,6.637987158047921E-5
1538919206,6.637987158047921E-5
1538919209,6.637987158047921E-5
1538919212,6.637987158047921E-5
1538919215,6.637987158047921E-5
1538919218,6.637987158047921E-5
1538919221,6.637987158047921E-5
1538919224,6.637987158047921E-5
1538919227,6.637987158047921E-5
1538919230,6.637987158047921E-5
1538919233,6.637987158047921E-5
1538919236,6.637987158047921E-5
1538919239,6.637987158047921E-5
1538919242,6.637987158047921E-5
1538919245,6.637987158047921E-5
1538919248,6.637987158047921E-5
1538919251,6.637987158047921E-5
1538919254,6.637987158047921E-5
1538919257,6.637987158047921E-5
1538919260,6.637987158047921E-5
1538919263,6.637987158047921E-5
1538919266,6.637987158047921E-5
1538919269,6.637987158047921E-5
1538919272,6.637987158047921E-5
1538919275,6.637987158047921E-5
1538919278,6.637987158047921E-5
1538919281,6.637987158047921E-5
1538919284,6.637987158047921E-5
1538919287,6.637987158047921E-5
1538919290,6.637987158047921E-5
1538919293,6.637987158047921E-5
1538919296,6.637987158047921E-5
1538919299,6.637987158047921E-5
1538919302,6.637987158047921E-5
1538919305,6.637987158047921E-5
1538919308,6.637987158047921E-5
1538919311,6.637987158047921E-5
1538919314,6.637987158047921E-5
1538919317,6.637987158047921E-5
1538919320,6.637987158047921E-5
1538919323,6.637987158047921E-5
1538919326,6.637987158047921E-5
1538919329,6.637987158047921E-5
1538919332,6.637987158047921E-5
1538919335,6.637987158047921E-5
1538919338,6.637987158047921E-5
1538919341,6.637987158047921E-5
1538919344,6.637987158047921E-5
1538919347,6.637987158047921E-5
1538919350,6.637987158047921E-5
1538919353,6.637987158047921E-5
1538919356,6.637987158047921E-5
1538919359,6.637987158047921E-5
1538919362,6.637987158047921E-5
1538919365,6.637987158047921E-5
1538919368,6.637987158047921E-5
1538919371,6.637987158047921E-5
1538919374,6.637987158047921E-5
1538919377,6.637987158047921E-5
1538919380,6.637987158047921E-5
1538919383,6.637987158047921E-5
1538919386,6.637987158047921E-5
1538919389,6.637987158047921E-5
1538919392,6.637987158047921E-5
1538919395,6.637987158047921E-5
1538919398,6.637987158047921E-5
1538919401,6.637987158047921E-5
1538919404,6.637987158047921E-5
1538919407,6.637987158047921E-5
1538919410,6.637987158047921E-5
1538919413,6.637987158047921E-5
1538919416,6.637987158047921E-5
1538919419,6.637987158047921E-5
1538919422,6.637987158047921E-5
1538919425,6.637987158047921E-5
1538919428,6.637987158047921E-5
1538919431,6.637987158047921E-5
1538919434,6.637987158047921E-5
1538919437,6.637987158047921E-5
1538919440,6.637987158047921E-5
1538919443,6.637987158047921E-5
1538919446,6.637987158047921E-5
1538919449,6.637987158047921E-5
1538919452,6.637987158047921E-5
1538919455,6.637987158047921E-5
1538919458,6.637987158047921E-5
1538919461,6.637987158047921E-5
1538919464,6.637987158047921E-5
1538919467,6.637987158047921E-5
1538919470,6.637987158047921E-5
1538919473,6.637987158047921E-5
1538919476,6.637987158047921E-5
1538919479,6.637987158047921E-5
1538919482,6.637987158047921E-5
1538919485,6.637987158047921E-5
1538919488,6.637987158047921E-5
1538919491,6.637987158047921E-5
1538919494,6.637987158047921E-5
1538919497,6.637987158047921E-5
1538919500,6.637987158047921E-5
1538919503,6.637987158047921E-5
1538919506,6.637987158047921E-5
1538919509,6.637987158047921E-5
1538919512,6.637987158047921E-5
1538919515,6.637987158047921E-5
1538919518,6.637987158047921E-5
1538919521,6.637987158047921E-5
1538919524,6.637987158047921E-5
1538919527,6.637987158047921E-5
1538919530,6.637987158047921E-5
1538919533,6.637987158047921E-5
1538919536,6.637987158047921E-5
1538919539,6.637987158047921E-5
1538919542,6.637987158047921E-5
1538919545,6.637987158047921E-5
1538919548,6.637987158047921E-5
1538919551,6.637987158047921E-5
1538919554,6.637987158047921E-5
1538919557,6.637987158047921E-5
1538919560,6.637987158047921E-5
1538919563,6.637987158047921E-5
1538919566,6.637987158047921E-5
1538919569,6.637987158047921E-5
1538919572,6.637987158047921E-5
1538919575,6.637987158047921E-5
1538919578,6.637987158047921E-5
1538919581,6.637987158047921E-5
1538919584,6.637987158047921E-5
1538919587,6.637987158047921E-5
1538919590,6.637987158047921E-5
1538919593,6.637987158047921E-5
1538919615,6.637987158047921E-5
1538919618,6.637987158047921E-5
1538919621,6.637987158047921E-5
1538919624,6.637987158047921E-5
1538919627,6.637987158047921E-5
1538919630,6.637987158047921E-5
1538919633,6.637987158047921E-5
1538919636,6.637987158047921E-5
1538919639,6.637987158047921E-5
1538919642,6.637987158047921E-5
1538919645,6.637987158047921E-5
1538919648,6.637987158047921E-5
1538919651,6.637987158047921E-5
1538919654,6.637987158047921E-5
1538919657,6.637987158047921E-5
1538919660,6.637987158047921E-5
1538919663,6.637987158047921E-5
1538919666,6.637987158047921E-5
1538919669,6.637987158047921E-5
1538919672,6.637987158047921E-5
1538919675,6.637987158047921E-5
1538919678,6.637987158047921E-5
1538919681,6.637987158047921E-5
1538919684,6.637987158047921E-5
1538919687,6.637987158047921E-5
1538919690,6.637987158047921E-5
1538919693,6.637987158047921E-5
1538919696,6.637987158047921E-5
1538919699,6.637987158047921E-5
1538919702,6.637987158047921E-5
1538919705,6.637987158047921E-5
1538919708,6.637987158047921E-5
1538919711,6.637987158047921E-5
1538919714,6.637987158047921E-5
1538919717,6.637987158047921E-5
1538919720,6.637987158047921E-5
1538919723,6.637987158047921E-5
1538919726,6.637987158047921E-5
1538919729,6.637987158047921E-5
1538919732,6.637987158047921E-5
1538919735,6.637987158047921E-5
1538919738,6.637987158047921E-5
1538919741,6.637987158047921E-5
1538919744,6.637987158047921E-5
1538919747,6.637987158047921E-5
1538919750,6.637987158047921E-5
1538919753,6.637987158047921E-5
1538919756,6.637987158047921E-5
1538919759,6.637987158047921E-5
1538919762,6.637987158047921E-5
1538919765,6.637987158047921E-5
1538919768,6.637987158047921E-5
1538919771,6.637987158047921E-5
1538919774,6.637987158047921E-5
1538919777,6.637987158047921E-5
1538919780,6.637987158047921E-5
1538919783,6.637987158047921E-5
1538919786,6.637987158047921E-5
1538919789,6.637987158047921E-5
1538919792,6.637987158047921E-5
1538919795,6.637987158047921E-5
1538919798,6.637987158047921E-5
1538919801,6.637987158047921E-5
1538919804,6.637987158047921E-5
1538919807,6.637987158047921E-5
1538919810,6.637987158047921E-5
1538919813,6.637987158047921E-5
1538919816,6.637987158047921E-5
1538919819,6.637987158047921E-5
1538919822,6.637987158047921E-5
1538919825,6.637987158047921E-5
1538919828,6.637987158047921E-5
1538919831,6.637987158047921E-5
1538919834,6.637987158047921E-5
1538919837,6.637987158047921E-5
1538919840,6.637987158047921E-5
1538919843,6.637987158047921E-5
1538919846,6.637987158047921E-5
1538919849,6.637987158047921E-5
1538919852,6.637987158047921E-5
1538919855,6.637987158047921E-5
1538919858,6.637987158047921E-5
1538919861,6.637987158047921E-5
1538919864,6.637987158047921E-5
1538919867,6.637987158047921E-5
1538919870,6.637987158047921E-5
1538919873,6.637987158047921E-5
1538919876,6.637987158047921E-5
1538919879,6.637987158047921E-5
1538919882,6.637987158047921E-5
1538919885,6.637987158047921E-5
1538919888,6.637987158047921E-5
1538919891,6.637987158047921E-5
1538919894,6.637987158047921E-5
1538919897,6.637987158047921E-5
1538919900,6.637987158047921E-5
1538919903,6.637987158047921E-5
1538919906,6.637987158047921E-5
1538919909,6.637987158047921E-5
1538919912,6.637987158047921E-5
1538919915,6.637987158047921E-5
1538919918,6.637987158047921E-5
1538919921,6.637987158047921E-5
1538919924,6.637987158047921E-5
1538919927,6.637987158047921E-5
1538919930,6.637987158047921E-5
1538919933,6.637987158047921E-5
1538919936,6.637987158047921E-5
1538919939,6.637987158047921E-5
1538919942,6.637987158047921E-5
1538919945,6.637987158047921E-5
1538919948,6.637987158047921E-5
1538919951,6.637987158047921E-5
1538919954,6.637987158047921E-5
1538919957,6.637987158047921E-5
1538919960,6.637987158047921E-5
1538919963,6.637987158047921E-5
1538919966,6.637987158047921E-5
1538919969,6.637987158047921E-5
1538919972,6.637987158047921E-5
1538919975,6.637987158047921E-5
1538919978,6.637987158047921E-5
1538919981,6.637987158047921E-5
1538919984,6.637987158047921E-5
1538919987,6.637987158047921E-5
1538919990,6.637987158047921E-5
1538919993,6.637987158047921E-5
1538919996,6.637987158047921E-5
1538919999,6.637987158047921E-5
1538920002,6.637987158047921E-5
1538920005,6.637987158047921E-5
1538920008,6.637987158047921E-5
1538920011,6.637987158047921E-5
1538920014,6.637987158047921E-5
1538920017,6.637987158047921E-5
1538920020,6.637987158047921E-5
1538920023,6.637987158047921E-5
1538920026,6.637987158047921E-5
1538920029,6.637987158047921E-5
1538920032,6.637987158047921E-5
1538920035,6.637987158047921E-5
1538920038,6.637987158047921E-5
1538920041,6.637987158047921E-5
1538920044,6.637987158047921E-5
1538920047,6.637987158047921E-5
1538920050,6.637987158047921E-5
1538920053,6.637987158047921E-5
1538920056,6.637987158047921E-5
1538920059,6.637987158047921E-5
1538920062,6.637987158047921E-5
1538920065,6.637987158047921E-5
1538920068,6.637987158047921E-5
1538920071,6.637987158047921E-5
1538920074,6.637987158047921E-5
1538920077,6.637987158047921E-5
1538920080,6.637987158047921E-5
1538920083,6.637987158047921E-5
1538920086,6.637987158047921E-5
1538920089,6.637987158047921E-5
1538920092,6.637987158047921E-5
1538920095,6.637987158047921E-5
1538920098,6.637987158047921E-5
1538920101,6.637987158047921E-5
1538920104,6.637987158047921E-5
1538920107,6.637987158047921E-5
1538920110,6.637987158047921E-5
1538920113,6.637987158047921E-5
1538920116,6.637987158047921E-5
1538920119,6.637987158047921E-5
1538920122,6.637987158047921E-5
1538920125,6.637987158047921E-5
1538920128,6.637987158047921E-5
1538920131,6.637987158047921E-5
1538920134,6.637987158047921E-5
1538920137,6.637987158047921E-5
1538920140,6.637987158047921E-5
1538920143,6.637987158047921E-5
1538920146,6.637987158047921E-5
1538920149,6.637987158047921E-5
1538920152,6.637987158047921E-5
1538920155,6.637987158047921E-5
1538920158,6.637987158047921E-5
1538920161,6.637987158047921E-5
1538920164,6.637987158047921E-5
1538920167,6.637987158047921E-5
1538920170,6.637987158047921E-5
1538920173,6.637987158047921E-5
1538920176,6.637987158047921E-5
1538920179,6.637987158047921E-5
1538920182,6.637987158047921E-5
1538920185,6.637987158047921E-5
1538920188,6.637987158047921E-5
1538920191,6.637987158047921E-5
1538920194,6.637987158047921E-5
1538920197,6.637987158047921E-5
1538920200,6.637987158047921E-5
1538920203,6.637987158047921E-5
1538920206,6.637987158047921E-5
1538920209,6.637987158047921E-5
1538920212,6.637987158047921E-5
1538920215,6.637987158047921E-5
1538920218,6.637987158047921E-5
1538920221,6.637987158047921E-5
1538920224,6.637987158047921E-5
1538920227,6.637987158047921E-5
1538920230,6.637987158047921E-5
1538920233,6.637987158047921E-5
1538920236,6.637987158047921E-5
1538920239,6.637987158047921E-5
1538920242,6.637987158047921E-5
