t,value
1538918384,-1
1538918387,-1
1538918390,8
1538918393,8
1538918396,8
1538918399,8
1538918402,8
1538918405,8
1538918408,8
1538918411,8
1538918414,8
1538918417,8
1538918420,8
1538918423,8
1538918426,8
1538918429,8
1538918432,8
1538918435,8
1538918438,8
1538918441,8
1538918444,8
1538918447,8
1538918450,8
1538918453,8
1538918456,13
1538918459,13
1538918462,13
1538918465,13
1538918468,13
1538918471,13
1538918474,13
1538918477,13
1538918480,13
1538918483,13
1538918486,13
1538918489,13
1538918492,13
1538918495,13
1538918498,13
1538918501,13
1538918504,13
1538918507,13
1538918510,13
1538918513,13
1538918516,13
1538918519,13
1538918522,13
1538918525,13
1538918528,13
1538918531,13
1538918534,13
1538918537,13
1538918540,13
1538918543,12
1538918546,12
1538918549,12
1538918552,12
1538918555,12
1538918558,12
1538918561,12
1538918564,12
1538918567,12
1538918570,12
1538918573,12
1538918576,12
1538918579,12
1538918582,12
1538918585,12
1538918588,12
1538918591,12
1538918594,12
1538918597,12
1538918600,12
1538918603,12
1538918606,12
1538918609,12
1538918612,12
1538918615,12
1538918618,11
1538918621,11
1538918624,11
1538918627,11
1538918630,11
1538918633,11
1538918636,11
1538918639,11
t,value
1538918915,-1
1538918918,8
1538918921,8
1538918924,8
1538918927,8
1538918930,8
1538918933,8
1538918936,8
1538918939,8
1538918942,8
1538918945,8
1538918948,8
1538918951,8
1538918954,8
1538918957,10
1538918960,10
1538918963,10
1538918966,10
1538918969,10
1538918972,10
1538918975,10
1538918978,10
1538918981,10
1538918984,10
1538918987,10
1538918990,10
1538918993,10
1538918996,10
1538918999,10
1538919002,10
1538919005,10
1538919008,10
1538919011,10
1538919014,10
1538919017,10
1538919020,10
1538919023,10
1538919026,10
1538919029,10
1538919032,10
1538919035,10
1538919038,10
1538919041,10
1538919044,10
1538919047,10
1538919050,10
1538919053,10
1538919056,10
1538919059,10
1538919062,10
1538919065,10
1538919068,10
1538919071,10
1538919074,10
1538919077,10
1538919080,10
1538919083,10
1538919086,9
1538919089,9
1538919092,9
1538919095,9
1538919098,9
1538919101,9
1538919104,9
1538919107,9
1538919110,9
1538919113,9
1538919116,9
1538919119,9
1538919122,9
1538919125,9
1538919128,9
1538919131,9
1538919134,9
1538919137,9
1538919140,9
1538919143,9
1538919146,9
1538919149,10
1538919152,10
1538919155,10
1538919158,10
1538919161,10
1538919164,10
1538919167,10
1538919170,10
1538919173,10
1538919176,10
1538919179,10
1538919182,10
1538919185,10
1538919188,10
1538919191,10
1538919194,10
1538919197,10
1538919200,10
1538919203,10
1538919206,10
1538919209,9
1538919212,9
1538919215,9
1538919218,9
1538919221,9
1538919224,9
1538919227,9
1538919230,9
1538919233,9
1538919236,9
1538919239,9
1538919242,9
1538919245,9
1538919248,9
1538919251,9
1538919254,9
1538919257,9
1538919260,9
1538919263,9
1538919266,9
1538919269,8
1538919272,8
1538919275,8
1538919278,8
1538919281,8
1538919284,8
1538919287,8
1538919290,8
1538919293,8
1538919296,8
1538919299,8
1538919302,8
1538919305,8
1538919308,8
1538919311,8
1538919314,8
1538919317,8
1538919320,8
1538919323,8
1538919326,8
1538919329,8
1538919332,8
1538919335,8
1538919338,8
1538919341,8
1538919344,8
1538919347,8
1538919350,8
1538919353,8
1538919356,8
1538919359,8
1538919362,8
1538919365,8
1538919368,8
1538919371,8
1538919374,8
1538919377,8
1538919380,8
1538919383,8
1538919386,8
1538919389,8
1538919392,8
1538919395,8
1538919398,8
1538919401,8
1538919404,8
1538919407,8
1538919410,8
1538919413,8
1538919416,8
1538919419,8
1538919422,8
1538919425,8
1538919428,8
1538919431,8
1538919434,8
1538919437,8
1538919440,8
1538919443,8
1538919446,8
1538919449,8
1538919452,8
1538919455,8
1538919458,8
1538919461,8
1538919464,8
1538919467,8
1538919470,8
1538919473,8
1538919476,8
1538919479,8
1538919482,8
1538919485,8
1538919488,8
1538919491,8
1538919494,8
1538919497,8
1538919500,8
1538919503,8
1538919506,8
1538919509,8
1538919512,8
1538919515,8
1538919518,8
1538919521,8
1538919524,8
1538919527,8
1538919530,8
1538919533,8
1538919536,8
1538919539,8
1538919542,8
1538919545,8
1538919548,8
1538919551,8
1538919554,8
1538919557,8
1538919560,8
1538919563,8
1538919566,8
1538919569,8
1538919572,8
1538919575,8
1538919578,8
1538919581,8
1538919584,8
1538919587,8
1538919590,8
1538919593,8
1538919615,8
1538919618,8
1538919621,8
1538919624,8
1538919627,8
1538919630,8
1538919633,8
1538919636,8
1538919639,8
1538919642,8
1538919645,8
1538919648,8
1538919651,8
1538919654,8
1538919657,8
1538919660,8
1538919663,8
1538919666,8
1538919669,8
1538919672,8
1538919675,8
1538919678,8
1538919681,8
1538919684,8
1538919687,8
1538919690,8
1538919693,8
1538919696,8
1538919699,8
1538919702,8
1538919705,8
1538919708,8
1538919711,8
1538919714,8
1538919717,8
1538919720,8
1538919723,8
1538919726,8
1538919729,8
1538919732,8
1538919735,8
1538919738,8
1538919741,8
1538919744,8
1538919747,8
1538919750,8
1538919753,8
1538919756,8
1538919759,8
1538919762,8
1538919765,8
1538919768,8
1538919771,8
1538919774,8
1538919777,8
1538919780,8
1538919783,8
1538919786,8
1538919789,8
1538919792,8
1538919795,8
1538919798,8
1538919801,8
1538919804,8
1538919807,8
