t,value
1538918384,-1
1538918387,-1
1538918390,2
1538918393,2
1538918396,2
1538918399,2
1538918402,2
1538918405,2
1538918408,2
1538918411,2
1538918414,2
1538918417,2
1538918420,2
1538918423,2
1538918426,2
1538918429,2
1538918432,2
1538918435,2
1538918438,2
1538918441,2
1538918444,2
1538918447,2
1538918450,2
1538918453,2
1538918456,6
1538918459,6
1538918462,6
1538918465,6
1538918468,6
1538918471,6
1538918474,6
1538918477,6
1538918480,6
1538918483,6
1538918486,6
1538918489,6
1538918492,6
1538918495,6
1538918498,6
1538918501,6
1538918504,6
1538918507,6
1538918510,6
1538918513,6
1538918516,6
1538918519,6
1538918522,6
1538918525,6
1538918528,6
1538918531,6
1538918534,6
1538918537,6
1538918540,6
1538918543,5
1538918546,5
1538918549,5
1538918552,5
1538918555,5
1538918558,5
1538918561,5
1538918564,5
1538918567,5
1538918570,5
1538918573,5
1538918576,5
1538918579,5
1538918582,5
1538918585,5
1538918588,5
1538918591,5
1538918594,5
1538918597,5
1538918600,5
1538918603,5
1538918606,5
1538918609,5
1538918612,5
1538918615,5
1538918618,4
1538918621,4
1538918624,4
1538918627,4
1538918630,4
1538918633,4
1538918636,4
1538918639,4
t,value
1538918915,-1
1538918918,2
1538918921,2
1538918924,2
1538918927,2
1538918930,2
1538918933,2
1538918936,2
1538918939,2
1538918942,2
1538918945,2
1538918948,2
1538918951,2
1538918954,2
1538918957,3
1538918960,3
1538918963,3
1538918966,3
1538918969,3
1538918972,3
1538918975,3
1538918978,3
1538918981,3
1538918984,3
1538918987,3
1538918990,3
1538918993,3
1538918996,3
1538918999,3
1538919002,3
1538919005,3
1538919008,3
1538919011,3
1538919014,3
1538919017,3
1538919020,3
1538919023,3
1538919026,3
1538919029,3
1538919032,3
1538919035,3
1538919038,3
1538919041,3
1538919044,3
1538919047,3
1538919050,3
1538919053,3
1538919056,3
1538919059,3
1538919062,3
1538919065,3
1538919068,3
1538919071,3
1538919074,3
1538919077,3
1538919080,3
1538919083,3
1538919086,2
1538919089,2
1538919092,2
1538919095,2
1538919098,2
1538919101,2
1538919104,3
1538919107,3
1538919110,3
1538919113,3
1538919116,3
1538919119,2
1538919122,2
1538919125,2
1538919128,2
1538919131,2
1538919134,2
1538919137,2
1538919140,2
1538919143,2
1538919146,2
1538919149,3
1538919152,3
1538919155,3
1538919158,3
1538919161,3
1538919164,3
1538919167,3
1538919170,3
1538919173,3
1538919176,3
1538919179,3
1538919182,3
1538919185,3
1538919188,3
1538919191,3
1538919194,3
1538919197,3
1538919200,3
1538919203,3
1538919206,3
1538919209,3
1538919212,3
1538919215,3
1538919218,3
1538919221,3
1538919224,3
1538919227,3
1538919230,3
1538919233,3
1538919236,3
1538919239,3
1538919242,3
1538919245,3
1538919248,3
1538919251,3
1538919254,3
1538919257,3
1538919260,3
1538919263,3
1538919266,3
1538919269,2
1538919272,2
1538919275,2
1538919278,2
1538919281,2
1538919284,2
1538919287,2
1538919290,2
1538919293,2
1538919296,2
1538919299,2
1538919302,2
1538919305,2
1538919308,2
1538919311,2
1538919314,2
1538919317,2
1538919320,2
1538919323,2
1538919326,2
1538919329,2
1538919332,2
1538919335,2
1538919338,2
1538919341,2
1538919344,2
1538919347,2
1538919350,2
1538919353,2
1538919356,2
1538919359,2
1538919362,2
1538919365,2
1538919368,2
1538919371,2
1538919374,2
1538919377,2
1538919380,2
1538919383,2
1538919386,2
1538919389,2
1538919392,2
1538919395,2
1538919398,2
1538919401,2
1538919404,2
1538919407,2
1538919410,2
1538919413,2
1538919416,2
1538919419,2
1538919422,2
1538919425,2
1538919428,2
1538919431,2
1538919434,2
1538919437,2
1538919440,2
1538919443,2
1538919446,2
1538919449,2
1538919452,2
1538919455,2
1538919458,2
1538919461,2
1538919464,2
1538919467,2
1538919470,2
1538919473,2
1538919476,2
1538919479,2
1538919482,2
1538919485,2
1538919488,2
1538919491,2
1538919494,2
1538919497,2
1538919500,2
1538919503,2
1538919506,2
1538919509,2
1538919512,2
1538919515,2
1538919518,2
1538919521,2
1538919524,2
1538919527,2
1538919530,2
1538919533,2
1538919536,2
1538919539,2
1538919542,2
1538919545,2
1538919548,2
1538919551,2
1538919554,2
1538919557,2
1538919560,2
1538919563,2
1538919566,2
1538919569,2
1538919572,2
1538919575,2
1538919578,2
1538919581,2
1538919584,2
1538919587,2
1538919590,2
1538919593,2
1538919615,2
1538919618,2
1538919621,2
1538919624,2
1538919627,2
1538919630,2
1538919633,2
1538919636,2
1538919639,2
1538919642,2
1538919645,2
1538919648,2
1538919651,2
1538919654,2
1538919657,2
1538919660,2
1538919663,2
1538919666,2
1538919669,2
1538919672,2
1538919675,2
1538919678,2
1538919681,2
1538919684,2
1538919687,2
1538919690,2
1538919693,2
1538919696,2
1538919699,2
1538919702,2
1538919705,2
1538919708,2
1538919711,2
1538919714,2
1538919717,2
1538919720,2
1538919723,2
1538919726,2
1538919729,2
1538919732,2
1538919735,2
1538919738,2
1538919741,2
1538919744,2
1538919747,2
1538919750,2
1538919753,2
1538919756,2
1538919759,2
1538919762,2
1538919765,2
1538919768,2
1538919771,2
1538919774,2
1538919777,2
1538919780,2
1538919783,2
1538919786,2
1538919789,2
1538919792,2
1538919795,2
1538919798,2
1538919801,2
1538919804,2
1538919807,2
