t,value
1538918384,0
1538918387,2
1538918390,2
1538918393,2
1538918396,2
1538918399,2
1538918402,2
1538918405,2
1538918408,2
1538918411,2
1538918414,2
1538918417,2
1538918420,2
1538918423,2
1538918426,2
1538918429,2
1538918432,2
1538918435,2
1538918438,2
1538918441,2
1538918444,2
1538918447,2
1538918450,2
1538918453,2
1538918456,2
1538918459,2
1538918462,2
1538918465,2
1538918468,2
1538918471,2
1538918474,2
1538918477,2
1538918480,2
1538918483,2
1538918486,2
1538918489,2
1538918492,2
1538918495,2
1538918498,2
1538918501,2
1538918504,2
1538918507,2
1538918510,2
1538918513,2
1538918516,2
1538918519,2
1538918522,2
1538918525,2
1538918528,2
1538918531,2
1538918534,2
1538918537,2
1538918540,2
1538918543,11
1538918546,13
1538918549,13
1538918552,13
1538918555,13
1538918558,13
1538918561,13
1538918564,18
1538918567,18
1538918570,18
1538918573,18
1538918576,18
1538918579,18
1538918582,23
1538918585,23
1538918588,23
1538918591,23
1538918594,23
1538918597,23
1538918600,23
1538918603,28
1538918606,28
1538918609,28
1538918612,28
1538918615,28
1538918618,28
1538918621,28
1538918624,33
1538918627,33
1538918630,33
1538918633,33
1538918636,33
1538918639,33
t,value
1538918915,2
1538918918,2
1538918921,2
1538918924,2
1538918927,2
1538918930,2
1538918933,2
1538918936,2
1538918939,2
1538918942,2
1538918945,2
1538918948,2
1538918951,2
1538918954,2
1538918957,2
1538918960,2
1538918963,2
1538918966,2
1538918969,2
1538918972,2
1538918975,2
1538918978,2
1538918981,2
1538918984,2
1538918987,2
1538918990,2
1538918993,2
1538918996,2
1538918999,2
1538919002,2
1538919005,2
1538919008,2
1538919011,2
1538919014,7
1538919017,12
1538919020,12
1538919023,12
1538919026,12
1538919029,12
1538919032,12
1538919035,17
1538919038,17
1538919041,17
1538919044,17
1538919047,17
1538919050,17
1538919053,17
1538919056,22
1538919059,22
1538919062,22
1538919065,22
1538919068,22
1538919071,22
1538919074,27
1538919077,27
1538919080,27
1538919083,27
1538919086,27
1538919089,27
1538919092,27
1538919095,32
1538919098,32
1538919101,32
1538919104,32
1538919107,32
1538919110,32
1538919113,32
1538919116,37
1538919119,37
1538919122,37
1538919125,37
1538919128,37
1538919131,37
1538919134,42
1538919137,42
1538919140,42
1538919143,42
1538919146,42
1538919149,42
1538919152,42
1538919155,47
1538919158,47
1538919161,47
1538919164,47
1538919167,47
1538919170,50
1538919173,50
1538919176,55
1538919179,64
1538919182,64
1538919185,64
1538919188,65
1538919191,68
1538919194,77
1538919197,85
1538919200,88
1538919203,91
1538919206,100
1538919209,100
1538919212,100
1538919215,105
1538919218,105
1538919221,105
1538919224,105
1538919227,105
1538919230,105
1538919233,105
1538919236,105
1538919239,110
1538919242,110
1538919245,110
1538919248,110
1538919251,110
1538919254,110
1538919257,115
1538919260,115
1538919263,115
1538919266,115
1538919269,115
1538919272,115
1538919275,115
1538919278,115
1538919281,115
1538919284,120
1538919287,120
1538919290,120
1538919293,120
1538919296,120
1538919299,120
1538919302,120
1538919305,120
1538919308,120
1538919311,125
1538919314,125
1538919317,125
1538919320,125
1538919323,125
1538919326,125
1538919329,125
1538919332,130
1538919335,130
1538919338,130
1538919341,130
1538919344,130
1538919347,130
1538919350,130
1538919353,130
1538919356,135
1538919359,135
1538919362,135
1538919365,135
1538919368,135
1538919371,135
1538919374,135
1538919377,140
1538919380,140
1538919383,140
1538919386,140
1538919389,140
1538919392,140
1538919395,140
1538919398,140
1538919401,140
1538919404,145
1538919407,145
1538919410,145
1538919413,145
1538919416,145
1538919419,145
1538919422,145
1538919425,145
1538919428,145
1538919431,150
1538919434,150
1538919437,150
1538919440,150
1538919443,150
1538919446,150
1538919449,150
1538919452,155
1538919455,155
1538919458,155
1538919461,155
1538919464,155
1538919467,155
1538919470,155
1538919473,155
1538919476,160
1538919479,160
1538919482,160
1538919485,160
1538919488,160
1538919491,160
1538919494,160
1538919497,160
1538919500,160
1538919503,160
1538919506,165
1538919509,165
1538919512,165
1538919515,165
1538919518,165
1538919521,165
1538919524,165
1538919527,170
1538919530,170
1538919533,170
1538919536,170
1538919539,170
1538919542,170
1538919545,170
1538919548,170
1538919551,175
1538919554,175
1538919557,175
1538919560,175
1538919563,175
1538919566,175
1538919569,175
1538919572,175
1538919575,175
1538919578,175
1538919581,175
1538919584,180
1538919587,180
1538919590,180
1538919593,180
1538919615,180
1538919618,180
1538919621,180
1538919624,180
1538919627,180
1538919630,180
1538919633,180
1538919636,185
1538919639,185
1538919642,185
1538919645,185
1538919648,185
1538919651,185
1538919654,185
1538919657,190
1538919660,190
1538919663,190
1538919666,190
1538919669,190
1538919672,190
1538919675,190
1538919678,195
1538919681,195
1538919684,195
1538919687,195
1538919690,195
1538919693,195
1538919696,195
1538919699,200
1538919702,200
1538919705,200
1538919708,200
1538919711,200
1538919714,200
1538919717,200
1538919720,205
1538919723,205
1538919726,205
1538919729,205
1538919732,205
1538919735,205
1538919738,205
1538919741,210
1538919744,210
1538919747,210
1538919750,210
1538919753,210
1538919756,210
1538919759,210
1538919762,215
1538919765,215
1538919768,215
1538919771,215
1538919774,215
1538919777,215
1538919780,220
1538919783,220
1538919786,220
1538919789,220
1538919792,220
1538919795,220
1538919798,220
1538919801,225
1538919804,225
1538919807,225
1538919810,225
1538919813,225
1538919816,225
1538919819,225
1538919822,230
1538919825,230
1538919828,230
1538919831,230
1538919834,230
1538919837,230
1538919840,235
1538919843,235
1538919846,235
1538919849,235
1538919852,235
1538919855,235
1538919858,235
1538919861,240
1538919864,240
1538919867,240
1538919870,240
1538919873,240
1538919876,240
1538919879,240
1538919882,245
1538919885,245
1538919888,245
1538919891,245
1538919894,245
1538919897,245
1538919900,245
1538919903,245
1538919906,245
1538919909,245
1538919912,250
1538919915,250
1538919918,250
1538919921,250
1538919924,250
1538919927,250
1538919930,250
1538919933,250
1538919936,250
1538919939,250
1538919942,255
1538919945,255
1538919948,255
1538919951,255
1538919954,255
1538919957,255
1538919960,255
1538919963,255
1538919966,255
1538919969,260
1538919972,260
1538919975,260
1538919978,260
1538919981,260
1538919984,260
1538919987,260
1538919990,260
1538919993,265
1538919996,265
1538919999,265
