t,value
1538918384,1
1538918387,1
1538918390,1
1538918393,1
1538918396,1
1538918399,1
1538918402,1
1538918405,1
1538918408,1
1538918411,1
1538918414,1
1538918417,1
1538918420,1
1538918423,1
1538918426,1
1538918429,1
1538918432,1
1538918435,1
1538918438,1
1538918441,1
1538918444,1
1538918447,1
1538918450,1
1538918453,1
1538918456,1
1538918459,1
1538918462,1
1538918465,1
1538918468,1
1538918471,1
1538918474,1
1538918477,1
1538918480,1
1538918483,1
1538918486,1
1538918489,1
1538918492,1
1538918495,1
1538918498,1
1538918501,1
1538918504,1
1538918507,1
1538918510,1
1538918513,1
1538918516,1
1538918519,1
1538918522,1
1538918525,1
1538918528,1
1538918531,1
1538918534,1
1538918537,1
1538918540,1
1538918543,1
1538918546,1
1538918549,1
1538918552,1
1538918555,1
1538918558,1
1538918561,1
1538918564,1
1538918567,1
1538918570,1
1538918573,1
1538918576,1
1538918579,1
1538918582,1
1538918585,1
1538918588,1
1538918591,1
1538918594,1
1538918597,1
1538918600,1
1538918603,1
1538918606,1
1538918609,1
1538918612,1
1538918615,1
1538918618,1
1538918621,1
1538918624,1
1538918627,1
1538918630,1
1538918633,1
1538918636,1
1538918639,1
t,value
1538918915,1
1538918918,1
1538918921,1
1538918924,1
1538918927,1
1538918930,1
1538918933,1
1538918936,1
1538918939,1
1538918942,1
1538918945,1
1538918948,1
1538918951,1
1538918954,1
1538918957,1
1538918960,1
1538918963,1
1538918966,1
1538918969,1
1538918972,1
1538918975,1
1538918978,1
1538918981,1
1538918984,1
1538918987,1
1538918990,1
1538918993,1
1538918996,1
1538918999,1
1538919002,1
1538919005,1
1538919008,1
1538919011,1
1538919014,1
1538919017,1
1538919020,1
1538919023,1
1538919026,1
1538919029,1
1538919032,1
1538919035,1
1538919038,1
1538919041,1
1538919044,1
1538919047,1
1538919050,1
1538919053,1
1538919056,1
1538919059,1
1538919062,1
1538919065,1
1538919068,1
1538919071,1
1538919074,1
1538919077,1
1538919080,1
1538919083,1
1538919086,1
1538919089,1
1538919092,1
1538919095,1
1538919098,1
1538919101,1
1538919104,1
1538919107,1
1538919110,1
1538919113,1
1538919116,1
1538919119,1
1538919122,1
1538919125,1
1538919128,1
1538919131,1
1538919134,1
1538919137,1
1538919140,1
1538919143,1
1538919146,1
1538919149,1
1538919152,1
1538919155,1
1538919158,1
1538919161,1
1538919164,1
1538919167,1
1538919170,4
1538919173,4
1538919176,4
1538919179,4
1538919182,4
1538919185,4
1538919188,4
1538919191,4
1538919194,4
1538919197,5
1538919200,5
1538919203,5
1538919206,5
1538919209,5
1538919212,5
1538919215,5
1538919218,5
1538919221,5
1538919224,5
1538919227,5
1538919230,5
1538919233,5
1538919236,5
1538919239,5
1538919242,5
1538919245,5
1538919248,5
1538919251,5
1538919254,5
1538919257,5
1538919260,5
1538919263,5
1538919266,5
1538919269,5
1538919272,5
1538919275,5
1538919278,5
1538919281,5
1538919284,5
1538919287,5
1538919290,5
1538919293,5
1538919296,5
1538919299,5
1538919302,5
1538919305,5
1538919308,5
1538919311,5
1538919314,5
1538919317,5
1538919320,5
1538919323,5
1538919326,5
1538919329,5
1538919332,5
1538919335,5
1538919338,5
1538919341,5
1538919344,5
1538919347,5
1538919350,5
1538919353,5
1538919356,5
1538919359,5
1538919362,5
1538919365,5
1538919368,5
1538919371,5
1538919374,5
1538919377,5
1538919380,5
1538919383,5
1538919386,5
1538919389,5
1538919392,5
1538919395,5
1538919398,5
1538919401,5
1538919404,5
1538919407,5
1538919410,5
1538919413,5
1538919416,5
1538919419,5
1538919422,5
1538919425,5
1538919428,5
1538919431,5
1538919434,5
1538919437,5
1538919440,5
1538919443,5
1538919446,5
1538919449,5
1538919452,5
1538919455,5
1538919458,5
1538919461,5
1538919464,5
1538919467,5
1538919470,5
1538919473,5
1538919476,5
1538919479,5
1538919482,5
1538919485,5
1538919488,5
1538919491,5
1538919494,5
1538919497,5
1538919500,5
1538919503,5
1538919506,5
1538919509,5
1538919512,5
1538919515,5
1538919518,5
1538919521,5
1538919524,5
1538919527,5
1538919530,5
1538919533,5
1538919536,5
1538919539,5
1538919542,5
1538919545,5
1538919548,5
1538919551,5
1538919554,5
1538919557,5
1538919560,5
1538919563,5
1538919566,5
1538919569,5
1538919572,5
1538919575,5
1538919578,5
1538919581,5
1538919584,5
1538919587,5
1538919590,5
1538919593,5
1538919615,5
1538919618,5
1538919621,5
1538919624,5
1538919627,5
1538919630,5
1538919633,5
1538919636,5
1538919639,5
1538919642,5
1538919645,5
1538919648,5
1538919651,5
1538919654,5
1538919657,5
1538919660,5
1538919663,5
1538919666,5
1538919669,5
1538919672,5
1538919675,5
1538919678,5
1538919681,5
1538919684,5
1538919687,5
1538919690,5
1538919693,5
1538919696,5
1538919699,5
1538919702,5
1538919705,5
1538919708,5
1538919711,5
1538919714,5
1538919717,5
1538919720,5
1538919723,5
1538919726,5
1538919729,5
1538919732,5
1538919735,5
1538919738,5
1538919741,5
1538919744,5
1538919747,5
1538919750,5
1538919753,5
1538919756,5
1538919759,5
1538919762,5
1538919765,5
1538919768,5
1538919771,5
1538919774,5
1538919777,5
1538919780,5
1538919783,5
1538919786,5
1538919789,5
1538919792,5
1538919795,5
1538919798,5
1538919801,5
1538919804,5
1538919807,5
