t,value
1538918384,1
1538918387,2
1538918390,2
1538918393,2
1538918396,2
1538918399,2
1538918402,2
1538918405,2
1538918408,2
1538918411,2
1538918414,2
1538918417,2
1538918420,2
1538918423,2
1538918426,2
1538918429,2
1538918432,2
1538918435,2
1538918438,2
1538918441,2
1538918444,2
1538918447,2
1538918450,2
1538918453,2
1538918456,2
1538918459,2
1538918462,2
1538918465,2
1538918468,2
1538918471,2
1538918474,2
1538918477,2
1538918480,2
1538918483,2
1538918486,2
1538918489,2
1538918492,2
1538918495,2
1538918498,2
1538918501,2
1538918504,2
1538918507,2
1538918510,2
1538918513,2
1538918516,2
1538918519,2
1538918522,3
1538918525,3
1538918528,3
1538918531,3
1538918534,3
1538918537,3
1538918540,3
1538918543,13
1538918546,15
1538918549,15
1538918552,15
1538918555,15
1538918558,15
1538918561,15
1538918564,21
1538918567,21
1538918570,21
1538918573,21
1538918576,21
1538918579,21
1538918582,27
1538918585,27
1538918588,27
1538918591,27
1538918594,27
1538918597,27
1538918600,27
1538918603,33
1538918606,33
1538918609,33
1538918612,33
1538918615,33
1538918618,33
1538918621,33
1538918624,39
1538918627,39
1538918630,39
1538918633,39
1538918636,39
1538918639,39
t,value
1538918915,2
1538918918,2
1538918921,2
1538918924,2
1538918927,2
1538918930,2
1538918933,2
1538918936,2
1538918939,2
1538918942,2
1538918945,2
1538918948,2
1538918951,2
1538918954,2
1538918957,2
1538918960,2
1538918963,2
1538918966,2
1538918969,2
1538918972,2
1538918975,2
1538918978,2
1538918981,2
1538918984,2
1538918987,2
1538918990,2
1538918993,2
1538918996,2
1538918999,2
1538919002,2
1538919005,2
1538919008,2
1538919011,2
1538919014,8
1538919017,13
1538919020,13
1538919023,13
1538919026,13
1538919029,13
1538919032,13
1538919035,19
1538919038,19
1538919041,19
1538919044,19
1538919047,19
1538919050,19
1538919053,19
1538919056,25
1538919059,25
1538919062,25
1538919065,25
1538919068,25
1538919071,25
1538919074,31
1538919077,31
1538919080,31
1538919083,31
1538919086,31
1538919089,31
1538919092,31
1538919095,37
1538919098,37
1538919101,37
1538919104,37
1538919107,37
1538919110,37
1538919113,37
1538919116,43
1538919119,43
1538919122,43
1538919125,43
1538919128,43
1538919131,43
1538919134,49
1538919137,49
1538919140,49
1538919143,49
1538919146,49
1538919149,49
1538919152,49
1538919155,55
1538919158,55
1538919161,55
1538919164,55
1538919167,55
1538919170,58
1538919173,58
1538919176,64
1538919179,74
1538919182,74
1538919185,74
1538919188,76
1538919191,82
1538919194,96
1538919197,106
1538919200,112
1538919203,118
1538919206,130
1538919209,130
1538919212,130
1538919215,136
1538919218,136
1538919221,136
1538919224,136
1538919227,136
1538919230,136
1538919233,136
1538919236,136
1538919239,142
1538919242,142
1538919245,142
1538919248,142
1538919251,142
1538919254,142
1538919257,148
1538919260,148
1538919263,148
1538919266,148
1538919269,148
1538919272,148
1538919275,148
1538919278,148
1538919281,148
1538919284,154
1538919287,154
1538919290,154
1538919293,154
1538919296,154
1538919299,154
1538919302,154
1538919305,154
1538919308,154
1538919311,160
1538919314,160
1538919317,160
1538919320,160
1538919323,160
1538919326,160
1538919329,160
1538919332,166
1538919335,166
1538919338,166
1538919341,166
1538919344,166
1538919347,166
1538919350,166
1538919353,166
1538919356,172
1538919359,172
1538919362,172
1538919365,172
1538919368,172
1538919371,172
1538919374,172
1538919377,178
1538919380,178
1538919383,178
1538919386,178
1538919389,178
1538919392,178
1538919395,178
1538919398,178
1538919401,178
1538919404,184
1538919407,184
1538919410,184
1538919413,184
1538919416,184
1538919419,184
1538919422,184
1538919425,184
1538919428,184
1538919431,190
1538919434,190
1538919437,190
1538919440,190
1538919443,190
1538919446,190
1538919449,190
1538919452,196
1538919455,196
1538919458,196
1538919461,196
1538919464,196
1538919467,196
1538919470,196
1538919473,196
1538919476,202
1538919479,202
1538919482,202
1538919485,202
1538919488,202
1538919491,202
1538919494,202
1538919497,202
1538919500,202
1538919503,202
1538919506,208
1538919509,208
1538919512,208
1538919515,208
1538919518,208
1538919521,208
1538919524,208
1538919527,214
1538919530,214
1538919533,214
1538919536,214
1538919539,214
1538919542,214
1538919545,214
1538919548,214
1538919551,220
1538919554,220
1538919557,220
1538919560,220
1538919563,220
1538919566,220
1538919569,220
1538919572,220
1538919575,220
1538919578,220
1538919581,220
1538919584,226
1538919587,226
1538919590,226
1538919593,226
1538919615,226
1538919618,226
1538919621,226
1538919624,226
1538919627,226
1538919630,226
1538919633,226
1538919636,232
1538919639,232
1538919642,232
1538919645,232
1538919648,232
1538919651,232
1538919654,232
1538919657,238
1538919660,238
1538919663,238
1538919666,238
1538919669,238
1538919672,238
1538919675,238
1538919678,244
1538919681,244
1538919684,244
1538919687,244
1538919690,244
1538919693,244
1538919696,244
1538919699,250
1538919702,250
1538919705,250
1538919708,250
1538919711,250
1538919714,250
1538919717,250
1538919720,256
1538919723,256
1538919726,256
1538919729,256
1538919732,256
1538919735,256
1538919738,256
1538919741,262
1538919744,262
1538919747,262
1538919750,262
1538919753,262
1538919756,262
1538919759,262
1538919762,268
1538919765,268
1538919768,268
1538919771,268
1538919774,268
1538919777,268
1538919780,274
1538919783,274
1538919786,274
1538919789,274
1538919792,274
1538919795,274
1538919798,274
1538919801,280
1538919804,280
1538919807,280
1538919810,280
1538919813,280
1538919816,280
1538919819,280
1538919822,286
1538919825,286
1538919828,286
1538919831,286
1538919834,286
1538919837,286
1538919840,292
1538919843,292
1538919846,292
1538919849,292
1538919852,292
1538919855,292
1538919858,292
1538919861,298
1538919864,298
1538919867,298
1538919870,298
1538919873,298
1538919876,298
1538919879,298
1538919882,304
1538919885,304
1538919888,304
1538919891,304
1538919894,304
1538919897,304
1538919900,304
1538919903,304
1538919906,304
1538919909,304
1538919912,310
1538919915,310
1538919918,310
1538919921,310
1538919924,310
1538919927,310
1538919930,310
1538919933,310
1538919936,310
1538919939,310
1538919942,316
1538919945,316
1538919948,316
1538919951,316
1538919954,316
1538919957,316
1538919960,316
1538919963,316
1538919966,316
1538919969,322
1538919972,322
1538919975,322
1538919978,322
1538919981,322
1538919984,322
1538919987,322
1538919990,322
1538919993,328
1538919996,328
1538919999,328
1538920002,328
1538920005,328
1538920008,328
1538920011,328
1538920014,328
1538920017,334
1538920020,334
1538920023,334
1538920026,334
1538920029,334
1538920032,334
1538920035,334
1538920038,340
1538920041,340
1538920044,340
1538920047,340
1538920050,340
1538920053,340
1538920056,340
1538920059,346
1538920062,346
1538920065,346
1538920068,346
1538920071,346
1538920074,346
1538920077,346
1538920080,346
1538920083,352
1538920086,352
1538920089,352
1538920092,352
1538920095,352
1538920098,352
1538920101,352
1538920104,358
1538920107,358
1538920110,358
1538920113,358
1538920116,358
1538920119,358
1538920122,358
1538920125,364
1538920128,364
1538920131,364
1538920134,364
1538920137,364
1538920140,364
1538920143,364
1538920146,370
