t,value
1538918384,9
1538918387,11
1538918390,13
1538918393,13
1538918396,13
1538918399,13
1538918402,13
1538918405,13
1538918408,13
1538918411,13
1538918414,13
1538918417,13
1538918420,13
1538918423,13
1538918426,13
1538918429,13
1538918432,13
1538918435,13
1538918438,13
1538918441,13
1538918444,13
1538918447,13
1538918450,13
1538918453,13
1538918456,15
1538918459,15
1538918462,15
1538918465,15
1538918468,15
1538918471,15
1538918474,15
1538918477,15
1538918480,15
1538918483,15
1538918486,15
1538918489,15
1538918492,15
1538918495,15
1538918498,15
1538918501,15
1538918504,15
1538918507,15
1538918510,15
1538918513,15
1538918516,15
1538918519,15
1538918522,15
1538918525,15
1538918528,15
1538918531,15
1538918534,15
1538918537,15
1538918540,15
1538918543,16
1538918546,16
1538918549,16
1538918552,16
1538918555,16
1538918558,16
1538918561,16
1538918564,18
1538918567,18
1538918570,18
1538918573,18
1538918576,18
1538918579,18
1538918582,18
1538918585,18
1538918588,18
1538918591,18
1538918594,18
1538918597,18
1538918600,18
1538918603,18
1538918606,18
1538918609,18
1538918612,18
1538918615,18
1538918618,18
1538918621,18
1538918624,18
1538918627,18
1538918630,18
1538918633,18
1538918636,18
1538918639,18
t,value
1538918915,11
1538918918,13
1538918921,13
1538918924,13
1538918927,13
1538918930,13
1538918933,13
1538918936,13
1538918939,13
1538918942,13
1538918945,13
1538918948,13
1538918951,13
1538918954,13
1538918957,13
1538918960,13
1538918963,13
1538918966,13
1538918969,13
1538918972,13
1538918975,13
1538918978,13
1538918981,13
1538918984,14
1538918987,14
1538918990,14
1538918993,14
1538918996,14
1538918999,14
1538919002,14
1538919005,14
1538919008,14
1538919011,14
1538919014,15
1538919017,16
1538919020,16
1538919023,16
1538919026,16
1538919029,16
1538919032,16
1538919035,16
1538919038,16
1538919041,16
1538919044,16
1538919047,16
1538919050,16
1538919053,16
1538919056,16
1538919059,16
1538919062,16
1538919065,16
1538919068,16
1538919071,16
1538919074,18
1538919077,18
1538919080,18
1538919083,18
1538919086,18
1538919089,18
1538919092,18
1538919095,18
1538919098,18
1538919101,18
1538919104,18
1538919107,18
1538919110,18
1538919113,18
1538919116,18
1538919119,18
1538919122,18
1538919125,18
1538919128,18
1538919131,18
1538919134,18
1538919137,18
1538919140,18
1538919143,18
1538919146,18
1538919149,18
1538919152,18
1538919155,18
1538919158,18
1538919161,18
1538919164,18
1538919167,18
1538919170,18
1538919173,18
1538919176,18
1538919179,19
1538919182,19
1538919185,19
1538919188,19
1538919191,19
1538919194,19
1538919197,19
