t,value
1538918384,105
1538918387,143
1538918390,169
1538918393,169
1538918396,169
1538918399,169
1538918402,169
1538918405,169
1538918408,169
1538918411,169
1538918414,169
1538918417,169
1538918420,169
1538918423,169
1538918426,169
1538918429,169
1538918432,169
1538918435,169
1538918438,169
1538918441,169
1538918444,169
1538918447,169
1538918450,169
1538918453,169
1538918456,190
1538918459,190
1538918462,190
1538918465,190
1538918468,190
1538918471,190
1538918474,190
1538918477,190
1538918480,190
1538918483,190
1538918486,190
1538918489,190
1538918492,190
1538918495,190
1538918498,190
1538918501,190
1538918504,190
1538918507,190
1538918510,190
1538918513,190
1538918516,190
1538918519,190
1538918522,190
1538918525,190
1538918528,190
1538918531,190
1538918534,190
1538918537,190
1538918540,190
1538918543,208
1538918546,208
1538918549,208
1538918552,208
1538918555,208
1538918558,208
1538918561,208
1538918564,233
1538918567,233
1538918570,233
1538918573,233
1538918576,233
1538918579,233
1538918582,233
1538918585,233
1538918588,233
1538918591,233
1538918594,233
1538918597,233
1538918600,233
1538918603,233
1538918606,233
1538918609,233
1538918612,233
1538918615,233
1538918618,233
1538918621,233
1538918624,233
1538918627,233
1538918630,233
1538918633,233
1538918636,233
1538918639,233
t,value
1538918915,144
1538918918,173
1538918921,173
1538918924,173
1538918927,173
1538918930,173
1538918933,173
1538918936,173
1538918939,173
1538918942,173
1538918945,173
1538918948,173
1538918951,173
1538918954,173
1538918957,173
1538918960,173
1538918963,173
1538918966,173
1538918969,173
1538918972,173
1538918975,173
1538918978,173
1538918981,173
1538918984,185
1538918987,185
1538918990,185
1538918993,185
1538918996,185
1538918999,185
1538919002,185
1538919005,185
1538919008,185
1538919011,185
1538919014,197
1538919017,214
1538919020,214
1538919023,214
1538919026,214
1538919029,214
1538919032,214
1538919035,214
1538919038,214
1538919041,214
1538919044,214
1538919047,214
1538919050,214
1538919053,214
1538919056,214
1538919059,214
1538919062,214
1538919065,214
1538919068,214
1538919071,214
1538919074,245
1538919077,245
1538919080,245
1538919083,245
1538919086,245
1538919089,245
1538919092,245
1538919095,245
1538919098,245
1538919101,245
1538919104,245
1538919107,245
1538919110,245
1538919113,245
1538919116,245
1538919119,245
1538919122,245
1538919125,245
1538919128,245
1538919131,245
1538919134,245
1538919137,245
1538919140,245
1538919143,245
1538919146,245
1538919149,245
1538919152,245
1538919155,245
1538919158,245
1538919161,245
1538919164,245
1538919167,245
1538919170,245
1538919173,245
1538919176,245
1538919179,255
1538919182,255
1538919185,255
1538919188,255
1538919191,255
1538919194,255
1538919197,255
1538919200,255
1538919203,255
1538919206,255
1538919209,255
1538919212,255
1538919215,255
1538919218,255
1538919221,255
1538919224,255
1538919227,255
1538919230,255
1538919233,255
1538919236,255
1538919239,255
1538919242,255
1538919245,255
1538919248,255
1538919251,255
1538919254,255
1538919257,255
1538919260,255
1538919263,255
1538919266,255
1538919269,255
1538919272,255
1538919275,255
1538919278,255
1538919281,255
1538919284,255
1538919287,255
1538919290,255
1538919293,263
1538919296,263
1538919299,263
1538919302,263
1538919305,263
1538919308,263
1538919311,263
1538919314,263
1538919317,263
1538919320,263
1538919323,263
1538919326,263
1538919329,263
1538919332,263
1538919335,263
1538919338,263
1538919341,263
1538919344,263
1538919347,263
1538919350,263
1538919353,263
1538919356,263
1538919359,263
1538919362,263
1538919365,263
1538919368,263
1538919371,263
1538919374,263
1538919377,263
1538919380,263
1538919383,263
1538919386,263
1538919389,263
1538919392,263
1538919395,263
1538919398,263
1538919401,263
1538919404,263
1538919407,263
1538919410,263
1538919413,263
1538919416,263
1538919419,263
1538919422,263
1538919425,263
1538919428,263
1538919431,263
1538919434,263
1538919437,263
1538919440,263
1538919443,263
1538919446,263
1538919449,263
1538919452,263
1538919455,263
1538919458,263
1538919461,263
1538919464,263
1538919467,263
1538919470,263
1538919473,263
1538919476,263
1538919479,263
1538919482,263
1538919485,263
1538919488,263
1538919491,263
1538919494,263
1538919497,263
1538919500,263
1538919503,263
1538919506,263
1538919509,263
1538919512,263
1538919515,263
1538919518,263
1538919521,263
1538919524,263
1538919527,263
1538919530,263
1538919533,263
1538919536,263
1538919539,263
1538919542,263
1538919545,263
1538919548,263
1538919551,267
1538919554,267
1538919557,267
1538919560,267
1538919563,267
1538919566,267
1538919569,267
1538919572,267
1538919575,267
1538919578,267
1538919581,267
1538919584,267
1538919587,267
1538919590,267
1538919593,267
1538919615,267
1538919618,267
1538919621,267
1538919624,267
1538919627,267
1538919630,267
1538919633,267
1538919636,267
1538919639,267
1538919642,267
1538919645,267
1538919648,267
1538919651,267
1538919654,267
1538919657,267
1538919660,267
1538919663,267
1538919666,267
1538919669,267
1538919672,267
1538919675,267
1538919678,267
1538919681,267
1538919684,267
1538919687,267
1538919690,267
1538919693,267
1538919696,267
1538919699,267
1538919702,267
1538919705,267
1538919708,267
1538919711,267
1538919714,267
1538919717,267
1538919720,267
1538919723,267
1538919726,267
1538919729,267
1538919732,267
1538919735,267
1538919738,267
1538919741,267
1538919744,267
1538919747,267
1538919750,267
1538919753,267
1538919756,267
1538919759,267
1538919762,267
1538919765,267
1538919768,267
1538919771,267
1538919774,267
1538919777,267
1538919780,267
1538919783,267
1538919786,267
1538919789,267
1538919792,267
1538919795,267
1538919798,267
1538919801,267
1538919804,267
1538919807,267
1538919810,267
1538919813,267
1538919816,267
1538919819,267
1538919822,271
1538919825,271
1538919828,271
1538919831,271
1538919834,271
1538919837,271
1538919840,271
1538919843,271
1538919846,271
1538919849,271
1538919852,271
1538919855,271
1538919858,271
1538919861,271
1538919864,271
1538919867,271
1538919870,271
1538919873,271
1538919876,271
1538919879,271
1538919882,271
1538919885,271
1538919888,271
1538919891,271
1538919894,271
1538919897,271
1538919900,271
1538919903,271
1538919906,271
1538919909,271
1538919912,271
1538919915,271
1538919918,271
1538919921,271
1538919924,271
1538919927,271
1538919930,271
1538919933,271
1538919936,271
1538919939,271
1538919942,271
1538919945,271
1538919948,271
1538919951,271
1538919954,271
1538919957,271
1538919960,271
1538919963,271
1538919966,271
1538919969,271
1538919972,271
1538919975,271
1538919978,271
1538919981,271
1538919984,271
1538919987,271
1538919990,271
1538919993,271
1538919996,271
1538919999,271
1538920002,271
1538920005,271
1538920008,271
1538920011,271
1538920014,271
1538920017,271
1538920020,271
1538920023,271
1538920026,271
1538920029,271
1538920032,271
1538920035,271
1538920038,271
1538920041,271
1538920044,271
1538920047,271
1538920050,271
1538920053,271
1538920056,271
1538920059,271
1538920062,271
1538920065,271
1538920068,271
1538920071,271
1538920074,271
1538920077,271
1538920080,271
1538920083,276
1538920086,276
1538920089,276
1538920092,276
1538920095,276
1538920098,276
1538920101,276
1538920104,276
1538920107,276
1538920110,276
1538920113,276
1538920116,276
1538920119,276
1538920122,276
1538920125,276
1538920128,276
1538920131,276
1538920134,276
1538920137,276
1538920140,276
1538920143,276
1538920146,276
1538920149,276
1538920152,276
1538920155,276
1538920158,276
1538920161,276
1538920164,276
1538920167,276
1538920170,276
1538920173,276
1538920176,276
1538920179,276
1538920182,276
1538920185,276
1538920188,276
1538920191,276
1538920194,276
1538920197,276
1538920200,276
1538920203,276
1538920206,276
1538920209,276
1538920212,276
1538920215,276
1538920218,276
1538920221,276
1538920224,276
1538920227,276
1538920230,276
1538920233,276
1538920236,276
1538920239,276
1538920242,276
1538920245,276
1538920248,276
1538920251,276
1538920254,276
1538920257,276
1538920260,276
1538920263,276
1538920266,276
1538920269,276
1538920272,276
1538920275,276
1538920278,276
1538920281,276
1538920284,276
1538920287,276
1538920290,276
1538920293,276
1538920296,276
1538920299,276
1538920302,276
1538920305,276
1538920308,276
1538920311,276
1538920314,276
1538920317,276
1538920320,276
1538920323,276
1538920326,276
1538920329,276
1538920332,284
1538920335,284
1538920338,284
1538920341,284
1538920344,284
1538920347,284
1538920350,284
1538920353,284
1538920356,284
1538920359,284
1538920362,284
1538920365,284
1538920368,284
1538920371,284
1538920374,284
1538920377,284
1538920380,284
1538920383,284
1538920386,284
1538920389,284
1538920392,284
1538920395,284
1538920398,284
1538920401,284
1538920404,284
1538920407,284
1538920410,284
1538920413,284
1538920416,284
1538920419,284
1538920422,284
1538920425,284
