t,value
1538918384,196624
1538918387,196624
1538918390,196624
1538918393,196624
1538918396,196624
1538918399,196624
1538918402,196624
1538918405,196624
1538918408,196624
1538918411,196624
1538918414,196624
1538918417,196624
1538918420,196624
1538918423,196624
1538918426,196624
1538918429,196624
1538918432,196624
1538918435,196624
1538918438,196624
1538918441,196624
1538918444,196624
1538918447,196624
1538918450,196624
1538918453,196624
1538918456,7174876
1538918459,7174876
1538918462,7174876
1538918465,7174876
1538918468,7174876
1538918471,7174876
1538918474,7174876
1538918477,7174876
1538918480,7252172
1538918483,7252172
1538918486,7252172
1538918489,7252172
1538918492,7252308
1538918495,7252308
1538918498,7252308
1538918501,7252308
1538918504,7252308
1538918507,7252308
1538918510,7252308
1538918513,7252308
1538918516,7362392
1538918519,7362392
1538918522,7362392
1538918525,7362392
1538918528,7362392
1538918531,7362392
1538918534,7362392
1538918537,7362392
1538918540,7362392
1538918543,7797924
1538918546,7797924
1538918549,7797924
1538918552,7797924
1538918555,7797924
1538918558,8022516
1538918561,8022516
1538918564,8022516
1538918567,8022516
1538918570,8022516
1538918573,8022516
1538918576,8022516
1538918579,8022516
1538918582,8022516
1538918585,8022516
1538918588,8022516
1538918591,8022516
1538918594,8022516
1538918597,8022516
1538918600,8022516
1538918603,8022516
1538918606,8022516
1538918609,8022516
1538918612,8022516
1538918615,8022516
1538918618,8022516
1538918621,8022516
1538918624,8022516
1538918627,8022516
1538918630,8022516
1538918633,8022516
1538918636,8022516
1538918639,8022516
t,value
1538918915,200704
1538918918,200704
1538918921,200704
1538918924,200704
1538918927,200704
1538918930,200704
1538918933,200704
1538918936,200704
1538918939,200704
1538918942,200704
1538918945,200704
1538918948,200704
1538918951,200704
1538918954,200704
1538918957,208966
1538918960,208966
1538918963,208966
1538918966,208966
1538918969,208966
1538918972,208966
1538918975,208966
1538918978,208966
1538918981,208966
1538918984,208966
1538918987,208966
1538918990,208966
1538918993,208966
1538918996,208966
1538918999,208966
1538919002,208966
1538919005,208966
1538919008,208966
1538919011,208966
1538919014,231610
