t,value
1538918384,5
1538918387,5
1538918390,5
1538918393,5
1538918396,5
1538918399,5
1538918402,5
1538918405,5
1538918408,5
1538918411,5
1538918414,5
1538918417,5
1538918420,5
1538918423,5
1538918426,5
1538918429,5
1538918432,5
1538918435,5
1538918438,5
1538918441,5
1538918444,5
1538918447,5
1538918450,5
1538918453,5
1538918456,31
1538918459,31
1538918462,31
1538918465,31
1538918468,31
1538918471,31
1538918474,31
1538918477,31
1538918480,33
1538918483,33
1538918486,33
1538918489,33
1538918492,34
1538918495,34
1538918498,34
1538918501,34
1538918504,34
1538918507,34
1538918510,34
1538918513,34
1538918516,36
1538918519,36
1538918522,36
1538918525,36
1538918528,36
1538918531,36
1538918534,36
1538918537,36
1538918540,36
1538918543,36
1538918546,36
1538918549,36
1538918552,36
1538918555,36
1538918558,37
1538918561,37
1538918564,37
1538918567,37
1538918570,37
1538918573,37
1538918576,37
1538918579,37
1538918582,37
1538918585,37
1538918588,37
1538918591,37
1538918594,37
1538918597,37
1538918600,37
1538918603,37
1538918606,37
1538918609,37
1538918612,37
1538918615,37
1538918618,37
1538918621,37
1538918624,37
1538918627,37
1538918630,37
1538918633,37
1538918636,37
1538918639,37
t,value
1538918915,5
1538918918,5
1538918921,5
1538918924,5
1538918927,5
1538918930,5
1538918933,5
1538918936,5
1538918939,5
1538918942,5
1538918945,5
1538918948,5
1538918951,5
1538918954,5
1538918957,7
1538918960,7
1538918963,7
1538918966,7
1538918969,7
1538918972,7
1538918975,7
1538918978,7
1538918981,7
1538918984,7
1538918987,7
1538918990,7
1538918993,7
1538918996,7
1538918999,7
1538919002,7
1538919005,7
1538919008,7
1538919011,7
1538919014,11
1538919017,11
1538919020,11
1538919023,11
1538919026,13
1538919029,13
1538919032,13
1538919035,13
1538919038,13
1538919041,13
1538919044,14
1538919047,14
1538919050,14
1538919053,14
1538919056,14
1538919059,14
1538919062,14
1538919065,14
1538919068,14
1538919071,14
1538919074,13
1538919077,13
1538919080,13
1538919083,13
1538919086,13
1538919089,13
1538919092,13
1538919095,13
1538919098,13
1538919101,13
1538919104,13
1538919107,13
1538919110,13
1538919113,13
1538919116,13
1538919119,14
1538919122,14
1538919125,14
1538919128,14
1538919131,14
1538919134,14
1538919137,14
1538919140,14
1538919143,14
1538919146,14
1538919149,14
1538919152,14
1538919155,14
1538919158,14
1538919161,14
1538919164,14
1538919167,14
1538919170,15
1538919173,15
1538919176,15
1538919179,15
1538919182,15
1538919185,15
1538919188,15
1538919191,15
1538919194,15
1538919197,16
1538919200,16
1538919203,16
1538919206,16
1538919209,16
1538919212,16
1538919215,16
1538919218,16
1538919221,16
1538919224,16
1538919227,16
1538919230,16
1538919233,16
1538919236,16
1538919239,16
1538919242,16
1538919245,16
1538919248,16
1538919251,16
1538919254,16
1538919257,16
1538919260,16
1538919263,16
1538919266,16
1538919269,16
1538919272,16
1538919275,16
1538919278,16
1538919281,16
1538919284,16
1538919287,16
1538919290,16
1538919293,16
1538919296,16
1538919299,16
1538919302,16
1538919305,16
1538919308,16
1538919311,16
1538919314,16
1538919317,16
1538919320,16
1538919323,16
1538919326,16
1538919329,16
1538919332,16
1538919335,16
1538919338,16
1538919341,16
1538919344,16
1538919347,16
1538919350,16
1538919353,16
1538919356,16
1538919359,16
1538919362,16
1538919365,16
1538919368,16
1538919371,16
1538919374,16
1538919377,16
1538919380,16
1538919383,16
1538919386,16
1538919389,16
1538919392,16
1538919395,16
1538919398,16
1538919401,16
1538919404,16
1538919407,16
1538919410,16
1538919413,16
1538919416,16
1538919419,16
1538919422,16
1538919425,16
1538919428,16
1538919431,16
1538919434,16
1538919437,16
1538919440,16
1538919443,16
1538919446,16
1538919449,16
1538919452,16
1538919455,16
1538919458,16
1538919461,16
1538919464,16
1538919467,16
1538919470,16
1538919473,16
1538919476,16
1538919479,16
1538919482,16
1538919485,16
1538919488,16
1538919491,16
1538919494,16
1538919497,16
1538919500,16
1538919503,16
1538919506,16
1538919509,16
1538919512,16
1538919515,16
1538919518,16
1538919521,16
1538919524,16
1538919527,16
1538919530,16
1538919533,16
1538919536,16
1538919539,16
1538919542,16
1538919545,16
1538919548,16
1538919551,16
1538919554,16
1538919557,16
1538919560,16
1538919563,16
1538919566,16
1538919569,16
1538919572,16
1538919575,16
1538919578,16
1538919581,16
1538919584,16
1538919587,16
1538919590,16
1538919593,16
1538919615,16
1538919618,16
1538919621,16
1538919624,16
1538919627,16
1538919630,16
1538919633,16
1538919636,16
1538919639,16
1538919642,16
1538919645,16
1538919648,16
1538919651,16
1538919654,16
1538919657,16
1538919660,16
1538919663,16
1538919666,16
1538919669,16
1538919672,16
1538919675,16
1538919678,16
1538919681,16
1538919684,16
1538919687,16
1538919690,16
1538919693,16
1538919696,16
1538919699,16
1538919702,16
1538919705,16
1538919708,16
1538919711,16
1538919714,16
1538919717,16
1538919720,16
1538919723,16
1538919726,16
1538919729,16
1538919732,16
1538919735,16
1538919738,16
1538919741,16
1538919744,16
1538919747,16
1538919750,16
1538919753,16
1538919756,16
1538919759,16
1538919762,16
1538919765,16
1538919768,16
1538919771,16
1538919774,16
1538919777,16
1538919780,16
1538919783,16
1538919786,16
1538919789,16
1538919792,16
1538919795,16
1538919798,16
1538919801,16
1538919804,16
1538919807,16
1538919810,16
1538919813,16
1538919816,16
1538919819,16
1538919822,16
1538919825,16
1538919828,16
1538919831,16
1538919834,16
1538919837,16
1538919840,16
1538919843,16
1538919846,16
1538919849,16
1538919852,16
1538919855,16
1538919858,16
1538919861,16
1538919864,16
1538919867,16
1538919870,16
1538919873,16
1538919876,16
1538919879,16
1538919882,16
1538919885,16
1538919888,16
1538919891,16
1538919894,16
1538919897,16
1538919900,16
1538919903,16
1538919906,16
1538919909,16
1538919912,16
1538919915,16
1538919918,16
1538919921,16
1538919924,16
1538919927,16
1538919930,16
1538919933,16
1538919936,16
1538919939,16
1538919942,16
1538919945,16
1538919948,16
1538919951,16
1538919954,16
1538919957,16
1538919960,16
1538919963,16
1538919966,16
1538919969,16
1538919972,16
1538919975,16
1538919978,16
1538919981,16
1538919984,16
1538919987,16
1538919990,16
1538919993,16
1538919996,16
1538919999,16
1538920002,16
1538920005,16
1538920008,16
1538920011,16
1538920014,16
1538920017,16
1538920020,16
1538920023,16
1538920026,16
1538920029,16
1538920032,16
1538920035,16
1538920038,16
1538920041,16
1538920044,16
1538920047,16
1538920050,16
1538920053,16
1538920056,16
1538920059,16
1538920062,16
1538920065,16
1538920068,16
1538920071,16
1538920074,16
1538920077,16
1538920080,16
1538920083,16
1538920086,16
1538920089,16
1538920092,16
1538920095,16
1538920098,16
1538920101,16
1538920104,16
1538920107,16
1538920110,16
1538920113,16
1538920116,16
1538920119,16
1538920122,16
1538920125,16
1538920128,16
1538920131,16
1538920134,16
1538920137,16
1538920140,16
1538920143,16
1538920146,16
1538920149,16
1538920152,16
1538920155,16
1538920158,16
1538920161,16
1538920164,16
1538920167,16
1538920170,16
1538920173,16
1538920176,16
1538920179,16
1538920182,16
1538920185,16
1538920188,16
1538920191,16
1538920194,16
1538920197,16
1538920200,16
1538920203,16
1538920206,16
1538920209,16
1538920212,16
1538920215,16
1538920218,16
1538920221,16
1538920224,16
1538920227,16
1538920230,16
1538920233,16
1538920236,16
1538920239,16
1538920242,16
1538920245,16
1538920248,16
1538920251,16
1538920254,16
1538920257,16
1538920260,16
1538920263,16
1538920266,16
1538920269,16
1538920272,16
1538920275,16
1538920278,16
1538920281,16
1538920284,16
1538920287,16
1538920290,16
1538920293,16
1538920296,16
1538920299,16
1538920302,16
1538920305,16
1538920308,16
1538920311,16
1538920314,16
1538920317,16
1538920320,16
1538920323,16
1538920326,16
1538920329,16
1538920332,16
1538920335,16
1538920338,16
1538920341,16
1538920344,16
1538920347,16
1538920350,16
1538920353,16
1538920356,16
1538920359,16
1538920362,16
1538920365,16
1538920368,16
1538920371,16
1538920374,16
1538920377,16
1538920380,16
1538920383,16
1538920386,16
1538920389,16
1538920392,16
1538920395,16
1538920398,16
1538920401,16
1538920404,16
1538920407,16
1538920410,16
1538920413,16
1538920416,16
1538920419,16
1538920422,16
1538920425,16
1538920428,16
1538920431,16
1538920434,16
1538920437,16
1538920440,16
1538920443,16
1538920446,16
1538920449,16
1538920452,16
1538920455,16
1538920458,16
1538920461,16
1538920464,16
1538920467,16
1538920470,16
1538920473,16
1538920476,16
1538920479,16
1538920482,16
1538920485,16
1538920488,16
1538920491,16
1538920494,16
1538920497,16
1538920500,16
1538920503,16
1538920506,16
1538920509,16
1538920512,16
1538920515,16
1538920518,16
1538920521,16
1538920524,16
1538920527,16
1538920530,16
1538920533,16
1538920536,16
1538920539,16
1538920534,16
1538920537,16
1538920540,16
1538920543,16
1538920546,16
1538920549,16
1538920552,16
1538920555,16
1538920558,16
1538920561,16
1538920564,16
1538920567,16
1538920570,16
1538920573,16
1538920576,16
1538920579,16
1538920582,16
1538920585,16
1538920588,16
1538920591,16
1538920594,16
1538920597,16
1538920600,16
1538920603,16
1538920606,16
1538920609,16
1538920612,16
1538920615,16
1538920618,16
1538920621,16
1538920624,16
1538920627,16
1538920630,16
1538920633,16
1538920636,16
1538920639,16
1538920642,16
1538920645,16
1538920648,16
1538920651,16
1538920654,16
1538920657,16
1538920660,16
1538920663,16
1538920666,16
1538920669,16
1538920672,16
1538920675,17
1538920678,17
1538920681,17
1538920684,17
1538920687,17
1538920690,17
1538920693,17
1538920696,17
1538920699,17
1538920702,17
1538920705,17
1538920708,17
1538920711,17
1538920714,17
1538920717,17
1538920720,17
1538920723,17
1538920726,17
1538920729,17
1538920732,17
1538920735,17
1538920738,17
1538920741,17
1538920744,17
1538920747,17
1538920750,17
1538920753,17
1538920756,17
1538920759,17
1538920762,17
1538920765,17
1538920768,17
1538920771,17
1538920774,17
1538920777,17
1538920780,17
1538920783,17
1538920786,17
1538920789,17
1538920792,17
1538920795,17
1538920798,17
1538920801,17
1538920804,17
1538920807,17
1538920810,17
1538920813,17
1538920816,17
1538920819,17
1538920822,17
1538920825,17
1538920828,17
1538920831,17
1538920834,17
1538920837,17
1538920840,17
1538920843,17
1538920846,17
1538920849,17
1538920852,17
1538920855,17
1538920858,17
1538920861,17
1538920864,17
1538920867,17
1538920870,17
1538920873,17
1538920876,17
1538920879,17
1538920882,17
1538920885,17
1538920888,17
1538920891,17
1538920894,17
1538920897,17
1538920900,17
1538920903,17
1538920906,17
1538920909,17
1538920912,17
1538920915,17
1538920918,17
1538920921,17
1538920924,17
1538920927,17
1538920930,17
1538920933,17
1538920936,17
1538920939,17
1538920942,17
1538920945,17
1538920948,17
1538920951,17
1538920954,17
1538920957,17
1538920960,17
1538920963,17
1538920966,17
1538920969,17
1538920972,17
1538920975,17
1538920978,17
1538920981,17
1538920984,17
1538920987,17
1538920990,17
1538920993,17
1538920996,17
1538920999,17
1538921002,17
1538921005,17
1538921008,17
1538921011,17
1538921014,17
1538921017,17
1538921020,17
1538921023,17
1538921026,17
1538921029,17
1538921032,17
1538921035,17
1538921038,17
1538921041,17
1538921044,17
1538921047,17
1538921050,17
1538921053,17
1538921056,17
1538921059,17
1538921062,17
1538921065,17
1538921068,17
1538921071,17
1538921074,17
1538921077,17
1538921080,17
1538921083,17
1538921086,17
1538921089,17
1538921092,17
1538921095,17
1538921098,17
t,value
1539040417,5
1539040420,5
1539040423,5
1539040426,5
1539040429,5
1539040432,5
1539040435,5
1539040438,5
1539040441,5
1539040444,11
1539040447,10
1539040450,10
1539040453,10
1539040456,10
1539040459,10
1539040462,10
1539040465,10
1539040468,10
1539040471,10
1539040474,11
1539040477,11
1539040480,11
1539040483,11
1539040486,11
1539040489,11
1539040492,11
1539040495,11
1539040498,11
1539040501,11
1539040504,11
1539040507,11
1539040510,11
1539040513,11
1539040516,11
1539040519,11
1539040522,11
1539040525,11
1539040528,11
1539040531,11
1539040534,11
1539040537,11
1539040540,11
1539040543,10
1539040546,10
1539040549,10
1539040552,10
1539040555,10
1539040558,10
1539040561,10
1539040564,10
1539040567,10
1539040570,10
1539040573,10
1539040576,10
1539040579,10
1539040582,10
1539040585,10
1539040588,10
1539040591,10
1539040594,10
1539040597,10
1539040600,10
1539040603,10
1539040606,10
1539040609,10
1539040612,10
1539040615,10
1539040618,10
1539040621,10
1539040624,10
1539040627,10
1539040630,10
1539040633,10
1539040636,10
1539040639,10
1539040642,10
1539040645,10
1539040648,10
1539040651,10
1539040654,10
1539040657,10
1539040660,10
1539040663,10
1539040666,10
1539040669,10
1539040672,10
1539040675,10
1539040678,10
1539040681,10
1539040684,10
1539040687,10
1539040690,10
1539040693,10
1539040696,10
1539040699,10
1539040702,11
1539040705,13
1539040708,13
1539040711,13
1539040714,13
1539040717,13
1539040720,13
1539040723,13
1539040726,13
1539040729,13
1539040732,13
1539040735,15
1539040738,15
1539040741,15
1539040744,15
1539040747,15
1539040750,15
1539040753,15
1539040756,15
1539040759,15
1539040762,15
1539040765,15
1539040768,15
1539040771,15
1539040774,15
1539040777,15
1539040780,15
1539040783,15
1539040786,15
1539040789,15
1539040792,15
1539040795,15
1539040798,15
1539040801,15
1539040804,15
1539040807,15
1539040810,15
1539040813,15
1539040816,15
1539040819,15
1539040822,15
1539040825,15
1539040828,15
1539040831,15
1539040834,15
1539040837,15
1539040840,15
1539040843,15
1539040846,15
1539040849,15
1539040852,15
1539040855,15
1539040858,15
1539040861,15
1539040864,15
1539040867,15
1539040870,15
1539040873,15
1539040876,15
1539040879,15
1539040882,15
1539040885,15
1539040888,15
1539040891,15
1539040894,15
1539040897,15
1539040900,15
1539040903,15
