t,value
1538918384,196625
1538918387,196625
1538918390,196625
1538918393,196625
1538918396,196625
1538918399,196625
1538918402,196625
1538918405,196625
1538918408,196625
1538918411,196625
1538918414,196625
1538918417,196625
1538918420,196625
1538918423,196625
1538918426,196625
1538918429,196625
1538918432,196625
1538918435,196625
1538918438,196625
1538918441,196625
1538918444,196625
1538918447,196625
1538918450,196625
1538918453,196625
1538918456,7174877
1538918459,7174877
1538918462,7174877
1538918465,7174877
1538918468,7174877
1538918471,7174877
1538918474,7174877
1538918477,7174877
1538918480,7252173
1538918483,7252173
1538918486,7252173
1538918489,7252173
1538918492,7252309
1538918495,7252309
1538918498,7252309
1538918501,7252309
1538918504,7252309
1538918507,7252309
1538918510,7252309
1538918513,7252309
1538918516,7362393
1538918519,7362393
1538918522,7362393
1538918525,7362393
1538918528,7362393
1538918531,7362393
1538918534,7362393
1538918537,7362393
1538918540,7362393
1538918543,7797925
1538918546,7797925
1538918549,7797925
1538918552,7797925
1538918555,7797925
1538918558,8022517
1538918561,8022517
1538918564,8022517
1538918567,8022517
1538918570,8022517
1538918573,8022517
1538918576,8022517
1538918579,8022517
1538918582,8022517
1538918585,8022517
1538918588,8022517
1538918591,8022517
1538918594,8022517
1538918597,8022517
1538918600,8022517
1538918603,8022517
1538918606,8022517
1538918609,8022517
1538918612,8022517
1538918615,8022517
1538918618,8022517
1538918621,8022517
1538918624,8022517
1538918627,8022517
1538918630,8022517
1538918633,8022517
1538918636,8022517
1538918639,8022517
t,value
1538918915,200705
1538918918,200705
1538918921,200705
1538918924,200705
1538918927,200705
1538918930,200705
1538918933,200705
1538918936,200705
1538918939,200705
1538918942,200705
1538918945,200705
1538918948,200705
1538918951,200705
1538918954,200705
1538918957,208967
1538918960,208967
1538918963,208967
1538918966,208967
1538918969,208967
1538918972,208967
1538918975,208967
1538918978,208967
1538918981,208967
1538918984,208967
1538918987,208967
1538918990,208967
1538918993,208967
1538918996,208967
1538918999,208967
1538919002,208967
1538919005,208967
1538919008,208967
1538919011,208967
1538919014,231611
1538919017,231611
1538919020,231611
1538919023,231611
1538919026,239873
1538919029,239873
1538919032,239873
1538919035,239873
1538919038,239873
1538919041,239873
1538919044,248065
1538919047,248065
1538919050,248065
1538919053,248065
1538919056,248065
1538919059,248065
1538919062,248065
1538919065,248065
1538919068,248065
1538919071,248065
1538919074,239873
1538919077,239873
1538919080,239873
1538919083,239873
1538919086,239873
1538919089,239873
1538919092,239873
1538919095,239873
1538919098,239873
1538919101,239873
1538919104,239873
1538919107,239873
1538919110,239873
1538919113,239873
1538919116,239873
1538919119,242116
1538919122,242116
1538919125,242116
1538919128,242116
1538919131,242116
1538919134,242116
1538919137,242116
1538919140,242116
1538919143,242116
1538919146,242116
1538919149,242116
1538919152,242116
1538919155,242116
1538919158,242116
1538919161,242116
1538919164,242116
1538919167,242116
1538919170,242340
1538919173,242340
1538919176,242340
1538919179,242340
1538919182,242340
1538919185,242340
1538919188,242340
1538919191,242340
1538919194,242340
1538919197,242564
1538919200,242564
1538919203,242564
1538919206,242564
1538919209,242564
1538919212,242564
1538919215,242564
1538919218,242564
1538919221,242564
1538919224,242564
1538919227,242564
1538919230,242564
1538919233,242564
1538919236,242564
1538919239,242564
1538919242,242564
1538919245,242564
1538919248,242564
1538919251,242564
1538919254,242564
1538919257,242564
1538919260,242564
1538919263,242564
1538919266,242564
1538919269,242564
1538919272,242564
1538919275,242564
1538919278,242564
1538919281,242564
1538919284,242564
1538919287,242564
1538919290,242564
1538919293,242564
1538919296,242564
1538919299,242564
1538919302,242564
1538919305,242564
1538919308,242564
1538919311,242564
1538919314,242564
1538919317,242564
1538919320,242564
1538919323,242564
1538919326,242564
1538919329,242564
1538919332,242564
1538919335,242564
1538919338,242564
1538919341,242564
1538919344,242564
1538919347,242564
1538919350,242564
1538919353,242564
1538919356,242564
1538919359,242564
1538919362,242564
1538919365,242564
1538919368,242564
1538919371,242564
1538919374,242564
1538919377,242564
1538919380,242564
1538919383,242564
1538919386,242564
1538919389,242564
1538919392,242564
1538919395,242564
1538919398,242564
1538919401,242564
1538919404,242564
1538919407,242564
1538919410,242564
1538919413,242564
1538919416,242564
1538919419,242564
1538919422,242564
1538919425,242564
1538919428,242564
1538919431,242564
1538919434,242564
1538919437,242564
1538919440,242564
1538919443,242564
1538919446,242564
1538919449,242564
1538919452,242564
1538919455,242564
1538919458,242564
1538919461,242564
1538919464,242564
1538919467,242564
1538919470,242564
1538919473,242564
1538919476,242564
1538919479,242564
1538919482,242564
1538919485,242564
1538919488,242564
1538919491,242564
1538919494,242564
