t,value
1538918384,9569088
1538918387,10572544
1538918390,12349888
1538918393,12293760
1538918396,12247424
1538918399,12261952
1538918402,12311936
1538918405,12336192
1538918408,12372928
1538918411,12429952
1538918414,12454080
1538918417,12454080
1538918420,12471936
1538918423,12500032
1538918426,12508160
1538918429,12526592
1538918432,12561088
1538918435,12570624
1538918438,12577664
1538918441,12648064
1538918444,12644352
1538918447,12599616
1538918450,12577088
1538918453,12460864
1538918456,12394304
1538918459,12459264
1538918462,12463616
1538918465,12465280
1538918468,12466112
1538918471,12468480
1538918474,12487552
1538918477,12465472
1538918480,12376512
1538918483,12383104
1538918486,12393600
1538918489,12401920
1538918492,12415232
1538918495,12451904
1538918498,12454336
1538918501,12459136
1538918504,12473792
1538918507,12486272
1538918510,12516800
1538918513,12531456
1538918516,12568512
1538918519,12548736
1538918522,12697728
1538918525,12716224
1538918528,12716928
1538918531,12726592
1538918534,12738048
1538918537,12743168
1538918540,12743168
1538918543,14860160
1538918546,16211968
1538918549,16211968
1538918552,16212736
1538918555,16213568
1538918558,16230848
1538918561,16236480
1538918564,16391104
1538918567,16393344
1538918570,16393344
1538918573,16397952
1538918576,16400000
1538918579,16401920
1538918582,16521984
1538918585,16528768
1538918588,16547392
1538918591,16553024
1538918594,16553024
1538918597,16585216
1538918600,16613696
1538918603,16552640
1538918606,16552640
1538918609,16554432
1538918612,16566080
1538918615,16569216
1538918618,16580544
1538918621,16588288
1538918624,16880768
1538918627,16888704
1538918630,16895872
1538918633,16895872
1538918636,16919744
1538918639,16925504
t,value
1538918915,11587968
1538918918,12048768
1538918921,12093376
1538918924,12155520
1538918927,11470976
1538918930,11494144
1538918933,11541824
1538918936,11561472
1538918939,11609408
1538918942,11650432
1538918945,11670016
1538918948,11672448
1538918951,11699136
1538918954,11724416
1538918957,11614656
1538918960,11684864
1538918963,11697408
1538918966,11709760
1538918969,11735872
1538918972,11816384
1538918975,11846848
1538918978,11873792
1538918981,11889216
1538918984,11812288
1538918987,11760576
