t,value
1538918384,5887576
1538918387,7662640
1538918390,8670608
1538918393,8675424
1538918396,8675424
1538918399,8675424
1538918402,8675424
1538918405,8675424
1538918408,8675424
1538918411,8675424
1538918414,8675424
1538918417,8675424
1538918420,8675424
1538918423,8675424
1538918426,8675424
1538918429,8675424
1538918432,8675424
1538918435,8675424
1538918438,8675424
1538918441,8675424
1538918444,8677904
1538918447,8677904
1538918450,8677904
1538918453,8677904
1538918456,9158024
1538918459,9174272
1538918462,9174272
1538918465,9174272
1538918468,9174272
1538918471,9174272
1538918474,9174272
1538918477,9174272
1538918480,9175848
1538918483,9175848
1538918486,9175848
1538918489,9175848
1538918492,9175848
1538918495,9175848
1538918498,9175848
1538918501,9175848
1538918504,9175848
1538918507,9175848
1538918510,9175848
1538918513,9175848
1538918516,9176880
1538918519,9176880
1538918522,9457896
1538918525,9457896
1538918528,9457896
1538918531,9457896
1538918534,9457896
1538918537,9457896
1538918540,9457896
1538918543,9786464
1538918546,10106256
1538918549,10106256
1538918552,10106256
1538918555,10106256
1538918558,10106256
1538918561,10106256
1538918564,10111776
1538918567,10111776
1538918570,10111776
1538918573,10111776
1538918576,10111776
1538918579,10111776
1538918582,10112912
1538918585,10113480
1538918588,10113480
1538918591,10113480
1538918594,10113480
1538918597,10113480
1538918600,10113480
1538918603,10115656
1538918606,10115656
1538918609,10115656
1538918612,10115656
1538918615,10115656
1538918618,10115656
1538918621,10115656
1538918624,10116720
1538918627,10116720
1538918630,10116720
1538918633,10116720
1538918636,10116720
1538918639,10116720
t,value
1538918915,7462264
1538918918,8508160
1538918921,8508160
1538918924,8508768
1538918927,8508768
1538918930,8508768
1538918933,8508768
1538918936,8508768
1538918939,8508768
1538918942,8508768
1538918945,8508768
1538918948,8508768
1538918951,8508768
1538918954,8508768
1538918957,8604944
1538918960,8604944
1538918963,8604944
1538918966,8604944
1538918969,8604944
1538918972,8604944
1538918975,8604944
1538918978,8604944
1538918981,8604944
1538918984,8604944
1538918987,8604944
1538918990,8604944
1538918993,8604944
1538918996,8604944
1538918999,8604944
1538919002,8604944
1538919005,8604944
1538919008,8604944
1538919011,8604944
1538919014,9363656
1538919017,9937144
1538919020,9937144
1538919023,9937144
1538919026,9937144
1538919029,9937144
1538919032,9937144
1538919035,9941456
1538919038,9941456
1538919041,9941456
1538919044,9941456
1538919047,9941456
1538919050,9941456
1538919053,9941456
1538919056,9941456
1538919059,9941456
1538919062,9941456
1538919065,9941456
1538919068,9941456
1538919071,9941456
1538919074,9944768
1538919077,9944768
1538919080,9944768
1538919083,9944768
1538919086,9944768
1538919089,9944768
1538919092,9944768
1538919095,9946400
1538919098,9946400
1538919101,9946400
1538919104,9946400
1538919107,9946400
1538919110,9946400
1538919113,9946400
1538919116,9946400
1538919119,9946400
1538919122,9946400
1538919125,9946400
1538919128,9946400
1538919131,9946400
1538919134,9946400
1538919137,9946400
1538919140,9946400
1538919143,9946400
1538919146,9946400
1538919149,9946400
1538919152,9946400
1538919155,9946400
1538919158,9946400
1538919161,9946400
1538919164,9946400
1538919167,9946400
1538919170,10224888
1538919173,10224888
1538919176,10232008
1538919179,10432712
1538919182,10432712
1538919185,10432712
1538919188,10468320
1538919191,10468800
1538919194,10468800
1538919197,10516616
1538919200,10516616
1538919203,10516616
1538919206,10521136
1538919209,10521136
1538919212,10521136
1538919215,10521136
1538919218,10521136
1538919221,10521136
1538919224,10521136
1538919227,10521136
1538919230,10521136
1538919233,10521136
1538919236,10521136
1538919239,10521704
1538919242,10521704
1538919245,10521704
1538919248,10521704
1538919251,10521704
1538919254,10521704
1538919257,10553512
1538919260,10553512
1538919263,10553512
1538919266,10553512
1538919269,10553512
1538919272,10553512
1538919275,10553512
1538919278,10553512
1538919281,10553512
1538919284,10555584
1538919287,10555584
1538919290,10555584
1538919293,10556648
1538919296,10556648
1538919299,10556648
