t,value
1538918384,47185920
1538918387,52428800
1538918390,52428800
1538918393,53477376
1538918396,53477376
1538918399,54525952
1538918402,54525952
1538918405,54525952
1538918408,55574528
1538918411,55574528
1538918414,55574528
1538918417,56623104
1538918420,56623104
1538918423,56623104
1538918426,57671680
1538918429,57671680
1538918432,57671680
1538918435,58720256
1538918438,58720256
1538918441,58720256
1538918444,59768832
1538918447,59768832
1538918450,60817408
1538918453,60817408
1538918456,7340032
1538918459,8388608
1538918462,9437184
1538918465,9437184
1538918468,9437184
1538918471,10485760
1538918474,10485760
1538918477,10485760
1538918480,11534336
1538918483,12582912
1538918486,12582912
1538918489,13631488
1538918492,13631488
1538918495,13631488
1538918498,14680064
1538918501,14680064
1538918504,14680064
1538918507,15728640
1538918510,15728640
1538918513,16777216
1538918516,17825792
1538918519,17825792
1538918522,47185920
1538918525,47185920
1538918528,47185920
1538918531,48234496
1538918534,48234496
1538918537,48234496
1538918540,49283072
1538918543,23068672
1538918546,57671680
1538918549,57671680
1538918552,57671680
1538918555,58720256
1538918558,58720256
1538918561,58720256
1538918564,0
1538918567,0
1538918570,0
1538918573,1048576
1538918576,1048576
1538918579,2097152
1538918582,6291456
1538918585,6291456
1538918588,6291456
1538918591,7340032
1538918594,7340032
1538918597,7340032
1538918600,8388608
1538918603,11534336
1538918606,12582912
1538918609,12582912
1538918612,12582912
1538918615,13631488
1538918618,13631488
1538918621,13631488
1538918624,17825792
1538918627,18874368
1538918630,18874368
1538918633,18874368
1538918636,19922944
1538918639,19922944
t,value
1538918915,32505856
1538918918,44040192
1538918921,45088768
1538918924,45088768
1538918927,46137344
1538918930,46137344
1538918933,46137344
1538918936,47185920
1538918939,47185920
1538918942,47185920
1538918945,48234496
1538918948,48234496
1538918951,48234496
1538918954,49283072
1538918957,55574528
1538918960,56623104
1538918963,56623104
1538918966,56623104
1538918969,57671680
1538918972,57671680
1538918975,58720256
1538918978,58720256
1538918981,0
1538918984,0
1538918987,1048576
1538918990,1048576
1538918993,1048576
1538918996,2097152
1538918999,2097152
1538919002,2097152
1538919005,3145728
1538919008,3145728
1538919011,3145728
1538919014,33554432
1538919017,41943040
1538919020,42991616
1538919023,42991616
1538919026,44040192
1538919029,44040192
1538919032,45088768
1538919035,49283072
1538919038,49283072
1538919041,49283072
1538919044,50331648
1538919047,50331648
1538919050,51380224
1538919053,51380224
1538919056,54525952
1538919059,55574528
1538919062,55574528
1538919065,55574528
1538919068,56623104
1538919071,56623104
1538919074,0
1538919077,1048576
1538919080,1048576
1538919083,2097152
1538919086,2097152
1538919089,2097152
