t,value
1538918384,19399176
1538918387,36700168
1538918390,36700672
1538918393,36700672
1538918396,36700672
1538918399,36700672
1538918402,36700672
1538918405,36700672
1538918408,36700672
1538918411,36700672
1538918414,36700672
1538918417,36700672
1538918420,36700672
1538918423,36700672
1538918426,36700672
1538918429,36700672
1538918432,36700672
1538918435,36700672
1538918438,36700672
1538918441,36700672
1538918444,36700672
1538918447,36700672
1538918450,36700672
1538918453,36700672
1538918456,32828936
1538918459,32828936
1538918462,32828936
1538918465,32828936
1538918468,32828936
1538918471,32828936
1538918474,32828936
1538918477,32828936
1538918480,32828936
1538918483,32828936
1538918486,32828936
1538918489,32828936
1538918492,32828936
1538918495,32828936
1538918498,32828936
1538918501,32828936
1538918504,32828936
1538918507,32828936
1538918510,32828936
1538918513,32828936
1538918516,32828936
1538918519,32828936
1538918522,32828936
1538918525,32828936
1538918528,32828936
1538918531,32828936
1538918534,32828936
1538918537,32828936
1538918540,32828936
1538918543,36689936
1538918546,36689936
1538918549,36689936
1538918552,36689936
1538918555,36689936
1538918558,36689936
1538918561,36689936
1538918564,47185944
1538918567,47185944
1538918570,47185944
1538918573,47185944
1538918576,47185944
1538918579,47185944
1538918582,47185944
1538918585,47185944
1538918588,47185944
1538918591,47185944
1538918594,47185944
1538918597,47185944
1538918600,47185944
1538918603,47185944
1538918606,47185944
1538918609,47185944
1538918612,47185944
1538918615,47185944
1538918618,47185944
1538918621,47185944
1538918624,47185944
1538918627,47185944
1538918630,47185944
1538918633,47185944
1538918636,47185944
1538918639,47185944
t,value
1538918915,36175888
1538918918,42991624
1538918921,42991624
1538918924,42991624
1538918927,42991624
1538918930,42991624
1538918933,42991624
1538918936,42991624
1538918939,42991624
1538918942,42991624
1538918945,42991624
1538918948,42991624
1538918951,42991624
1538918954,42991624
1538918957,42991624
1538918960,42991624
1538918963,42991624
1538918966,42991624
1538918969,42991624
1538918972,42991624
1538918975,42991624
1538918978,42991624
1538918981,43515904
1538918984,43515904
1538918987,43515904
1538918990,43515904
1538918993,43515904
1538918996,43515904
1538918999,43515904
1538919002,43515904
1538919005,43515904
1538919008,43515904
1538919011,43515904
1538919014,37442064
1538919017,42074128
1538919020,42074128
1538919023,42074128
1538919026,42074128
1538919029,42074128
1538919032,42074128
1538919035,42074128
1538919038,42074128
1538919041,42074128
1538919044,42074128
1538919047,42074128
1538919050,42074128
1538919053,42074128
1538919056,42074128
1538919059,42074128
1538919062,42074128
1538919065,42074128
1538919068,42074128
1538919071,42074128
1538919074,48069120
1538919077,48069120
1538919080,48069120
1538919083,48069120
1538919086,48069120
1538919089,48069120
1538919092,48069120
1538919095,48069120
1538919098,48069120
1538919101,48069120
1538919104,48069120
1538919107,48069120
1538919110,48069120
1538919113,48069120
1538919116,48069120
1538919119,48069120
1538919122,48069120
1538919125,48069120
1538919128,48069120
1538919131,48069120
1538919134,48069120
1538919137,48069120
1538919140,48069120
1538919143,48069120
1538919146,48069120
1538919149,48069120
1538919152,48069120
1538919155,48069120
1538919158,48069120
1538919161,48069120
1538919164,48069120
1538919167,48069120
1538919170,48069120
1538919173,48069120
1538919176,48069120
1538919179,47890880
1538919182,47890880
1538919185,47890880
1538919188,47890880
1538919191,47890880
1538919194,47890880
1538919197,47890880
1538919200,47890880
1538919203,47890880
1538919206,47890880
1538919209,47890880
1538919212,47890880
1538919215,47890880
1538919218,47890880
1538919221,47890880
1538919224,47890880
1538919227,47890880
1538919230,47890880
1538919233,47890880
1538919236,47890880
1538919239,47890880
1538919242,47890880
1538919245,47890880
1538919248,47890880
1538919251,47890880
1538919254,47890880
1538919257,47890880
1538919260,47890880
1538919263,47890880
1538919266,47890880
1538919269,47890880
1538919272,47890880
1538919275,47890880
1538919278,47890880
1538919281,47890880
1538919284,47890880
1538919287,47890880
1538919290,47890880
1538919293,48069120
1538919296,48069120
1538919299,48069120
1538919302,48069120
1538919305,48069120
1538919308,48069120
1538919311,48069120
1538919314,48069120
1538919317,48069120
1538919320,48069120
1538919323,48069120
1538919326,48069120
1538919329,48069120
1538919332,48069120
1538919335,48069120
1538919338,48069120
1538919341,48069120
1538919344,48069120
1538919347,48069120
1538919350,48069120
1538919353,48069120
1538919356,48069120
1538919359,48069120
1538919362,48069120
1538919365,48069120
1538919368,48069120
1538919371,48069120
1538919374,48069120
1538919377,48069120
1538919380,48069120
1538919383,48069120
1538919386,48069120
1538919389,48069120
1538919392,48069120
1538919395,48069120
1538919398,48069120
1538919401,48069120
1538919404,48069120
1538919407,48069120
1538919410,48069120
1538919413,48069120
1538919416,48069120
1538919419,48069120
1538919422,48069120
1538919425,48069120
1538919428,48069120
1538919431,48069120
1538919434,48069120
1538919437,48069120
1538919440,48069120
1538919443,48069120
1538919446,48069120
1538919449,48069120
1538919452,48069120
1538919455,48069120
1538919458,48069120
1538919461,48069120
1538919464,48069120
1538919467,48069120
1538919470,48069120
1538919473,48069120
1538919476,48069120
1538919479,48069120
1538919482,48069120
1538919485,48069120
1538919488,48069120
1538919491,48069120
1538919494,48069120
1538919497,48069120
1538919500,48069120
1538919503,48069120
1538919506,48069120
1538919509,48069120
1538919512,48069120
1538919515,48069120
1538919518,48069120
1538919521,48069120
1538919524,48069120
1538919527,48069120
1538919530,48069120
1538919533,48069120
1538919536,48069120
1538919539,48069120
1538919542,48069120
1538919545,48069120
1538919548,48069120
1538919551,47544840
1538919554,47544840
1538919557,47544840
1538919560,47544840
1538919563,47544840
1538919566,47544840
1538919569,47544840
1538919572,47544840
1538919575,47544840
1538919578,47544840
1538919581,47544840
1538919584,47544840
1538919587,47544840
1538919590,47544840
1538919593,47544840
1538919615,47544840
1538919618,47544840
1538919621,47544840
1538919624,47544840
1538919627,47544840
1538919630,47544840
1538919633,47544840
1538919636,47544840
1538919639,47544840
1538919642,47544840
1538919645,47544840
1538919648,47544840
1538919651,47544840
1538919654,47544840
1538919657,47544840
1538919660,47544840
1538919663,47544840
1538919666,47544840
1538919669,47544840
1538919672,47544840
1538919675,47544840
1538919678,47544840
1538919681,47544840
1538919684,47544840
1538919687,47544840
1538919690,47544840
1538919693,47544840
1538919696,47544840
1538919699,47544840
1538919702,47544840
1538919705,47544840
1538919708,47544840
1538919711,47544840
1538919714,47544840
1538919717,47544840
1538919720,47544840
1538919723,47544840
1538919726,47544840
1538919729,47544840
1538919732,47544840
1538919735,47544840
1538919738,47544840
1538919741,47544840
1538919744,47544840
1538919747,47544840
1538919750,47544840
1538919753,47544840
1538919756,47544840
1538919759,47544840
1538919762,47544840
1538919765,47544840
1538919768,47544840
1538919771,47544840
1538919774,47544840
1538919777,47544840
1538919780,47544840
1538919783,47544840
1538919786,47544840
1538919789,47544840
1538919792,47544840
1538919795,47544840
1538919798,47544840
1538919801,47544840
1538919804,47544840
1538919807,47544840
1538919810,47544840
1538919813,47544840
1538919816,47544840
1538919819,47544840
1538919822,47551424
1538919825,47551424
1538919828,47551424
1538919831,47551424
1538919834,47551424
1538919837,47551424
1538919840,47551424
1538919843,47551424
1538919846,47551424
1538919849,47551424
1538919852,47551424
1538919855,47551424
1538919858,47551424
1538919861,47551424
1538919864,47551424
1538919867,47551424
1538919870,47551424
1538919873,47551424
1538919876,47551424
1538919879,47551424
1538919882,47551424
1538919885,47551424
1538919888,47551424
1538919891,47551424
1538919894,47551424
1538919897,47551424
1538919900,47551424
1538919903,47551424
1538919906,47551424
1538919909,47551424
1538919912,47551424
1538919915,47551424
1538919918,47551424
1538919921,47551424
1538919924,47551424
1538919927,47551424
1538919930,47551424
1538919933,47551424
1538919936,47551424
1538919939,47551424
1538919942,47551424
1538919945,47551424
1538919948,47551424
1538919951,47551424
1538919954,47551424
1538919957,47551424
1538919960,47551424
1538919963,47551424
1538919966,47551424
1538919969,47551424
1538919972,47551424
1538919975,47551424
1538919978,47551424
1538919981,47551424
1538919984,47551424
1538919987,47551424
1538919990,47551424
1538919993,47551424
1538919996,47551424
1538919999,47551424
1538920002,47551424
1538920005,47551424
1538920008,47551424
1538920011,47551424
1538920014,47551424
1538920017,47551424
1538920020,47551424
1538920023,47551424
1538920026,47551424
1538920029,47551424
1538920032,47551424
1538920035,47551424
1538920038,47551424
1538920041,47551424
1538920044,47551424
1538920047,47551424
1538920050,47551424
1538920053,47551424
1538920056,47551424
1538920059,47551424
1538920062,47551424
1538920065,47551424
1538920068,47551424
1538920071,47551424
1538920074,47551424
1538920077,47551424
1538920080,47551424
1538920083,47759152
1538920086,47759152
1538920089,47759152
1538920092,47759152
1538920095,47759152
1538920098,47759152
1538920101,47759152
1538920104,47759152
1538920107,47759152
1538920110,47759152
1538920113,47759152
1538920116,47759152
1538920119,47759152
1538920122,47759152
1538920125,47759152
1538920128,47759152
1538920131,47759152
1538920134,47759152
1538920137,47759152
1538920140,47759152
1538920143,47759152
1538920146,47759152
1538920149,47759152
1538920152,47759152
1538920155,47759152
1538920158,47759152
1538920161,47759152
1538920164,47759152
1538920167,47759152
1538920170,47759152
1538920173,47759152
1538920176,47759152
1538920179,47759152
1538920182,47759152
1538920185,47759152
1538920188,47759152
1538920191,47759152
1538920194,47759152
1538920197,47759152
1538920200,47759152
1538920203,47759152
1538920206,47759152
1538920209,47759152
1538920212,47759152
1538920215,47759152
1538920218,47759152
1538920221,47759152
1538920224,47759152
1538920227,47759152
1538920230,47759152
1538920233,47759152
1538920236,47759152
1538920239,47759152
1538920242,47759152
1538920245,47759152
1538920248,47759152
1538920251,47759152
1538920254,47759152
1538920257,47759152
1538920260,47759152
1538920263,47759152
1538920266,47759152
1538920269,47759152
1538920272,47759152
1538920275,47759152
1538920278,47759152
1538920281,47759152
1538920284,47759152
1538920287,47759152
1538920290,47759152
1538920293,47759152
1538920296,47759152
1538920299,47759152
1538920302,47759152
1538920305,47759152
1538920308,47759152
1538920311,47759152
1538920314,47759152
1538920317,47759152
1538920320,47759152
1538920323,47759152
1538920326,47759152
1538920329,47759152
1538920332,47563184
1538920335,47563184
1538920338,47563184
1538920341,47563184
1538920344,47563184
1538920347,47563184
1538920350,47563184
1538920353,47563184
1538920356,47563184
1538920359,47563184
1538920362,47563184
1538920365,47563184
1538920368,47563184
1538920371,47563184
1538920374,47563184
1538920377,47563184
1538920380,47563184
1538920383,47563184
1538920386,47563184
1538920389,47563184
1538920392,47563184
1538920395,47563184
1538920398,47563184
1538920401,47563184
1538920404,47563184
1538920407,47563184
1538920410,47563184
1538920413,47563184
1538920416,47563184
1538920419,47563184
1538920422,47563184
1538920425,47563184
1538920428,47563184
1538920431,47563184
1538920434,47563184
1538920437,47563184
1538920440,47563184
1538920443,47563184
1538920446,47563184
1538920449,47563184
1538920452,47563184
1538920455,47563184
1538920458,47563184
1538920461,47563184
1538920464,47563184
1538920467,47563184
1538920470,47563184
1538920473,47563184
1538920476,47563184
1538920479,47563184
1538920482,47563184
1538920485,47563184
1538920488,47563184
1538920491,47563184
1538920494,47563184
1538920497,47563184
1538920500,47563184
1538920503,47563184
1538920506,47563184
1538920509,47563184
1538920512,47563184
1538920515,47563184
1538920518,47563184
1538920521,47563184
1538920524,47563184
1538920527,47563184
1538920530,47563184
1538920533,47563184
1538920536,47563184
1538920539,47563184
1538920534,47563184
1538920537,47563184
1538920540,47563184
1538920543,47563184
1538920546,47563184
1538920549,47563184
1538920552,47563184
1538920555,47563184
1538920558,47563184
1538920561,47563184
1538920564,47563184
1538920567,47563184
1538920570,47563184
1538920573,47563184
1538920576,47563184
1538920579,47563184
1538920582,47563184
1538920585,47584896
1538920588,47584896
1538920591,47584896
1538920594,47584896
1538920597,47584896
1538920600,47584896
1538920603,47584896
1538920606,47584896
1538920609,47584896
1538920612,47584896
1538920615,47584896
1538920618,47584896
1538920621,47584896
1538920624,47584896
1538920627,47584896
1538920630,47584896
1538920633,47584896
1538920636,47584896
1538920639,47584896
1538920642,47584896
1538920645,47584896
1538920648,47584896
1538920651,47584896
1538920654,47584896
1538920657,47584896
1538920660,47584896
1538920663,47584896
1538920666,47584896
1538920669,47584896
1538920672,47584896
1538920675,47584896
1538920678,47584896
1538920681,47584896
1538920684,47584896
1538920687,47584896
1538920690,47584896
1538920693,47584896
1538920696,47584896
1538920699,47584896
1538920702,47584896
1538920705,47584896
1538920708,47584896
1538920711,47584896
1538920714,47584896
1538920717,47584896
1538920720,47584896
1538920723,47584896
1538920726,47584896
1538920729,47584896
1538920732,47584896
1538920735,47584896
1538920738,47584896
1538920741,47584896
1538920744,47584896
1538920747,47584896
1538920750,47584896
1538920753,47584896
1538920756,47584896
1538920759,47584896
1538920762,47584896
1538920765,47584896
1538920768,47584896
1538920771,47584896
1538920774,47584896
1538920777,47584896
1538920780,47584896
1538920783,47584896
1538920786,47584896
1538920789,47584896
1538920792,47584896
1538920795,47584896
1538920798,47584896
1538920801,47584896
1538920804,47584896
1538920807,47584896
1538920810,47584896
1538920813,47584896
1538920816,47584896
1538920819,47584896
1538920822,47584896
1538920825,47584896
1538920828,47557632
1538920831,47557632
1538920834,47557632
1538920837,47557632
1538920840,47557632
1538920843,47557632
1538920846,47557632
1538920849,47557632
1538920852,47557632
1538920855,47557632
1538920858,47557632
1538920861,47557632
1538920864,47557632
1538920867,47557632
1538920870,47557632
1538920873,47557632
1538920876,47557632
1538920879,47557632
1538920882,47557632
1538920885,47557632
1538920888,47557632
1538920891,47557632
1538920894,47557632
1538920897,47557632
1538920900,47557632
1538920903,47557632
1538920906,47557632
1538920909,47557632
1538920912,47557632
1538920915,47557632
1538920918,47557632
1538920921,47557632
1538920924,47557632
1538920927,47557632
1538920930,47557632
1538920933,47557632
1538920936,47557632
1538920939,47557632
1538920942,47557632
1538920945,47557632
1538920948,47557632
1538920951,47557632
1538920954,47557632
1538920957,47557632
1538920960,47557632
1538920963,47557632
1538920966,47557632
1538920969,47557632
1538920972,47557632
1538920975,47557632
1538920978,47557632
1538920981,47557632
1538920984,47557632
1538920987,47557632
1538920990,47557632
1538920993,47557632
1538920996,47557632
1538920999,47557632
1538921002,47557632
1538921005,47557632
1538921008,47557632
1538921011,47557632
1538921014,47557632
1538921017,47557632
1538921020,47557632
1538921023,47557632
1538921026,47557632
1538921029,47557632
1538921032,47557632
1538921035,47557632
1538921038,47557632
1538921041,47557632
1538921044,47557632
1538921047,47557632
1538921050,47557632
1538921053,47557632
1538921056,47557632
1538921059,47557632
1538921062,47557632
1538921065,47557632
1538921068,47557632
1538921071,47557632
1538921074,47557632
1538921077,47557632
1538921080,47557632
1538921083,47557632
1538921086,47557632
1538921089,47557632
1538921092,47557632
1538921095,47679456
1538921098,47679456
t,value
1539040417,16777224
1539040420,30408728
1539040423,35651592
1539040426,35651592
1539040429,35651592
1539040432,35651592
1539040435,35651592
1539040438,35651592
1539040441,35651592
1539040444,32417800
1539040447,36698640
1539040450,36698640
1539040453,36698640
1539040456,36698640
1539040459,36698640
1539040462,36698640
1539040465,36698640
1539040468,36698640
1539040471,36698640
1539040474,36698640
1539040477,36698640
1539040480,36698640
1539040483,36698640
1539040486,36698640
1539040489,36698640
1539040492,36698640
1539040495,36698640
1539040498,36698640
1539040501,36698640
1539040504,36698640
1539040507,36698640
1539040510,36698640
1539040513,36698640
1539040516,36698640
1539040519,36698640
1539040522,36698640
1539040525,36698640
1539040528,36698640
1539040531,36698640
1539040534,36698640
1539040537,36698640
1539040540,36698640
1539040543,40370192
1539040546,45613072
1539040549,45613072
1539040552,45613072
1539040555,45613072
1539040558,45613072
1539040561,45613072
1539040564,45613072
1539040567,45613072
1539040570,45613072
1539040573,45613072
1539040576,45613072
1539040579,45613072
1539040582,45613072
1539040585,45613072
1539040588,45613072
1539040591,45613072
1539040594,45613072
1539040597,45613072
1539040600,45613072
1539040603,45613072
1539040606,45613072
1539040609,45613072
1539040612,45613072
1539040615,45613072
1539040618,45613072
1539040621,45613072
1539040624,45613072
1539040627,45613072
1539040630,45613072
1539040633,45613072
1539040636,45613072
1539040639,45613072
1539040642,45613072
1539040645,45613072
1539040648,45613072
1539040651,45613072
1539040654,45613072
1539040657,45613072
1539040660,45613072
1539040663,45613072
1539040666,45613072
1539040669,45613072
1539040672,45613072
1539040675,45613072
1539040678,45613072
1539040681,45613072
1539040684,45613072
1539040687,45613072
1539040690,45613072
1539040693,45613072
1539040696,45613072
1539040699,45613072
1539040702,45613072
1539040705,45613072
1539040708,45613072
1539040711,45613072
1539040714,45613072
1539040717,45613072
1539040720,45613072
1539040723,45613072
1539040726,45613072
1539040729,45613072
1539040732,45613072
1539040735,45613072
1539040738,45613072
1539040741,45613072
1539040744,45613072
1539040747,45613072
1539040750,45613072
1539040753,45613072
1539040756,45613072
1539040759,45613072
1539040762,45613072
1539040765,45613072
1539040768,45613072
1539040771,45613072
1539040774,45364816
1539040777,45364816
1539040780,45364816
1539040783,45364816
1539040786,45364816
1539040789,45364816
1539040792,45364816
1539040795,45364816
1539040798,45364816
1539040801,45364816
1539040804,45364816
1539040807,45364816
1539040810,45364816
1539040813,45364816
1539040816,45364816
1539040819,45364816
1539040822,45364816
1539040825,45364816
1539040828,45364816
1539040831,45364816
1539040834,45364816
1539040837,45364816
1539040840,45364816
1539040843,45364816
1539040846,45364816
1539040849,45364816
1539040852,45364816
1539040855,45364816
1539040858,45364816
1539040861,45364816
1539040864,45364816
1539040867,45364816
1539040870,45364816
1539040873,45364816
1539040876,45364816
1539040879,45364816
1539040882,45364816
1539040885,45364816
1539040888,45364816
1539040891,45364816
1539040894,45364816
1539040897,45364816
1539040900,45364816
1539040903,45364816
1539040906,45364816
1539040909,45364816
1539040912,45364816
1539040915,45364816
1539040918,45364816
1539040921,45364816
1539040924,45364816
1539040927,45364816
1539040930,45364816
1539040933,45364816
1539040936,45364816
1539040939,45364816
1539040942,45364816
1539040945,45364816
1539040948,45364816
1539040951,45364816
1539040954,45364816
1539040957,45364816
1539040960,45364816
1539040963,45364816
1539040966,45364816
1539040969,45364816
1539040972,45364816
1539040975,45364816
1539040978,45364816
1539040981,45364816
1539040984,45364816
1539040987,45364816
