t,value
1538918384,10485760
1538918387,7340032
1538918390,8388608
1538918393,8388608
1538918396,8388608
1538918399,8388608
1538918402,8388608
1538918405,8388608
1538918408,8388608
1538918411,8388608
1538918414,8388608
1538918417,8388608
1538918420,8388608
1538918423,8388608
1538918426,8388608
1538918429,8388608
1538918432,8388608
1538918435,8388608
1538918438,8388608
1538918441,8388608
1538918444,8388608
1538918447,8388608
1538918450,8388608
1538918453,8388608
1538918456,8388608
1538918459,8388608
1538918462,8388608
1538918465,8388608
1538918468,8388608
1538918471,8388608
1538918474,8388608
1538918477,8388608
1538918480,8388608
1538918483,8388608
1538918486,8388608
1538918489,8388608
1538918492,8388608
1538918495,8388608
1538918498,8388608
1538918501,8388608
1538918504,8388608
1538918507,8388608
1538918510,8388608
1538918513,8388608
1538918516,8388608
1538918519,8388608
1538918522,8388608
1538918525,8388608
1538918528,8388608
1538918531,8388608
1538918534,8388608
1538918537,8388608
1538918540,8388608
1538918543,9437184
1538918546,9437184
1538918549,9437184
1538918552,9437184
1538918555,9437184
1538918558,9437184
1538918561,9437184
1538918564,2097152
1538918567,2097152
1538918570,2097152
1538918573,2097152
1538918576,2097152
1538918579,2097152
1538918582,2097152
1538918585,2097152
1538918588,2097152
1538918591,2097152
1538918594,2097152
1538918597,2097152
1538918600,2097152
1538918603,2097152
1538918606,2097152
1538918609,2097152
1538918612,2097152
1538918615,2097152
1538918618,2097152
1538918621,2097152
1538918624,2097152
1538918627,2097152
1538918630,2097152
1538918633,2097152
1538918636,2097152
1538918639,2097152
t,value
1538918915,10485760
1538918918,8388608
1538918921,8388608
1538918924,8388608
1538918927,8388608
1538918930,8388608
1538918933,8388608
1538918936,8388608
1538918939,8388608
1538918942,8388608
1538918945,8388608
1538918948,8388608
1538918951,8388608
1538918954,8388608
1538918957,8388608
1538918960,8388608
1538918963,8388608
1538918966,8388608
1538918969,8388608
1538918972,8388608
1538918975,8388608
1538918978,8388608
1538918981,8388608
1538918984,8388608
1538918987,8388608
1538918990,8388608
1538918993,8388608
1538918996,8388608
1538918999,8388608
1538919002,8388608
1538919005,8388608
1538919008,8388608
1538919011,8388608
1538919014,9437184
1538919017,8388608
1538919020,8388608
1538919023,8388608
1538919026,8388608
1538919029,8388608
1538919032,8388608
1538919035,8388608
1538919038,8388608
1538919041,8388608
1538919044,8388608
1538919047,8388608
1538919050,8388608
1538919053,8388608
1538919056,8388608
1538919059,8388608
1538919062,8388608
1538919065,8388608
1538919068,8388608
1538919071,8388608
1538919074,2097152
1538919077,2097152
1538919080,2097152
1538919083,2097152
1538919086,2097152
