t,value
1538918384,38348352
1538918387,49108544
1538918390,56797272
1538918393,56822704
1538918396,56837112
1538918399,56844008
1538918402,56854232
1538918405,56857064
1538918408,56863128
1538918411,56865032
1538918414,56866088
1538918417,56866088
1538918420,56868440
1538918423,56877384
1538918426,56879928
1538918429,56884320
1538918432,56898064
1538918435,56900040
1538918438,56901408
1538918441,56905248
1538918444,56923000
1538918447,56929248
1538918450,56932512
1538918453,56938984
1538918456,60357912
1538918459,60452784
1538918462,60453824
1538918465,60453824
1538918468,60454168
1538918471,60463992
1538918474,60463992
1538918477,60464696
1538918480,60478552
1538918483,60480792
1538918486,60484024
1538918489,60488256
1538918492,60490008
1538918495,60500432
1538918498,60500808
1538918501,60502048
1538918504,60506072
1538918507,60513560
1538918510,60516080
1538918513,60522368
1538918516,60550560
1538918519,60557000
1538918522,62275176
1538918525,62284856
1538918528,62284856
1538918531,62286112
1538918534,62288944
1538918537,62293160
1538918540,62293160
1538918543,64509104
1538918546,66415520
1538918549,66415520
1538918552,66415520
1538918555,66415520
1538918558,66418728
1538918561,66420144
1538918564,66514112
1538918567,66514600
1538918570,66514632
1538918573,66514712
1538918576,66515504
1538918579,66515504
1538918582,66560448
1538918585,66565616
1538918588,66566416
1538918591,66568000
1538918594,66568000
1538918597,66568632
1538918600,66570648
1538918603,66650928
1538918606,66650928
1538918609,66651304
1538918612,66652336
1538918615,66652336
1538918618,66653400
1538918621,66653776
1538918624,66717920
1538918627,66719504
1538918630,66719504
1538918633,66719504
1538918636,66723472
1538918639,66725672
t,value
1538918915,47590144
1538918918,55562472
1538918921,55570720
1538918924,55589216
1538918927,55595184
1538918930,55603184
1538918933,55609928
1538918936,55612304
1538918939,55618808
1538918942,55619336
1538918945,55620048
1538918948,55620392
1538918951,55626928
1538918954,55632232
1538918957,56380208
1538918960,56395832
1538918963,56396136
1538918966,56397176
1538918969,56401640
1538918972,56402048
1538918975,56407528
1538918978,56415192
1538918981,56420552
1538918984,56424792
1538918987,56425504
1538918990,56430184
1538918993,56430184
1538918996,56430184
1538918999,56442224
1538919002,56442224
1538919005,56443056
1538919008,56443056
1538919011,56443088
1538919014,61429312
1538919017,65057136
1538919020,65069600
1538919023,65075312
1538919026,65081840
1538919029,65083176
1538919032,65083176
1538919035,65173376
1538919038,65174056
1538919041,65177792
1538919044,65184648
1538919047,65188192
1538919050,65191656
1538919053,65191656
1538919056,65251544
1538919059,65254672
1538919062,65254672
1538919065,65255168
1538919068,65255504
1538919071,65255504
1538919074,65314376
1538919077,65321144
1538919080,65325360
1538919083,65329752
1538919086,65330928
1538919089,65334384
1538919092,65335216
1538919095,65391824
1538919098,65392568
1538919101,65392568
1538919104,65392568
1538919107,65392568
1538919110,65392568
1538919113,65392568
1538919116,65428952
1538919119,65430576
1538919122,65430952
1538919125,65430952
1538919128,65432968
1538919131,65433344
1538919134,65470160
1538919137,65470160
1538919140,65470160
1538919143,65473872
1538919146,65473872
1538919149,65473872
1538919152,65475456
1538919155,65519312
1538919158,65523304
1538919161,65523304
1538919164,65524672
1538919167,65530208
1538919170,67448880
1538919173,67448880
1538919176,67534376
1538919179,68571168
1538919182,68571616
1538919185,68571616
1538919188,68751328
1538919191,68790128
1538919194,68870712
1538919197,69172008
1538919200,69214656
1538919203,69237064
1538919206,69333168
1538919209,69333168
1538919212,69333168
1538919215,69359696
1538919218,69359696
1538919221,69359696
1538919224,69363328
1538919227,69369664
1538919230,69369664
1538919233,69369664
1538919236,69369664
1538919239,69393224
1538919242,69393224
1538919245,69393224
1538919248,69393224
1538919251,69395248
1538919254,69395592
1538919257,69611688
1538919260,69611688
1538919263,69611688
1538919266,69611688
1538919269,69611688
1538919272,69613192
1538919275,69614296
1538919278,69615376
1538919281,69615376
1538919284,69638968
1538919287,69638968
1538919290,69639656
1538919293,69645904
1538919296,69648992
1538919299,69649384
1538919302,69650456
1538919305,69650456
1538919308,69650456
1538919311,69676448
1538919314,69677000
1538919317,69677000
1538919320,69677000
1538919323,69677000
1538919326,69677000
1538919329,69677000
1538919332,69714376
1538919335,69721432
1538919338,69721432
1538919341,69721432
1538919344,69721432
