t,value
1538918384,26
1538918387,27
1538918390,36
1538918393,37
1538918396,37
1538918399,37
1538918402,37
1538918405,37
1538918408,37
1538918411,37
1538918414,37
1538918417,37
1538918420,37
1538918423,37
1538918426,37
1538918429,37
1538918432,37
1538918435,37
1538918438,37
1538918441,36
1538918444,36
1538918447,36
1538918450,36
1538918453,36
1538918456,43
1538918459,43
1538918462,43
1538918465,43
1538918468,43
1538918471,43
1538918474,43
1538918477,43
1538918480,43
1538918483,43
1538918486,43
1538918489,43
1538918492,43
1538918495,43
1538918498,43
1538918501,43
1538918504,43
1538918507,43
1538918510,43
1538918513,43
1538918516,45
1538918519,45
1538918522,48
1538918525,48
1538918528,47
1538918531,46
1538918534,46
1538918537,46
1538918540,46
1538918543,51
1538918546,51
1538918549,51
1538918552,49
1538918555,49
1538918558,49
1538918561,49
1538918564,51
1538918567,51
1538918570,50
1538918573,50
1538918576,49
1538918579,49
1538918582,51
1538918585,51
1538918588,50
1538918591,50
1538918594,50
1538918597,49
1538918600,49
1538918603,51
1538918606,51
1538918609,50
1538918612,50
1538918615,50
1538918618,48
1538918621,48
1538918624,50
1538918627,50
1538918630,49
1538918633,49
1538918636,48
1538918639,48
t,value
1538918915,28
1538918918,37
1538918921,36
1538918924,37
1538918927,37
1538918930,37
1538918933,37
1538918936,37
1538918939,37
1538918942,37
1538918945,37
1538918948,37
1538918951,37
1538918954,37
1538918957,40
1538918960,40
1538918963,40
1538918966,40
1538918969,40
1538918972,39
1538918975,39
1538918978,39
1538918981,39
1538918984,39
1538918987,39
1538918990,39
1538918993,39
1538918996,39
1538918999,39
1538919002,39
1538919005,39
1538919008,39
1538919011,39
1538919014,47
1538919017,49
1538919020,48
1538919023,48
1538919026,46
1538919029,46
1538919032,46
1538919035,49
1538919038,49
1538919041,48
1538919044,48
1538919047,48
1538919050,47
1538919053,47
1538919056,49
1538919059,49
1538919062,48
1538919065,48
1538919068,47
1538919071,47
1538919074,49
1538919077,49
1538919080,49
1538919083,48
1538919086,47
1538919089,46
1538919092,46
1538919095,48
1538919098,48
1538919101,47
1538919104,47
1538919107,47
1538919110,46
1538919113,46
1538919116,48
1538919119,48
1538919122,47
1538919125,47
1538919128,46
1538919131,46
1538919134,48
1538919137,48
1538919140,47
1538919143,47
1538919146,47
1538919149,47
1538919152,47
1538919155,48
1538919158,48
1538919161,48
1538919164,47
1538919167,47
1538919170,49
1538919173,49
1538919176,49
1538919179,51
1538919182,50
1538919185,49
1538919188,50
1538919191,50
1538919194,50
1538919197,50
1538919200,50
1538919203,50
1538919206,50
1538919209,49
1538919212,47
1538919215,47
1538919218,47
1538919221,47
1538919224,46
1538919227,46
1538919230,46
1538919233,46
1538919236,46
1538919239,48
1538919242,48
1538919245,47
1538919248,47
1538919251,46
1538919254,46
1538919257,48
1538919260,48
1538919263,47
1538919266,47
1538919269,46
1538919272,45
1538919275,45
1538919278,45
1538919281,45
1538919284,47
1538919287,47
1538919290,46
1538919293,46
1538919296,46
1538919299,45
1538919302,45
1538919305,45
1538919308,45
1538919311,47
1538919314,47
1538919317,46
1538919320,46
1538919323,45
1538919326,45
1538919329,45
1538919332,47
1538919335,47
1538919338,46
1538919341,46
1538919344,45
1538919347,45
1538919350,45
1538919353,45
1538919356,47
1538919359,47
1538919362,46
1538919365,46
1538919368,46
1538919371,45
1538919374,45
1538919377,47
1538919380,47
1538919383,46
1538919386,46
1538919389,46
1538919392,45
1538919395,45
1538919398,45
1538919401,45
1538919404,47
1538919407,47
1538919410,46
1538919413,46
1538919416,45
1538919419,45
1538919422,45
1538919425,45
1538919428,45
1538919431,46
1538919434,46
1538919437,45
1538919440,45
1538919443,45
1538919446,45
1538919449,45
1538919452,47
1538919455,47
1538919458,46
1538919461,46
1538919464,46
1538919467,45
1538919470,45
1538919473,45
1538919476,47
1538919479,47
1538919482,46
1538919485,46
1538919488,46
1538919491,45
1538919494,45
1538919497,45
1538919500,45
1538919503,45
1538919506,46
1538919509,46
1538919512,45
1538919515,45
1538919518,45
1538919521,45
1538919524,45
1538919527,46
1538919530,46
1538919533,46
1538919536,45
1538919539,45
1538919542,45
1538919545,45
1538919548,45
1538919551,46
1538919554,46
1538919557,45
1538919560,45
1538919563,45
1538919566,45
1538919569,45
1538919572,45
1538919575,45
1538919578,45
1538919581,45
1538919584,47
1538919587,47
1538919590,46
1538919593,46
1538919615,45
1538919618,45
1538919621,45
1538919624,45
1538919627,45
1538919630,45
1538919633,45
1538919636,47
1538919639,47
1538919642,46
1538919645,46
1538919648,45
1538919651,45
1538919654,45
1538919657,47
1538919660,47
1538919663,46
1538919666,46
1538919669,45
1538919672,45
1538919675,45
1538919678,47
1538919681,47
1538919684,46
1538919687,46
1538919690,45
1538919693,45
1538919696,45
1538919699,47
1538919702,47
1538919705,46
1538919708,46
1538919711,46
1538919714,45
1538919717,45
1538919720,47
1538919723,47
1538919726,46
1538919729,46
1538919732,46
1538919735,45
1538919738,45
1538919741,47
1538919744,47
1538919747,46
1538919750,46
1538919753,46
1538919756,45
1538919759,45
1538919762,47
1538919765,47
1538919768,46
1538919771,46
1538919774,45
1538919777,45
1538919780,47
1538919783,47
1538919786,46
1538919789,46
1538919792,46
1538919795,45
1538919798,45
1538919801,46
1538919804,46
1538919807,46
1538919810,45
1538919813,45
1538919816,45
1538919819,45
1538919822,47
1538919825,47
1538919828,46
1538919831,46
1538919834,45
1538919837,45
1538919840,47
1538919843,47
1538919846,46
1538919849,46
1538919852,46
1538919855,45
1538919858,45
1538919861,47
1538919864,47
1538919867,46
1538919870,46
1538919873,46
1538919876,45
1538919879,45
1538919882,47
1538919885,47
1538919888,46
1538919891,46
1538919894,46
1538919897,45
1538919900,45
1538919903,45
1538919906,45
1538919909,45
1538919912,46
1538919915,46
1538919918,46
1538919921,45
1538919924,45
1538919927,45
1538919930,45
1538919933,45
1538919936,45
1538919939,45
1538919942,47
1538919945,47
1538919948,46
1538919951,46
1538919954,45
1538919957,45
1538919960,45
1538919963,45
1538919966,45
1538919969,46
1538919972,46
1538919975,46
1538919978,45
1538919981,45
1538919984,45
1538919987,45
1538919990,45
1538919993,47
1538919996,47
1538919999,46
1538920002,46
1538920005,46
1538920008,45
1538920011,45
1538920014,45
1538920017,47
1538920020,47
1538920023,46
1538920026,46
1538920029,46
1538920032,45
1538920035,45
1538920038,46
1538920041,46
1538920044,46
1538920047,45
1538920050,45
1538920053,45
1538920056,45
1538920059,47
1538920062,47
1538920065,46
1538920068,46
1538920071,46
1538920074,45
1538920077,45
1538920080,45
1538920083,47
1538920086,47
1538920089,46
1538920092,46
1538920095,46
1538920098,45
1538920101,45
1538920104,47
1538920107,47
1538920110,46
1538920113,46
1538920116,46
1538920119,45
1538920122,45
1538920125,46
1538920128,46
1538920131,46
1538920134,45
1538920137,45
1538920140,45
1538920143,45
1538920146,47
1538920149,47
1538920152,46
1538920155,46
1538920158,46
1538920161,45
1538920164,45
1538920167,47
1538920170,47
1538920173,46
1538920176,46
1538920179,46
1538920182,45
1538920185,45
1538920188,47
1538920191,47
1538920194,46
1538920197,46
1538920200,46
1538920203,45
1538920206,45
1538920209,47
1538920212,47
1538920215,46
1538920218,46
1538920221,45
1538920224,45
1538920227,47
1538920230,47
1538920233,46
1538920236,46
1538920239,46
1538920242,45
1538920245,45
1538920248,47
1538920251,47
1538920254,46
1538920257,46
1538920260,46
1538920263,45
1538920266,45
1538920269,47
1538920272,47
1538920275,46
1538920278,46
1538920281,46
1538920284,45
1538920287,45
1538920290,45
1538920293,47
1538920296,47
1538920299,47
1538920302,46
1538920305,46
1538920308,45
1538920311,45
1538920314,45
1538920317,45
1538920320,45
1538920323,45
1538920326,45
1538920329,47
1538920332,47
1538920335,46
1538920338,46
1538920341,46
1538920344,45
1538920347,45
1538920350,46
1538920353,46
1538920356,46
1538920359,45
1538920362,45
1538920365,45
1538920368,45
1538920371,47
1538920374,47
1538920377,46
1538920380,46
1538920383,45
1538920386,45
1538920389,47
1538920392,47
1538920395,46
1538920398,46
1538920401,46
1538920404,45
1538920407,45
1538920410,45
1538920413,47
1538920416,47
1538920419,46
1538920422,46
1538920425,46
1538920428,45
1538920431,45
1538920434,45
1538920437,46
1538920440,46
1538920443,46
1538920446,45
1538920449,45
1538920452,45
1538920455,45
1538920458,45
1538920461,46
1538920464,46
1538920467,46
1538920470,45
1538920473,45
1538920476,45
1538920479,45
1538920482,46
1538920485,46
1538920488,46
1538920491,45
1538920494,45
1538920497,45
1538920500,45
1538920503,45
1538920506,45
1538920509,46
1538920512,46
1538920515,45
1538920518,45
1538920521,45
1538920524,45
1538920527,45
1538920530,45
1538920533,45
1538920536,45
1538920539,47
1538920534,47
1538920537,46
1538920540,46
1538920543,45
1538920546,45
1538920549,45
1538920552,46
1538920555,46
1538920558,46
1538920561,45
1538920564,45
1538920567,45
1538920570,45
1538920573,46
1538920576,46
1538920579,46
1538920582,45
1538920585,45
1538920588,45
1538920591,45
1538920594,46
1538920597,46
1538920600,46
1538920603,45
1538920606,45
1538920609,45
1538920612,45
1538920615,45
1538920618,46
1538920621,46
1538920624,46
1538920627,45
1538920630,45
1538920633,45
1538920636,45
1538920639,47
1538920642,47
1538920645,46
1538920648,46
1538920651,46
1538920654,45
1538920657,45
1538920660,45
1538920663,46
1538920666,46
1538920669,45
1538920672,45
1538920675,46
1538920678,46
1538920681,46
1538920684,46
1538920687,47
1538920690,47
1538920693,46
1538920696,46
1538920699,46
1538920702,46
1538920705,46
1538920708,46
1538920711,46
1538920714,46
1538920717,48
1538920720,48
1538920723,47
1538920726,47
1538920729,46
1538920732,46
1538920735,47
1538920738,47
1538920741,46
1538920744,46
1538920747,46
1538920750,45
1538920753,45
1538920756,47
1538920759,47
1538920762,46
1538920765,46
1538920768,46
1538920771,45
1538920774,45
1538920777,46
1538920780,46
1538920783,45
1538920786,45
1538920789,45
1538920792,45
1538920795,45
1538920798,47
1538920801,47
1538920804,46
1538920807,46
1538920810,45
1538920813,45
1538920816,45
1538920819,46
1538920822,46
1538920825,46
1538920828,45
1538920831,45
1538920834,45
1538920837,45
1538920840,45
1538920843,45
1538920846,47
1538920849,47
1538920852,46
1538920855,46
1538920858,45
1538920861,45
1538920864,45
1538920867,45
1538920870,45
1538920873,46
1538920876,46
1538920879,46
1538920882,45
1538920885,45
1538920888,45
1538920891,45
1538920894,47
1538920897,47
1538920900,46
1538920903,46
1538920906,46
1538920909,45
1538920912,45
1538920915,45
1538920918,45
1538920921,46
1538920924,46
1538920927,46
1538920930,45
1538920933,45
1538920936,45
1538920939,45
1538920942,45
1538920945,47
1538920948,47
1538920951,46
1538920954,46
1538920957,46
1538920960,45
1538920963,45
1538920966,45
1538920969,46
1538920972,46
1538920975,46
1538920978,45
1538920981,45
1538920984,45
1538920987,45
1538920990,45
1538920993,46
1538920996,46
1538920999,45
1538921002,45
1538921005,45
1538921008,45
1538921011,45
1538921014,46
1538921017,46
1538921020,46
1538921023,45
1538921026,45
1538921029,45
1538921032,45
1538921035,45
1538921038,45
1538921041,45
1538921044,47
1538921047,47
1538921050,46
1538921053,46
1538921056,46
1538921059,45
1538921062,45
1538921065,45
1538921068,46
1538921071,46
1538921074,45
1538921077,45
1538921080,45
1538921083,45
1538921086,45
1538921089,45
1538921092,45
1538921095,47
1538921098,47
t,value
1539040417,27
1539040420,27
1539040423,37
1539040426,37
1539040429,37
1539040432,37
1539040435,37
1539040438,37
1539040441,37
1539040444,43
1539040447,48
1539040450,48
1539040453,47
1539040456,46
1539040459,46
1539040462,46
1539040465,48
1539040468,48
1539040471,48
1539040474,46
1539040477,46
1539040480,46
1539040483,46
1539040486,47
1539040489,47
1539040492,46
1539040495,46
1539040498,46
1539040501,46
1539040504,47
1539040507,47
