t,value
1538918384,29
1538918387,30
1538918390,39
1538918393,40
1538918396,40
1538918399,40
1538918402,40
1538918405,40
1538918408,40
1538918411,40
1538918414,40
1538918417,40
1538918420,40
1538918423,40
1538918426,40
1538918429,40
1538918432,40
1538918435,40
1538918438,40
1538918441,39
1538918444,39
1538918447,39
1538918450,39
1538918453,39
1538918456,46
1538918459,46
1538918462,46
1538918465,46
1538918468,46
1538918471,46
1538918474,46
1538918477,46
1538918480,46
1538918483,46
1538918486,46
1538918489,46
1538918492,46
1538918495,46
1538918498,46
1538918501,46
1538918504,46
1538918507,46
1538918510,46
1538918513,46
1538918516,48
1538918519,48
1538918522,51
1538918525,51
1538918528,50
1538918531,49
1538918534,49
1538918537,49
1538918540,49
1538918543,54
1538918546,54
1538918549,54
1538918552,52
1538918555,52
1538918558,52
1538918561,52
1538918564,54
1538918567,54
1538918570,53
1538918573,53
1538918576,52
1538918579,52
1538918582,54
1538918585,54
1538918588,53
1538918591,53
1538918594,53
1538918597,52
1538918600,52
1538918603,54
1538918606,54
1538918609,53
1538918612,53
1538918615,53
1538918618,51
1538918621,51
1538918624,53
1538918627,53
1538918630,52
1538918633,52
1538918636,51
1538918639,51
t,value
1538918915,31
1538918918,40
1538918921,39
1538918924,40
1538918927,40
1538918930,40
1538918933,40
1538918936,40
1538918939,40
1538918942,40
1538918945,40
1538918948,40
1538918951,40
1538918954,40
1538918957,43
1538918960,43
1538918963,43
1538918966,43
1538918969,43
1538918972,42
1538918975,42
1538918978,42
1538918981,42
1538918984,42
1538918987,42
1538918990,42
1538918993,42
1538918996,42
1538918999,42
1538919002,42
1538919005,42
1538919008,42
1538919011,42
1538919014,50
1538919017,52
1538919020,51
1538919023,51
1538919026,49
1538919029,49
1538919032,49
1538919035,52
1538919038,52
1538919041,51
1538919044,51
1538919047,51
1538919050,50
1538919053,50
1538919056,52
1538919059,52
1538919062,51
1538919065,51
1538919068,50
1538919071,50
1538919074,52
1538919077,52
1538919080,52
1538919083,51
1538919086,50
1538919089,49
1538919092,49
1538919095,51
1538919098,51
1538919101,50
1538919104,50
1538919107,50
1538919110,49
1538919113,49
1538919116,51
1538919119,51
1538919122,50
1538919125,50
1538919128,49
1538919131,49
1538919134,51
1538919137,51
1538919140,50
1538919143,50
1538919146,50
1538919149,50
1538919152,50
1538919155,51
1538919158,51
1538919161,51
1538919164,50
1538919167,50
1538919170,52
1538919173,52
1538919176,52
1538919179,54
1538919182,53
1538919185,52
1538919188,53
1538919191,53
1538919194,53
1538919197,53
1538919200,53
1538919203,53
1538919206,53
1538919209,52
1538919212,50
1538919215,50
1538919218,50
1538919221,50
1538919224,49
1538919227,49
1538919230,49
1538919233,49
1538919236,49
1538919239,51
1538919242,51
1538919245,50
1538919248,50
1538919251,49
1538919254,49
1538919257,51
1538919260,51
1538919263,50
1538919266,50
1538919269,49
1538919272,48
1538919275,48
1538919278,48
1538919281,48
1538919284,50
1538919287,50
1538919290,49
1538919293,49
1538919296,49
1538919299,48
1538919302,48
1538919305,48
1538919308,48
1538919311,50
1538919314,50
1538919317,49
1538919320,49
1538919323,48
1538919326,48
1538919329,48
1538919332,50
1538919335,50
1538919338,49
1538919341,49
1538919344,48
1538919347,48
1538919350,48
1538919353,48
1538919356,50
1538919359,50
1538919362,49
1538919365,49
1538919368,49
1538919371,48
1538919374,48
1538919377,50
1538919380,50
1538919383,49
1538919386,49
1538919389,49
1538919392,48
1538919395,48
1538919398,48
1538919401,48
1538919404,50
1538919407,50
1538919410,49
1538919413,49
1538919416,48
1538919419,48
1538919422,48
1538919425,48
1538919428,48
1538919431,49
1538919434,49
1538919437,48
1538919440,48
1538919443,48
1538919446,48
1538919449,48
1538919452,50
1538919455,50
1538919458,49
1538919461,49
1538919464,49
1538919467,48
1538919470,48
1538919473,48
1538919476,50
1538919479,50
1538919482,49
1538919485,49
1538919488,49
1538919491,48
1538919494,48
1538919497,48
1538919500,48
1538919503,48
1538919506,49
1538919509,49
1538919512,48
1538919515,49
1538919518,49
1538919521,48
1538919524,48
1538919527,49
1538919530,49
1538919533,49
1538919536,48
1538919539,48
1538919542,48
1538919545,48
1538919548,48
1538919551,49
1538919554,49
1538919557,48
1538919560,48
1538919563,48
1538919566,48
1538919569,48
1538919572,48
1538919575,48
1538919578,48
1538919581,48
1538919584,50
1538919587,50
1538919590,49
1538919593,49
1538919615,48
1538919618,48
1538919621,48
1538919624,48
1538919627,48
1538919630,48
1538919633,48
1538919636,50
1538919639,50
1538919642,49
1538919645,49
1538919648,48
1538919651,48
1538919654,48
1538919657,50
1538919660,50
1538919663,49
1538919666,49
1538919669,48
1538919672,48
1538919675,48
1538919678,50
1538919681,50
1538919684,49
1538919687,49
1538919690,48
1538919693,48
1538919696,48
1538919699,50
1538919702,50
1538919705,49
1538919708,49
1538919711,49
1538919714,48
1538919717,48
1538919720,50
1538919723,50
1538919726,49
1538919729,49
1538919732,49
1538919735,48
1538919738,48
1538919741,50
1538919744,50
1538919747,49
1538919750,49
1538919753,49
1538919756,48
1538919759,48
1538919762,50
1538919765,50
1538919768,49
1538919771,49
1538919774,48
1538919777,48
1538919780,50
1538919783,50
1538919786,49
1538919789,49
1538919792,49
1538919795,48
1538919798,48
1538919801,49
1538919804,49
1538919807,49
1538919810,48
1538919813,48
1538919816,48
1538919819,48
1538919822,50
1538919825,50
1538919828,49
1538919831,49
1538919834,48
1538919837,48
1538919840,50
1538919843,50
1538919846,49
1538919849,49
1538919852,49
1538919855,48
1538919858,48
1538919861,50
1538919864,50
1538919867,49
1538919870,49
1538919873,49
1538919876,48
1538919879,48
1538919882,50
1538919885,50
1538919888,49
1538919891,49
1538919894,49
1538919897,48
1538919900,48
1538919903,48
1538919906,48
1538919909,48
1538919912,49
1538919915,49
1538919918,49
1538919921,48
1538919924,48
1538919927,48
1538919930,48
1538919933,48
1538919936,48
1538919939,48
1538919942,50
1538919945,50
1538919948,49
1538919951,49
1538919954,48
1538919957,48
1538919960,48
1538919963,48
1538919966,48
1538919969,49
1538919972,49
1538919975,49
1538919978,48
1538919981,48
1538919984,48
1538919987,48
1538919990,48
1538919993,50
1538919996,50
1538919999,49
1538920002,49
1538920005,49
1538920008,48
1538920011,48
1538920014,48
1538920017,50
1538920020,50
1538920023,49
1538920026,49
1538920029,49
1538920032,48
1538920035,48
1538920038,49
1538920041,49
1538920044,49
1538920047,48
1538920050,48
1538920053,48
1538920056,48
1538920059,50
1538920062,50
1538920065,49
1538920068,49
1538920071,49
1538920074,48
1538920077,48
1538920080,48
1538920083,50
1538920086,50
1538920089,49
1538920092,49
1538920095,49
1538920098,48
1538920101,48
1538920104,50
1538920107,50
1538920110,49
1538920113,49
1538920116,49
1538920119,48
1538920122,48
1538920125,49
1538920128,49
1538920131,49
1538920134,48
1538920137,48
1538920140,48
1538920143,48
1538920146,50
1538920149,50
1538920152,49
1538920155,49
1538920158,49
1538920161,48
1538920164,48
1538920167,50
1538920170,50
1538920173,49
1538920176,49
1538920179,49
1538920182,48
1538920185,48
1538920188,50
1538920191,50
1538920194,49
1538920197,49
1538920200,49
1538920203,48
1538920206,48
1538920209,50
1538920212,50
1538920215,49
1538920218,49
1538920221,48
1538920224,48
1538920227,50
1538920230,50
1538920233,49
1538920236,49
1538920239,49
1538920242,48
1538920245,48
1538920248,50
1538920251,50
1538920254,49
1538920257,49
1538920260,49
1538920263,48
1538920266,48
1538920269,50
1538920272,50
1538920275,49
1538920278,49
1538920281,49
1538920284,48
1538920287,48
1538920290,48
1538920293,50
1538920296,50
1538920299,50
1538920302,49
1538920305,49
1538920308,48
1538920311,48
1538920314,48
1538920317,48
1538920320,48
1538920323,48
1538920326,48
1538920329,50
1538920332,50
1538920335,49
1538920338,49
1538920341,49
1538920344,48
1538920347,48
1538920350,49
1538920353,49
1538920356,49
1538920359,48
1538920362,48
1538920365,48
1538920368,48
1538920371,50
1538920374,50
1538920377,49
1538920380,49
1538920383,48
1538920386,48
1538920389,50
1538920392,50
1538920395,49
1538920398,49
1538920401,49
1538920404,48
1538920407,48
1538920410,48
1538920413,50
1538920416,50
1538920419,49
1538920422,49
1538920425,49
1538920428,48
1538920431,48
1538920434,48
1538920437,49
1538920440,49
1538920443,49
1538920446,48
1538920449,48
1538920452,48
1538920455,48
1538920458,48
1538920461,49
1538920464,49
1538920467,49
1538920470,48
1538920473,48
1538920476,48
1538920479,48
1538920482,49
1538920485,49
1538920488,49
1538920491,48
1538920494,48
1538920497,48
1538920500,48
1538920503,48
1538920506,48
1538920509,49
1538920512,49
1538920515,48
1538920518,48
1538920521,48
1538920524,48
1538920527,48
1538920530,48
1538920533,48
1538920536,48
1538920539,50
1538920534,50
1538920537,49
1538920540,49
1538920543,48
1538920546,48
1538920549,48
1538920552,49
1538920555,49
1538920558,49
1538920561,48
1538920564,48
1538920567,48
1538920570,48
1538920573,49
1538920576,49
1538920579,49
1538920582,48
1538920585,48
1538920588,48
1538920591,48
1538920594,49
1538920597,49
1538920600,49
1538920603,48
1538920606,48
1538920609,48
1538920612,48
1538920615,48
1538920618,49
1538920621,49
1538920624,49
1538920627,48
1538920630,48
1538920633,48
1538920636,48
1538920639,50
1538920642,50
1538920645,49
1538920648,49
1538920651,49
1538920654,48
1538920657,48
1538920660,48
1538920663,49
1538920666,49
1538920669,48
1538920672,48
1538920675,49
1538920678,49
1538920681,49
1538920684,49
1538920687,50
1538920690,50
1538920693,49
1538920696,49
1538920699,49
1538920702,49
1538920705,49
1538920708,49
1538920711,49
1538920714,49
1538920717,51
1538920720,51
1538920723,50
1538920726,50
1538920729,49
1538920732,49
1538920735,50
1538920738,50
1538920741,49
1538920744,49
1538920747,49
1538920750,48
1538920753,48
1538920756,50
1538920759,50
1538920762,49
1538920765,49
1538920768,49
1538920771,48
1538920774,48
1538920777,49
1538920780,49
1538920783,48
1538920786,48
1538920789,48
1538920792,48
1538920795,48
1538920798,50
1538920801,50
1538920804,49
1538920807,49
1538920810,48
1538920813,48
1538920816,48
1538920819,49
1538920822,49
1538920825,49
1538920828,48
1538920831,48
1538920834,48
1538920837,48
1538920840,48
1538920843,48
1538920846,50
1538920849,50
1538920852,49
1538920855,49
1538920858,48
1538920861,48
1538920864,48
1538920867,48
1538920870,48
1538920873,49
1538920876,49
1538920879,49
1538920882,48
1538920885,48
1538920888,48
1538920891,48
1538920894,50
1538920897,50
1538920900,49
1538920903,49
1538920906,49
1538920909,48
1538920912,48
1538920915,48
1538920918,48
1538920921,49
1538920924,49
1538920927,49
1538920930,48
1538920933,48
1538920936,48
1538920939,48
1538920942,48
1538920945,50
1538920948,50
1538920951,49
1538920954,49
1538920957,49
1538920960,48
1538920963,48
1538920966,48
1538920969,49
1538920972,49
1538920975,49
1538920978,48
1538920981,48
1538920984,48
1538920987,48
1538920990,48
1538920993,49
1538920996,49
1538920999,48
1538921002,48
1538921005,48
1538921008,48
1538921011,48
1538921014,49
1538921017,49
1538921020,49
1538921023,48
1538921026,48
1538921029,48
1538921032,48
1538921035,48
1538921038,48
1538921041,48
1538921044,50
1538921047,50
1538921050,49
1538921053,49
1538921056,49
1538921059,48
1538921062,48
1538921065,48
1538921068,49
1538921071,49
1538921074,48
1538921077,48
1538921080,48
1538921083,48
1538921086,48
1538921089,48
1538921092,48
1538921095,50
1538921098,50
t,value
1539040417,30
1539040420,30
1539040423,40
1539040426,40
1539040429,40
1539040432,40
1539040435,40
1539040438,40
1539040441,40
1539040444,46
1539040447,51
1539040450,51
1539040453,50
1539040456,49
1539040459,49
1539040462,49
1539040465,51
1539040468,51
1539040471,51
1539040474,49
1539040477,49
1539040480,49
1539040483,49
1539040486,50
1539040489,50
1539040492,49
1539040495,49
1539040498,49
1539040501,49
1539040504,50
1539040507,50
1539040510,50
1539040513,49
1539040516,49
1539040519,49
1539040522,49
1539040525,50
1539040528,50
1539040531,50
1539040534,48
1539040537,48
1539040540,48
1539040543,48
1539040546,49
1539040549,49
1539040552,48
1539040555,48
1539040558,48
1539040561,48
1539040564,48
1539040567,48
1539040570,48
1539040573,48
1539040576,50
1539040579,50
1539040582,49
1539040585,49
1539040588,49
1539040591,48
1539040594,48
1539040597,50
1539040600,50
1539040603,49
1539040606,49
1539040609,49
1539040612,48
1539040615,48
1539040618,50
1539040621,50
1539040624,49
1539040627,49
1539040630,48
1539040633,48
1539040636,50
1539040639,50
1539040642,49
1539040645,49
1539040648,49
1539040651,48
1539040654,48
1539040657,48
1539040660,48
1539040663,48
1539040666,48
1539040669,50
1539040672,50
1539040675,49
1539040678,49
1539040681,48
1539040684,48
1539040687,48
1539040690,48
1539040693,50
1539040696,50
1539040699,49
1539040702,51
1539040705,51
1539040708,51
1539040711,51
1539040714,50
1539040717,50
1539040720,50
1539040723,50
1539040726,52
1539040729,52
1539040732,51
1539040735,51
1539040738,51
1539040741,50
1539040744,52
1539040747,52
1539040750,51
1539040753,51
1539040756,51
1539040759,50
1539040762,50
1539040765,49
1539040768,49
1539040771,49
1539040774,51
1539040777,51
1539040780,50
1539040783,50
1539040786,50
1539040789,49
1539040792,49
1539040795,50
1539040798,50
1539040801,49
1539040804,49
1539040807,49
1539040810,49
1539040813,49
1539040816,49
1539040819,49
1539040822,49
1539040825,49
1539040828,49
1539040831,49
1539040834,49
1539040837,49
1539040840,49
1539040843,51
1539040846,51
1539040849,50
1539040852,50
1539040855,49
1539040858,48
1539040861,48
1539040864,48
1539040867,48
1539040870,48
1539040873,48
1539040876,48
1539040879,48
1539040882,48
1539040885,48
1539040888,48
1539040891,48
1539040894,48
1539040897,48
1539040900,48
1539040903,48
1539040906,48
1539040909,48
1539040912,48
1539040915,48
1539040918,48
1539040921,48
1539040924,48
1539040927,48
1539040930,50
1539040933,50
1539040936,49
1539040939,49
1539040942,49
1539040945,48
1539040948,48
1539040951,48
1539040954,48
1539040957,48
1539040960,48
1539040963,48
1539040966,48
1539040969,48
1539040972,48
1539040975,48
1539040978,48
1539040981,48
1539040984,48
1539040987,48
1539040990,48
1539040993,48
1539040996,48
1539040999,48
1539041002,48
1539041005,48
1539041008,48
1539041011,48
1539041014,50
1539041017,51
1539041020,49
1539041023,49
1539041026,49
1539041029,48
1539041032,48
1539041035,48
1539041038,48
1539041041,48
1539041044,48
1539041047,48
1539041050,48
1539041053,48
1539041056,48
1539041059,48
1539041062,48
1539041065,48
1539041068,48
1539041071,48
1539041074,48
1539041077,48
1539041080,48
1539041083,48
1539041086,48
1539041089,48
1539041092,48
1539041095,48
1539041098,50
1539041101,50
1539041104,49
1539041107,49
1539041110,49
1539041113,48
1539041116,48
1539041119,48
1539041122,48
1539041125,48
1539041128,48
1539041131,48
1539041134,48
1539041137,48
1539041140,48
1539041143,48
1539041146,48
1539041149,48
1539041152,48
1539041155,48
1539041158,48
1539041161,48
1539041164,48
1539041167,48
1539041170,50
1539041173,50
1539041176,49
1539041179,49
1539041182,49
1539041185,48
1539041188,48
1539041191,48
1539041194,48
1539041197,48
1539041200,48
1539041203,48
1539041206,48
1539041209,48
1539041212,48
1539041215,48
1539041218,48
1539041221,50
1539041224,50
1539041227,49
1539041230,49
1539041233,48
1539041236,48
1539041239,48
1539041242,48
1539041245,48
1539041248,48
1539041251,48
1539041254,48
1539041257,48
1539041260,48
1539041263,48
1539041266,48
1539041269,48
1539041272,48
1539041275,48
1539041278,50
1539041281,50
1539041284,49
1539041287,49
1539041290,49
1539041293,48
1539041296,48
1539041299,48
1539041302,48
1539041305,48
1539041308,48
1539041311,48
1539041314,48
1539041317,48
1539041320,48
1539041323,48
1539041326,48
1539041329,48
1539041332,48
1539041335,48
1539041338,48
1539041341,48
1539041344,48
1539041347,48
1539041350,48
1539041353,48
1539041356,48
1539041359,48
1539041362,48
1539041365,48
1539041368,48
1539041371,48
1539041374,48
1539041377,48
1539041380,48
1539041383,48
1539041386,48
1539041389,48
1539041392,48
1539041395,48
1539041398,49
1539041401,49
1539041404,49
1539041407,48
1539041410,48
1539041413,48
1539041416,48
1539041419,48
1539041422,48
1539041425,48
1539041428,48
1539041431,48
1539041434,48
1539041437,48
1539041440,48
1539041443,48
1539041446,48
1539041449,48
1539041452,48
1539041455,48
1539041458,48
1539041461,48
1539041464,48
1539041467,48
1539041470,48
1539041473,48
1539041476,48
1539041479,48
1539041482,48
1539041485,48
1539041488,48
1539041491,48
1539041494,48
1539041497,48
1539041500,48
1539041503,48
1539041506,50
1539041509,50
1539041512,50
